date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,0.0201,-1978648000,-2.0688,-3656127000
2025-12-31,0.7042,3918746000,-0.6586,102987000
2025-09-30,0.8898,1777478000,-0.7792,1072913000
2025-06-30,0.7503,1299408000,-0.8144,1864599000
2025-03-31,1.2842,1851253000,-0.3793,6432601000
2024-12-31,1.3739,11479844000,-0.3405,8000550000
2024-09-30,1.7354,8049065000,-0.131,12930626000
2024-06-30,1.881,7000399000,0.0894,14343673000
2024-03-31,1.924,2982601000,0.2825,14538442000
2023-12-31,1.8836,17405699000,1.297,13505502000
2023-09-30,1.4807,9262015000,1.4878,8961189000
2023-06-30,1.2161,6425897000,0.8362,6000252000
2023-03-31,1.0413,2325584000,0.9589,3602301000
2022-12-31,0.9725,7577700000,-0.5181,2649957000
2022-09-30,1.0982,3723015000,-0.6667,3575949000
2022-06-30,1.7342,3499634000,-0.5021,7381871000
2022-03-31,2.0786,1187207000,-0.5029,9751012000
2021-12-31,2.2348,15723527000,0.5366,10257780000
2021-09-30,2.278,11171178000,1.8874,11203319000
2021-06-30,2.1903,7028435000,2.444,8499014000
2021-03-31,2.0426,2388242000,5.4138,5376089000
2020-12-31,2.1672,10232651000,0.3741,3770397000
2020-09-30,2.0152,3868898000,0.3317,2444676000
2020-06-30,1.31,2040770000,0.6112,5087285000
2020-03-31,1.1976,372361000,-0.7045,1839314000
2019-12-31,1.2891,7446554000,-0.1919,2779636000
2019-09-30,0.7552,2905228000,1.2842,-675392000
2019-06-30,-1.0608,1266617000,1.251,-9623292000
2019-03-31,14.6632,1259978000,8.3619,-12452667000
2018-12-31,1.3261,-9215386000,-2.2764,-13722310000
2018-09-30,-0.0269,-10222894000,-2.2244,-4734721000
2018-06-30,-1.2715,-5046386000,-0.1996,431098000
2018-03-31,-6.4663,-171149000,0.8238,1706622000
2017-12-31,1.3404,7219974000,0.588,1364685000
2017-09-30,-1.6267,-3170483000,-3.6002,-4729672000
2017-06-30,1.2358,-4206552000,-2.7863,-5564389000
2017-03-31,-0.2983,-971165000,-1.2461,-3514230000
2016-12-31,-3.7363,5260206000,-0.2896,1356366000
2016-09-30,1.9383,1219302000,2.4377,5443132000
