date,净利润率,资本回报率(ROIC),净资产收益率(ROE),总资产收益率(ROA),毛利率(GM)
2026-03-31,0.0134,0.0272,0.0268,0.0111,0.156
2025-12-31,0.0193,0.0395,0.0393,0.0154,0.1554
2025-09-30,0.0338,0.0723,0.0722,0.03,0.1535
2025-06-30,0.0363,0.0743,0.0743,0.0307,0.1533
2025-03-31,0.0412,0.0827,0.0827,0.0331,0.1483
2024-12-31,0.0382,0.0794,0.0794,0.0306,0.1494
2024-09-30,0.0225,0.0463,0.0468,0.0188,0.1583
2024-06-30,0.0294,0.0652,0.0655,0.0264,0.1653
2024-03-31,0.0238,0.0489,0.049,0.0201,0.1736
2023-12-31,0.0628,0.1314,0.1381,0.0565,0.1836
2023-09-30,0.0668,0.14,0.1418,0.0583,0.1863
2023-06-30,0.0682,0.1324,0.1337,0.0565,0.193
2023-03-31,0.0817,0.1447,0.1467,0.0628,0.2059
2022-12-31,0.0639,0.1195,0.1304,0.055,0.2049
2022-09-30,0.0665,0.1244,0.1259,0.0537,0.1998
2022-06-30,0.0728,0.1305,0.1327,0.0567,0.1907
2022-03-31,0.0676,0.1231,0.1254,0.0541,0.1789
2021-12-31,0.0343,0.0612,0.0659,0.0281,0.1664
2021-09-30,0.0266,0.055,0.0557,0.0236,0.1708
2021-06-30,0.023,0.0493,0.0494,0.0214,0.1634
2021-03-31,0.0335,0.0705,0.0708,0.0315,0.1486
2020-12-31,0.0389,0.0633,0.0675,0.0301,0.143
2020-09-30,0.0431,0.0761,0.077,0.0343,0.1389
2020-06-30,0.0299,0.048,0.0486,0.0225,0.149
2020-03-31,0.0012,0.0019,0.0017,0.0008,0.1598
2019-12-31,-0.0375,-0.0536,-0.0588,-0.0277,0.1468
2019-09-30,-0.0506,-0.0684,-0.069,-0.0332,0.121
2019-06-30,-0.0518,,-0.0689,-0.0325,0.118
2019-03-31,-0.0439,,-0.0588,-0.027,0.1303
2018-12-31,0.0109,0.0148,0.0155,0.0072,0.1465
2018-09-30,0.0323,,0.0545,0.0254,0.1552
2018-06-30,0.0507,,0.0903,0.04,0.1329
2018-03-31,0.075,,0.1306,0.0564,0.126
2017-12-31,0.0901,,0.1587,0.0678,0.1331
2017-09-30,0.11,,0.1977,0.082,0.1428
2017-06-30,0.1241,,0.2323,0.0934,0.1689
2017-03-31,0.1302,,0.2425,0.0969,0.1778
2016-12-31,0.1308,,0.2651,0.1049,0.1789
2016-09-30,0.1515,,0.3141,0.1202,0.1927
