date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,83863337987.52,1.0863,0.1869,2.0919,1.6808,1.1383,0.5159,0.0780,1.1220,0.8804,0.6910,0.0195,27.2900,0.6993,37.4678,17.3828,7.5346
2026-06-01,79997297583.84,1.0362,0.1700,2.0919,1.6827,1.1389,0.4922,0.0648,1.1220,0.8804,0.6935,0.0204,26.0320,0.6687,37.4678,17.3767,7.5346
2026-05-29,78510358967.04,1.0170,0.1665,2.0919,1.6855,1.1393,0.4830,0.0614,1.1220,0.8815,0.6946,0.0208,25.5481,0.6575,37.4678,17.3695,7.5288
2026-05-28,78113842002.56,1.0118,0.1625,2.0919,1.6858,1.1415,0.4806,0.0586,1.1220,0.8816,0.6950,0.0209,25.4191,0.6532,37.4678,17.3695,7.5288
2026-05-27,80294685307.2,1.0401,0.1700,2.0919,1.6860,1.1428,0.4940,0.0648,1.1220,0.8817,0.6956,0.0204,26.1287,0.6708,37.4678,17.3695,7.5288
2026-05-26,82277270129.6,1.0658,0.1778,2.0919,1.6866,1.1453,0.5062,0.0689,1.1220,0.8819,0.6956,0.0199,26.7739,0.6873,37.4678,17.3580,7.5231
2026-05-25,83070304058.56,1.0760,0.1807,2.0919,1.6866,1.1463,0.5111,0.0722,1.1220,0.8822,0.6962,0.0197,27.0319,0.6931,37.4678,17.3580,7.5231
2026-05-22,83665079505.28,1.0837,0.1830,2.0919,1.6892,1.1463,0.5147,0.0742,1.1220,0.8830,0.6982,0.0196,27.2255,0.6979,37.4678,17.3434,7.5116
2026-05-21,83962467228.64,1.0876,0.1843,2.0919,1.6893,1.1464,0.5165,0.0759,1.1220,0.8830,0.6995,0.0195,27.3223,0.7014,37.4678,17.3361,7.5116
2026-05-20,84061596469.76,1.0889,0.1844,2.0919,1.6895,1.1473,0.5172,0.0759,1.1220,0.8831,0.7006,0.0195,27.3545,0.7038,37.4678,17.3288,7.5116
2026-05-19,85449405845.44,1.1068,0.1910,2.0919,1.6908,1.1475,0.5257,0.0833,1.1220,0.8838,0.7006,0.0191,27.8061,0.7137,37.4678,17.3225,7.5116
2026-05-18,85350276604.32,1.1056,0.1894,2.0919,1.6921,1.1479,0.5251,0.0813,1.1220,0.8840,0.7018,0.0192,27.7739,0.7133,37.4678,17.3142,7.5001
2026-05-15,87927636873.44,1.1389,0.1954,2.0919,1.6929,1.1497,0.5409,0.0903,1.1220,0.8840,0.7018,0.0186,28.6126,0.7242,37.4678,17.2996,7.4928
2026-05-14,88225024596.8,1.1428,0.1963,2.0919,1.6933,1.1497,0.5428,0.0907,1.1220,0.8840,0.7018,0.0185,28.7093,0.7266,37.4678,17.2996,7.4928
2026-05-13,90108480178.08,1.1672,0.2075,2.0919,1.6937,1.1533,0.5544,0.0953,1.1220,0.8840,0.7018,0.0182,29.3222,0.7314,37.4678,17.2996,7.4928
2026-05-12,90901514107.04,1.1775,0.2120,2.0919,1.6938,1.1533,0.5592,0.0982,1.1220,0.8844,0.7018,0.0180,29.5803,0.7335,37.4678,17.2897,7.4882
