日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=6.6500,=6.6500,=6.6500,=6.6500,=59956613937.15,=55950330501.0,=25314445840.25,,=-101.2746,,,,
2026-07-02,=6.6200,=6.6200,=6.6200,=6.6200,=59686132972.02,=55697922995.0,=25200245332.7,,=-100.8177,,,,
2026-07-01,=6.5700,=6.5700,=6.5700,=6.5700,=59235331363.47,=55277243818.0,=25009911153.45,,=-100.0563,,,,
2026-06-30,=6.4300,=6.4300,=6.4300,=6.4300,=57973086859.53,=54099342124.0,=24476975451.55,,=-97.9242,,,,
2026-06-29,=6.5200,=6.5200,=6.5200,=6.5200,=58784529754.92,=54856564642.0,=24819576974.2,,=-99.2948,,,,
2026-06-26,=6.5400,=6.5400,=6.5400,=6.5400,=58964850398.34,=55024836312.0,=24895710645.9,,=-99.5994,,,,
2026-06-25,=6.6900,=6.6900,=6.6900,=6.6900,=60317255223.99,=56286873842.0,=25466713183.65,,=-101.8838,,,,
2026-06-24,=6.7400,=6.7400,=6.7400,=6.7400,=60768056832.54,=56707553019.0,=25657047362.9,,=-102.6453,,,,
2026-06-23,=7.0000,=7.0000,=7.0000,=7.0000,=63112225197.0,=58895084738.0,=26646785095.0,,=-106.6049,,,,
2026-06-22,=7.2500,=7.2500,=7.2500,=7.2500,=65366233239.75,=60998480622.0,=27598455991.25,,=-110.4122,,,,
2026-06-18,=7.2500,=7.2500,=7.2500,=7.2500,=65366233239.75,=60998480622.0,=27598455991.25,,=-110.4122,,,,
2026-06-17,=7.5300,=7.5300,=7.5300,=7.5300,=67890722247.63,=63354284011.0,=28664327395.05,,=-114.6764,,,,
2026-06-16,=7.5600,=7.5600,=7.5600,=7.5600,=68161203212.76,=63606691517.0,=28778527902.6,,=-115.1333,,,,
