日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=6.6500,=6.6500,=6.6500,=6.6500,=59956613937.15,=55950330501.0,=25314445840.25,,=0.6249,,,,
2026-07-02,=6.6200,=6.6200,=6.6200,=6.6200,=59686132972.02,=55697922995.0,=25200245332.7,,=0.6221,,,,
2026-07-01,=6.5700,=6.5700,=6.5700,=6.5700,=59235331363.47,=55277243818.0,=25009911153.45,,=0.6174,,,,
2026-06-30,=6.4300,=6.4300,=6.4300,=6.4300,=57973086859.53,=54099342124.0,=24476975451.55,,=0.6043,,,,
2026-06-29,=6.5200,=6.5200,=6.5200,=6.5200,=58784529754.92,=54856564642.0,=24819576974.2,,=0.6127,,,,
2026-06-26,=6.5400,=6.5400,=6.5400,=6.5400,=58964850398.34,=55024836312.0,=24895710645.9,,=0.6146,,,,
2026-06-25,=6.6900,=6.6900,=6.6900,=6.6900,=60317255223.99,=56286873842.0,=25466713183.65,,=0.6287,,,,
2026-06-24,=6.7400,=6.7400,=6.7400,=6.7400,=60768056832.54,=56707553019.0,=25657047362.9,,=0.6334,,,,
2026-06-23,=7.0000,=7.0000,=7.0000,=7.0000,=63112225197.0,=58895084738.0,=26646785095.0,,=0.6578,,,,
2026-06-22,=7.2500,=7.2500,=7.2500,=7.2500,=65366233239.75,=60998480622.0,=27598455991.25,,=0.6813,,,,
2026-06-18,=7.2500,=7.2500,=7.2500,=7.2500,=65366233239.75,=60998480622.0,=27598455991.25,,=0.6813,,,,
2026-06-17,=7.5300,=7.5300,=7.5300,=7.5300,=67890722247.63,=63354284011.0,=28664327395.05,,=0.7076,,,,
2026-06-16,=7.5600,=7.5600,=7.5600,=7.5600,=68161203212.76,=63606691517.0,=28778527902.6,,=0.7104,,,,
2026-06-15,=8.0100,=8.0100,=8.0100,=8.0100,=72218417689.71,=67392804107.0,=30491535515.85,,=0.7527,,,,
2026-06-12,=8.1600,=8.1600,=8.1600,=8.1600,=73570822515.36,=68654841637.0,=31062538053.6,,=0.7668,,,,
2026-06-11,=8.2700,=8.2700,=8.2700,=8.2700,=74562586054.17,=69580335826.0,=31481273247.95,,=0.7772,,,,
2026-06-10,=8.1800,=8.1800,=8.1800,=8.1800,=73751143158.78,=68823113308.0,=31138671725.3,,=0.7687,,,,
2026-06-09,=8.2400,=8.2400,=8.2400,=8.2400,=74292105089.04,=69327928320.0,=31367072740.4,,=0.7743,,,,
2026-06-08,=8.2400,=8.2400,=8.2400,=8.2400,=74292105089.04,=69327928320.0,=31367072740.4,,=0.7743,,,,
2026-06-05,=8.4500,=8.4500,=8.4500,=8.4500,=76185471844.95,=71094780862.0,=32166476293.25,,=0.7941,,,,
2026-06-04,=8.6300,=8.6300,=8.6300,=8.6300,=77808357635.73,=72609225898.0,=32851679338.55,,=0.8110,,,,
2026-06-03,=8.7700,=8.7700,=8.7700,=8.7700,=79070602139.67,=73787127593.0,=33384615040.45,,=0.8242,,,,
2026-06-02,=8.9400,=8.9400,=8.9400,=8.9400,=80603327608.74,=75217436794.0,=34031751249.9,,=0.8401,,,,
2026-06-01,=9.1000,=9.1000,=9.1000,=9.1000,=82045892756.1,=76563610159.0,=34640820623.5,,=0.8552,,,,
2026-05-29,=8.8200,=8.8200,=8.8200,=8.8200,=79521403748.22,=74207806770.0,=33574949219.7,,=0.8289,,,,
2026-05-28,=8.3900,=8.3900,=8.3900,=8.3900,=75644509914.69,=70589965850.0,=31938075278.15,,=0.7884,,,,
2026-05-27,=8.3400,=8.3400,=8.3400,=8.3400,=75193708306.14,=70169286674.0,=31747741098.9,,=0.7837,,,,
2026-05-26,=8.7000,=8.7000,=8.7000,=8.7000,=78439479887.7,=73198176746.0,=33118147189.5,,=0.8176,,,,
2026-05-25,=8.6400,=8.6400,=8.6400,=8.6400,=77898517957.44,=72693361734.0,=32889746174.4,,=0.8119,,,,
2026-05-22,=8.4800,=8.4800,=8.4800,=8.4800,=76455952810.08,=71347188368.0,=32280676800.8,,=0.7969,,,,
2026-05-21,=8.5500,=8.5500,=8.5500,=8.5500,=77087075062.05,=71936139216.0,=32547144651.75,,=0.8035,,,,
2026-05-20,=8.9400,=8.9400,=8.9400,=8.9400,=80603327608.74,=75217436794.0,=34031751249.9,,=0.8401,,,,
2026-05-19,=9.0400,=9.0400,=9.0400,=9.0400,=81504930825.84,=76058795147.0,=34412419608.4,,=0.8495,,,,
2026-05-18,=8.7000,=8.7000,=8.7000,=8.7000,=78439479887.7,=73198176746.0,=33118147189.5,,=0.8176,,,,
2026-05-15,=9.0700,=9.0700,=9.0700,=9.0700,=81775411790.97,=76311202653.0,=34526620115.95,,=0.8523,,,,
2026-05-14,=9.2500,=9.2500,=9.2500,=9.2500,=83398297581.75,=77825647690.0,=35211823161.25,,=0.8693,,,,
2026-05-13,=9.5400,=9.5400,=9.5400,=9.5400,=86012946911.34,=80265586914.0,=36315761400.9,,=0.8965,,,,
2026-05-12,=9.6700,=9.6700,=9.6700,=9.6700,=87185031093.57,=81359352774.0,=36810630266.95,,=0.9087,,,,
2026-05-11,=9.7200,=9.7200,=9.7200,=9.7200,=87635832702.12,=81780031950.0,=37000964446.2,,=0.9134,,,,
2026-05-08,=9.4300,=9.4300,=9.4300,=9.4300,=85021183372.53,=79340092726.0,=35897026206.55,,=0.8862,,,,
2026-05-07,=9.2600,=9.2600,=9.2600,=9.2600,=83488457903.46,=77909783525.0,=35249889997.1,,=0.8702,,,,
2026-05-06,=9.0500,=9.0500,=9.0500,=9.0500,=81595091147.55,=76142930983.0,=34450486444.25,,=0.8505,,,,
2026-04-30,=8.7000,=8.7000,=8.7000,=8.7000,=78439479887.7,=73198176746.0,=33118147189.5,,=0.8176,,,,
2026-04-29,=8.8300,=8.8300,=8.8300,=8.8300,=79611564069.93,=74291942605.0,=33613016055.55,,=0.8291,,,,
2026-04-28,=8.6500,=8.6500,=8.6500,=8.6500,=77988678279.15,=72777497569.0,=32927813010.25,,=0.8122,,,,
2026-04-27,=8.4700,=8.4700,=8.4700,=8.4700,=76365792488.37,=71263052533.0,=32242609964.95,,=0.7953,,,,
2026-04-24,=8.3600,=8.3600,=8.3600,=8.3600,=75374028949.56,=70337558344.0,=31823874770.6,,=0.7850,,,,
2026-04-23,=8.6200,=8.6200,=8.6200,=8.6200,=77718197314.02,=72525090063.0,=32813612502.7,,=0.8094,,,,
