代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
300024,机器人,38.45,32.10,3.50,2.10,0.20,11.50,4.20
002415,海康威视,0.00,0.00,0.00,0.00,0.00,0.00,0.00
603986,兆易创新,0.00,0.00,0.00,0.00,0.00,0.00,0.00
