date,资产负债率
2026-03-31,0.8484
2025-12-31,0.8435
2025-09-30,0.8417
2025-06-30,0.828
2025-03-31,0.828
2024-12-31,0.8254
2024-09-30,0.8314
2024-06-30,0.8097
2024-03-31,0.8176
2023-12-31,0.8113
2023-09-30,0.8105
2023-06-30,0.8157
2023-03-31,0.8172
2022-12-31,0.8025
2022-09-30,0.8099
2022-06-30,0.8236
2022-03-31,0.8174
2021-12-31,0.8328
2021-09-30,0.8282
2021-06-30,0.8361
2021-03-31,0.8347
2020-12-31,0.8235
2020-09-30,0.824
2020-06-30,0.8154
2020-03-31,0.8035
2019-12-31,0.791
2019-09-30,0.7755
2019-06-30,0.7793
2019-03-31,0.7599
2018-12-31,0.7599
2018-09-30,0.7454
2018-06-30,0.7667
2018-03-31,0.7648
2017-12-31,0.7552
2017-09-30,0.7618
2017-06-30,0.7573
2017-03-31,0.7616
2016-12-31,0.756
2016-09-30,0.7401
2016-06-30,0.7562
