date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-08,252928670904.0,26.2760,0.9105,14.9215,8.9347,6.0718,3.3068,0.9381,2.8050,1.7975,1.0110,0.0198,1.6951,0.9992,1.0471,0.6625,0.3009
2026-06-05,251423143101.0,26.1196,0.9093,14.9459,8.9436,6.0718,3.2871,0.9369,2.8046,1.7947,1.0110,0.0200,1.6850,0.9992,1.0471,0.6608,0.3009
2026-06-04,273704954585.4,28.4344,0.9101,14.9364,8.9392,6.0718,3.5784,0.9629,2.8022,1.7940,1.0110,0.0183,1.8344,1.0000,1.0463,0.6605,0.3009
2026-06-03,260657046959.4,27.0789,0.9101,14.9215,8.9347,6.0718,3.4078,0.9501,2.8005,1.7933,1.0110,0.0193,1.7469,1.0000,1.0459,0.6601,0.3009
2026-06-02,239479289197.2,24.8788,0.9084,14.9215,8.9347,6.0718,3.1310,0.9092,2.7995,1.7933,1.0110,0.0210,1.6050,0.9992,1.0454,0.6597,0.3009
2026-06-01,240683711439.6,25.0039,0.9088,14.9215,8.9347,6.0718,3.1467,0.9146,2.7989,1.7931,1.0110,0.0209,1.6131,0.9996,1.0452,0.6591,0.3009
2026-05-29,218803374036.0,22.7308,0.8961,14.9459,8.9436,6.0718,2.8606,0.8219,2.7984,1.7897,1.0110,0.0229,1.4664,0.9918,1.0450,0.6559,0.3009
2026-05-28,215792318430.0,22.4180,0.8940,14.9364,8.9392,6.0718,2.8213,0.8107,2.7972,1.7891,1.0110,0.0233,1.4462,0.9897,1.0445,0.6557,0.3009
2026-05-27,212279420223.0,22.0531,0.8890,14.9215,8.9347,6.0718,2.7753,0.7950,2.7965,1.7885,1.0110,0.0236,1.4227,0.9839,1.0438,0.6554,0.3009
2026-05-26,207260994213.0,21.5317,0.8857,14.9215,8.9347,6.0718,2.7097,0.7805,2.7965,1.7877,1.0110,0.0242,1.3891,0.9798,1.0434,0.6539,0.3009
2026-05-25,208465416455.4,21.6568,0.8866,14.9215,8.9347,6.0718,2.7255,0.7830,2.7965,1.7869,1.0110,0.0241,1.3971,0.9806,1.0422,0.6532,0.3009
2026-05-22,200837408920.2,20.8644,0.8796,14.9459,8.9436,6.0718,2.6258,0.7560,2.7965,1.7838,1.0110,0.0250,1.3460,0.9736,1.0419,0.6523,0.3009
2026-05-21,203948833046.4,21.1876,0.8825,14.9364,8.9392,6.0718,2.6664,0.7678,2.7965,1.7837,1.0110,0.0246,1.3669,0.9769,1.0406,0.6523,0.3009
2026-05-20,214688264707.8,22.3033,0.8899,14.9215,8.9347,6.0718,2.8068,0.8036,2.7965,1.7836,1.0110,0.0234,1.4388,0.9880,1.0406,0.6523,0.3009
2026-05-19,218301531435.0,22.6787,0.8932,14.9215,8.9347,6.0718,2.8541,0.8185,2.7962,1.7831,1.0110,0.0230,1.4631,0.9913,1.0406,0.6521,0.3009
2026-05-18,221212218520.8,22.9811,0.8952,14.9215,8.9347,6.0718,2.8921,0.8342,2.7950,1.7817,1.0110,0.0227,1.4826,0.9934,1.0399,0.6517,0.3009
2026-05-15,212279420223.0,22.0531,0.8866,14.9459,8.9436,6.0718,2.7753,0.7968,2.7932,1.7807,1.0110,0.0236,1.4227,0.9856,1.0394,0.6508,0.3009
