日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=75.1300,=75.1300,=75.1300,=75.1300,=45865290049.81,=45865290050.0,=18808518570.82,,=0.0202
2026-07-02,=83.4800,=83.4800,=83.4800,=83.4800,=50962790008.76,=50962790009.0,=20898910292.72,,=0.0182
2026-07-01,=83.4800,=83.4800,=83.4800,=83.4800,=50962790008.76,=50962790009.0,=20898910292.72,,=0.0182
2026-06-30,=75.8900,=75.8900,=75.8900,=75.8900,=46329254117.93,=46329254118.0,=18998781769.46,,=0.0200
2026-06-29,=68.9900,=68.9900,=68.9900,=68.9900,=42116948762.63,=42116948763.0,=17271392202.86,,=0.0220
2026-06-26,=66.0900,=66.0900,=66.0900,=66.0900,=40346559555.33,=40346559555.0,=16545387892.26,,=0.0230
2026-06-25,=67.3600,=67.3600,=67.3600,=67.3600,=41121867932.32,=41121867932.0,=16863327711.04,,=0.0226
2026-06-24,=69.1600,=69.1600,=69.1600,=69.1600,=42220730198.92,=42220730199.0,=17313951076.24,,=0.0220
2026-06-23,=65.5700,=65.5700,=65.5700,=65.5700,=40029110456.09,=40029110456.0,=16415207808.98,,=0.0232
2026-06-22,=69.4800,=69.4800,=69.4800,=69.4800,=42416083490.76,=42416083491.0,=17394061896.72,,=0.0219
2026-06-18,=65.4300,=65.4300,=65.4300,=65.4300,=39943643390.91,=39943643391.0,=16380159325.02,,=0.0232
2026-06-17,=68.9500,=68.9500,=68.9500,=68.9500,=42092529601.15,=42092529601.0,=17261378350.3,,=0.0220
2026-06-16,=66.8100,=66.8100,=66.8100,=66.8100,=40786104461.97,=40786104462.0,=16725637238.34,,=0.0228
2026-06-15,=67.2900,=67.2900,=67.2900,=67.2900,=41079134399.73,=41079134400.0,=16845803469.06,,=0.0226
2026-06-12,=63.5800,=63.5800,=63.5800,=63.5800,=38814257172.46,=38814257172.0,=15917018644.12,,=0.0239
2026-06-11,=61.1000,=61.1000,=61.1000,=61.1000,=37300269160.7,=37300269161.0,=15296159785.4,,=0.0249
2026-06-10,=60.7000,=60.7000,=60.7000,=60.7000,=37056077545.9,=37056077546.0,=15196021259.8,,=0.0250
2026-06-09,=56.6800,=56.6800,=56.6800,=56.6800,=34601951817.16,=34601951817.0,=14189629077.52,,=0.0268
2026-06-08,=58.0000,=58.0000,=58.0000,=58.0000,=35407784146.0,=35407784146.0,=14520086212.0,,=0.0262
2026-06-05,=60.2400,=60.2400,=60.2400,=60.2400,=36775257188.88,=36775257189.0,=15080861955.36,,=0.0252
2026-06-04,=58.8000,=58.8000,=58.8000,=58.8000,=35896167375.6,=35896167376.0,=14720363263.2,,=0.0259
2026-06-03,=61.3300,=61.3300,=61.3300,=61.3300,=37440679339.21,=37440679339.0,=15353739437.62,,=0.0248
2026-06-02,=61.0500,=61.0500,=61.0500,=61.0500,=37269745208.85,=37269745209.0,=15283642469.7,,=0.0249
2026-06-01,=61.4200,=61.4200,=61.4200,=61.4200,=37495622452.54,=37495622453.0,=15376270605.88,,=0.0247
2026-05-29,=57.5100,=57.5100,=57.5100,=57.5100,=35108649417.87,=35108649418.0,=14397416518.14,,=0.0264
2026-05-28,=59.1500,=59.1500,=59.1500,=59.1500,=36109835038.55,=36109835039.0,=14807984473.1,,=0.0257
2026-05-27,=60.3000,=60.3000,=60.3000,=60.3000,=36811885931.1,=36811885931.0,=15095882734.2,,=0.0252
2026-05-26,=61.7000,=61.7000,=61.7000,=61.7000,=37666556582.9,=37666556583.0,=15446367573.8,,=0.0246
2026-05-25,=60.6100,=60.6100,=60.6100,=60.6100,=37001134432.57,=37001134433.0,=15173490091.54,,=0.0251
2026-05-22,=60.5300,=60.5300,=60.5300,=60.5300,=36952296109.61,=36952296110.0,=15153462386.42,,=0.0251
2026-05-21,=55.0300,=55.0300,=55.0300,=55.0300,=33594661406.11,=33594661406.0,=13776557659.42,,=0.0276
2026-05-20,=56.1100,=56.1100,=56.1100,=56.1100,=34253978766.07,=34253978766.0,=14046931678.54,,=0.0271
2026-05-19,=55.1000,=55.1000,=55.1000,=55.1000,=33637394938.7,=33637394939.0,=13794081901.4,,=0.0276
2026-05-18,=58.0000,=58.0000,=58.0000,=58.0000,=35407784146.0,=35407784146.0,=14520086212.0,,=0.0262
2026-05-15,=62.4900,=62.4900,=62.4900,=62.4900,=38148835022.13,=38148835022.0,=15644141161.86,,=0.0243
2026-05-14,=61.0200,=61.0200,=61.0200,=61.0200,=37251430837.74,=37251430838.0,=15276132080.28,,=0.0249
2026-05-13,=61.3000,=61.3000,=61.3000,=61.3000,=37422364968.1,=37422364968.0,=15346229048.2,,=0.0248
2026-05-12,=61.2000,=61.2000,=61.2000,=61.2000,=37361317064.4,=37361317064.0,=15321194416.8,,=0.0248
2026-05-11,=62.0100,=62.0100,=62.0100,=62.0100,=37855805084.37,=37855805084.0,=15523974931.14,,=0.0245
2026-05-08,=63.1800,=63.1800,=63.1800,=63.1800,=38570065557.66,=38570065558.0,=15816880118.52,,=0.0241
2026-05-07,=63.7000,=63.7000,=63.7000,=63.7000,=38887514656.9,=38887514657.0,=15947060201.8,,=0.0239
2026-05-06,=64.9200,=64.9200,=64.9200,=64.9200,=39632299082.04,=39632299082.0,=16252482704.88,,=0.0234
2026-04-30,=65.2700,=65.2700,=65.2700,=65.2700,=39845966744.99,=39845966745.0,=16340103914.78,,=0.0233
2026-04-29,=66.3500,=66.3500,=66.3500,=66.3500,=40505284104.95,=40505284105.0,=16610477933.9,,=0.0229
2026-04-28,=64.7000,=64.7000,=64.7000,=64.7000,=39497993693.9,=39497993694.0,=16197406515.8,,=0.0235
2026-04-27,=64.9500,=64.9500,=64.9500,=64.9500,=39650613453.15,=39650613453.0,=15105706175.85,,=0.0118
2026-04-24,=63.6100,=63.6100,=63.6100,=63.6100,=38832571543.57,=38832571544.0,=14794056502.63,,=0.0121
2026-04-23,=61.0900,=61.0900,=61.0900,=61.0900,=37294164370.33,=37294164370.0,=14207969057.47,,=0.0126
2026-04-22,=61.9000,=61.9000,=61.9000,=61.9000,=37788652390.3,=37788652390.0,=14396354307.7,,=0.0124
2026-04-21,=62.8300,=62.8300,=62.8300,=62.8300,=38356397894.71,=38356397895.0,=14612648483.89,,=0.0122
2026-04-20,=62.2700,=62.2700,=62.2700,=62.2700,=38014529633.99,=38014529634.0,=14482406829.41,,=0.0123
2026-04-17,=62.5500,=62.5500,=62.5500,=62.5500,=38185463764.35,=38185463764.0,=14547527656.65,,=0.0123
2026-04-16,=62.3300,=62.3300,=62.3300,=62.3300,=38051158376.21,=38051158376.0,=14496361292.39,,=0.0123
2026-04-15,=61.6900,=61.6900,=61.6900,=61.6900,=37660451792.53,=37660451793.0,=14347513687.27,,=0.0124
2026-04-14,=62.7100,=62.7100,=62.7100,=62.7100,=38283140410.27,=38283140410.0,=14584739557.93,,=0.0122
2026-04-13,=60.8200,=60.8200,=60.8200,=60.8200,=37129335030.34,=37129335030.0,=14145173974.06,,=0.0126
2026-04-10,=62.3000,=62.3000,=62.3000,=62.3000,=38032844005.1,=38032844005.0,=14489384060.9,,=0.0123
2026-04-09,=62.6000,=62.6000,=62.6000,=62.6000,=38215987716.2,=38215987716.0,=14559156375.8,,=0.0123
2026-04-08,=63.5500,=63.5500,=63.5500,=63.5500,=38795942801.35,=38795942801.0,=14780102039.65,,=0.0121
2026-04-07,=62.7200,=62.7200,=62.7200,=62.7200,=38289245200.64,=38289245201.0,=14587065301.76,,=0.0122
2026-04-03,=61.7800,=61.7800,=61.7800,=61.7800,=37715394905.86,=37715394906.0,=14368445381.74,,=0.0124
2026-04-02,=61.4900,=61.4900,=61.4900,=61.4900,=37538355985.13,=37538355985.0,=14300998810.67,,=0.0125
2026-04-01,=62.5500,=62.5500,=62.5500,=62.5500,=38185463764.35,=38185463764.0,=14547527656.65,,=0.0123
2026-03-31,=61.6300,=61.6300,=61.6300,=61.6300,=37623823050.31,=37623823050.0,=14333559224.29,,=0.0124
2026-03-30,=62.9200,=62.9200,=62.9200,=62.9200,=38411341008.04,=38411341008.0,=14633580178.36,,=0.0122
2026-03-27,=63.1600,=63.1600,=63.1600,=63.1600,=38557855976.92,=38557855977.0,=14689398030.28,,=0.0121
2026-03-26,=62.4300,=62.4300,=62.4300,=62.4300,=38112206279.91,=38112206280.0,=14519618730.69,,=0.0123
2026-03-25,=62.8900,=62.8900,=62.8900,=62.8900,=38393026636.93,=38393026637.0,=14626602946.87,,=0.0122
2026-03-24,=62.0100,=62.0100,=62.0100,=62.0100,=37855805084.37,=37855805084.0,=14421937489.83,,=0.0124
2026-03-23,=60.1300,=60.1300,=60.1300,=60.1300,=36708104494.81,=36708104495.0,=13984697649.79,,=0.0128
2026-03-20,=62.8300,=62.8300,=62.8300,=62.8300,=38356397894.71,=38356397895.0,=14612648483.89,,=0.0122
2026-03-19,=64.9800,=64.9800,=64.9800,=64.9800,=39668927824.26,=39668927824.0,=15112683407.34,,=0.0118
2026-03-18,=68.0300,=68.0300,=68.0300,=68.0300,=41530888887.11,=41530888887.0,=15822035275.49,,=0.0113
2026-03-17,=67.9200,=67.9200,=67.9200,=67.9200,=41463736193.04,=41463736193.0,=15796452093.36,,=0.0113
2026-03-16,=68.2600,=68.2600,=68.2600,=68.2600,=41671299065.62,=41671299066.0,=15875527383.58,,=0.0112
2026-03-13,=68.5900,=68.5900,=68.5900,=68.5900,=41872757147.83,=41872757148.0,=15952276929.97,,=0.0112
2026-03-12,=69.8500,=69.8500,=69.8500,=69.8500,=42641960734.45,=42641960734.0,=16245320652.55,,=0.0110
2026-03-11,=71.7100,=71.7100,=71.7100,=71.7100,=43777451743.27,=43777451743.0,=16677909004.93,,=0.0107
2026-03-10,=73.3600,=73.3600,=73.3600,=73.3600,=44784742154.32,=44784742154.0,=17061656736.88,,=0.0105
2026-03-09,=72.8300,=72.8300,=72.8300,=72.8300,=44461188264.71,=44461188265.0,=16938392313.89,,=0.0105
2026-03-06,=76.6800,=76.6800,=76.6800,=76.6800,=46811532557.16,=46811532557.0,=17833803688.44,,=0.0100
2026-03-05,=74.1100,=74.1100,=74.1100,=74.1100,=45242601432.07,=45242601432.0,=17236087524.13,,=0.0104
2026-03-04,=72.3500,=72.3500,=72.3500,=72.3500,=44168158326.95,=44168158327.0,=16826756610.05,,=0.0106
2026-03-03,=73.5200,=73.5200,=73.5200,=73.5200,=44882418800.24,=44882418800.0,=17098868638.16,,=0.0104
2026-03-02,=76.7200,=76.7200,=76.7200,=76.7200,=46835951718.64,=46835951719.0,=17843106663.76,,=0.0100
2026-02-27,=73.1700,=73.1700,=73.1700,=73.1700,=44668751137.29,=44668751137.0,=17017467604.11,,=0.0105
2026-02-26,=72.4300,=72.4300,=72.4300,=72.4300,=44216996649.91,=44216996650.0,=16845362560.69,,=0.0106
2026-02-25,=70.9700,=70.9700,=70.9700,=70.9700,=43325697255.89,=43325697256.0,=16505803961.51,,=0.0108
2026-02-24,=71.1900,=71.1900,=71.1900,=71.1900,=43460002644.03,=43460002644.0,=16556970325.77,,=0.0108
2026-02-13,=67.5100,=67.5100,=67.5100,=67.5100,=41213439787.87,=41213439788.0,=15701096596.33,,=0.0114
2026-02-12,=68.7900,=68.7900,=68.7900,=68.7900,=41994852955.23,=41994852955.0,=15998791806.57,,=0.0112
2026-02-11,=69.0800,=69.0800,=69.0800,=69.0800,=42171891875.96,=42171891876.0,=16066238377.64,,=0.0111
2026-02-10,=68.4700,=68.4700,=68.4700,=68.4700,=41799499663.39,=41799499663.0,=15924368004.01,,=0.0112
2026-02-09,=68.7200,=68.7200,=68.7200,=68.7200,=41952119422.64,=41952119423.0,=15982511599.76,,=0.0112
2026-02-06,=68.7000,=68.7000,=68.7000,=68.7000,=41939909841.9,=41939909842.0,=15977860112.1,,=0.0112
2026-02-05,=67.8500,=67.8500,=67.8500,=67.8500,=41421002660.45,=41421002660.0,=15780171886.55,,=0.0113
2026-02-04,=68.0700,=68.0700,=68.0700,=68.0700,=41555308048.59,=41555308049.0,=15831338250.81,,=0.0113
2026-02-03,=68.5900,=68.5900,=68.5900,=68.5900,=41872757147.83,=41872757148.0,=15952276929.97,,=0.0112
2026-02-02,=66.6600,=66.6600,=66.6600,=66.6600,=40694532606.42,=40694532606.0,=15503408370.78,,=0.0115
2026-01-30,=69.1400,=69.1400,=69.1400,=69.1400,=42208520618.18,=42208520618.0,=16080192840.62,,=0.0111
2026-01-29,=69.5200,=69.5200,=69.5200,=69.5200,=42440502652.24,=42440502652.0,=16168571106.16,,=0.0110
2026-01-28,=69.0400,=69.0400,=69.0400,=69.0400,=42147472714.48,=42147472714.0,=16056935402.32,,=0.0111
2026-01-27,=68.4300,=68.4300,=68.4300,=68.4300,=41775080501.91,=41775080502.0,=15915065028.69,,=0.0112
2026-01-26,=67.9100,=67.9100,=67.9100,=67.9100,=41457631402.67,=41457631403.0,=15794126349.53,,=0.0113
2026-01-23,=68.0000,=68.0000,=68.0000,=68.0000,=41512574516.0,=41512574516.0,=15815058044.0,,=0.0113
2026-01-22,=65.0600,=65.0600,=65.0600,=65.0600,=39717766147.22,=39717766147.0,=15131289357.98,,=0.0118
2026-01-21,=63.5800,=63.5800,=63.5800,=63.5800,=38814257172.46,=38814257172.0,=14787079271.14,,=0.0121
2026-01-20,=61.9900,=61.9900,=61.9900,=61.9900,=37843595503.63,=37843595504.0,=14417286002.17,,=0.0124
2026-01-19,=61.2700,=61.2700,=61.2700,=61.2700,=37404050596.99,=37404050597.0,=14249832446.41,,=0.0125
2026-01-16,=58.2400,=58.2400,=58.2400,=58.2400,=35554299114.88,=35554299115.0,=13545132065.92,,=0.0132
