date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,429054830699.5499,5.3466,,,,,0.0242,1.5489,,,,,1.5032,,,,,12.7138,,,,,12.5940,,,,
2026-07-02,424164050245.98,5.2857,,,,,0.0245,1.5313,,,,,1.4860,,,,,12.5689,,,,,12.4504,,,,
2026-07-01,436761515050.63,5.4426,,,,,0.0238,1.5767,,,,,1.5302,,,,,12.9422,,,,,12.8202,,,,
2026-06-30,425794310397.1699,5.3060,,,,,0.0244,1.5371,,,,,1.4917,,,,,12.6172,,,,,12.4983,,,,
2026-06-29,422237379158.2099,5.2617,,,,,0.0246,1.5243,,,,,1.4793,,,,,12.5118,,,,,12.3939,,,,
2026-06-26,411121969036.4599,5.1231,,,,,0.0252,1.4842,,,,,1.4403,,,,,12.1824,,,,,12.0676,,,,
2026-06-25,429499447104.4199,5.3521,,,,,0.0242,1.5505,,,,,1.5047,,,,,12.7270,,,,,12.6070,,,,
2026-06-24,413345051060.81,5.1508,,,,,0.0251,1.4922,,,,,1.4481,,,,,12.2483,,,,,12.1329,,,,
2026-06-23,419717886197.28,5.2303,,,,,0.0247,1.5152,,,,,1.4705,,,,,12.4371,,,,,12.3199,,,,
2026-06-22,424460461182.56,5.2894,,,,,0.0244,1.5323,,,,,1.4871,,,,,12.5777,,,,,12.4591,,,,
2026-06-18,393633723778.2399,4.9052,,,,,0.0264,1.4210,,,,,1.3791,,,,,11.6642,,,,,11.5543,,,,
2026-06-17,405638366709.73,5.0548,,,,,0.0256,1.4644,,,,,1.4211,,,,,12.0199,,,,,11.9066,,,,
2026-06-16,403859901090.25,5.0326,,,,,0.0257,1.4580,,,,,1.4149,,,,,11.9672,,,,,11.8544,,,,
2026-06-15,398079887826.94,4.9606,,,,,0.0261,1.4371,,,,,1.3947,,,,,11.7960,,,,,11.6848,,,,
2026-06-12,389632176134.4099,4.8553,,,,,0.0266,1.4066,,,,,1.3651,,,,,11.5456,,,,,11.4368,,,,
2026-06-11,378072149607.79,4.7113,,,,,0.0274,1.3649,,,,,1.3246,,,,,11.2031,,,,,11.0975,,,,
2026-06-10,380295231632.14,4.7390,,,,,0.0273,1.3729,,,,,1.3323,,,,,11.2690,,,,,11.1627,,,,
2026-06-09,378220355076.08,4.7131,,,,,0.0274,1.3361,,,,,1.2975,,,,,11.2075,,,,,11.1018,,,,
2026-06-08,376886505861.47,4.6965,,,,,0.0275,1.3314,,,,,1.2929,,,,,11.1680,,,,,11.0627,,,,
2026-06-05,380443437100.43,4.7408,,,,,0.0273,1.3439,,,,,1.3051,,,,,11.2734,,,,,11.1671,,,,
2026-06-04,379257793354.1099,4.7261,,,,,0.0274,1.3398,,,,,1.3010,,,,,11.2382,,,,,11.1323,,,,
2026-06-03,379405998822.4,4.7279,,,,,0.0273,1.3403,,,,,1.3015,,,,,11.2426,,,,,11.1366,,,,
2026-06-02,379109587885.82,4.7242,,,,,0.0274,1.3392,,,,,1.3005,,,,,11.2338,,,,,11.1279,,,,
2026-06-01,380443437100.43,4.7408,,,,,0.0273,1.3439,,,,,1.3051,,,,,11.2734,,,,,11.1671,,,,
2026-05-29,386075244895.45,4.8110,,,,,0.0269,1.3638,,,,,1.3244,,,,,11.4402,,,,,11.3324,,,,
2026-05-28,375700862115.15,4.6817,,,,,0.0276,1.3272,,,,,1.2888,,,,,11.1328,,,,,11.0279,,,,
2026-05-27,381925491783.33,4.7593,,,,,0.0272,1.3492,,,,,1.3102,,,,,11.3173,,,,,11.2106,,,,
2026-05-26,388446532388.09,4.8406,,,,,0.0267,1.3722,,,,,1.3325,,,,,11.5105,,,,,11.4020,,,,
2026-05-25,388150121451.51,4.8369,,,,,0.0267,1.3712,,,,,1.3315,,,,,11.5017,,,,,11.3933,,,,
2026-05-22,383407546466.23,4.7778,,,,,0.0271,1.3544,,,,,1.3152,,,,,11.3612,,,,,11.2541,,,,
2026-05-21,388594737856.38,4.8424,,,,,0.0267,1.3727,,,,,1.3330,,,,,11.5149,,,,,11.4064,,,,
2026-05-20,386519861300.32,4.8166,,,,,0.0268,1.3654,,,,,1.3259,,,,,11.4534,,,,,11.3455,,,,
2026-05-19,389335765197.83,4.8517,,,,,0.0266,1.3754,,,,,1.3356,,,,,11.5369,,,,,11.4281,,,,
2026-05-18,387705505046.64,4.8313,,,,,0.0268,1.3696,,,,,1.3300,,,,,11.4886,,,,,11.3803,,,,
2026-05-15,390521408944.15,4.8664,,,,,0.0266,1.3795,,,,,1.3397,,,,,11.5720,,,,,11.4629,,,,
2026-05-14,395115778461.14,4.9237,,,,,0.0263,1.3958,,,,,1.3554,,,,,11.7081,,,,,11.5978,,,,
2026-05-13,402377846407.3499,5.0142,,,,,0.0258,1.4214,,,,,1.3803,,,,,11.9233,,,,,11.8109,,,,
2026-05-12,403415284685.38,5.0271,,,,,0.0257,1.4251,,,,,1.3839,,,,,11.9541,,,,,11.8414,,,,
2026-05-11,405045544836.57,5.0474,,,,,0.0256,1.4308,,,,,1.3895,,,,,12.0024,,,,,11.8892,,,,
2026-05-08,399413737041.5499,4.9772,,,,,0.0260,1.4110,,,,,1.3702,,,,,11.8355,,,,,11.7239,,,,
2026-05-07,403563490153.67,5.0289,,,,,0.0257,1.4256,,,,,1.3844,,,,,11.9585,,,,,11.8457,,,,
2026-05-06,407416832329.2099,5.0770,,,,,0.0255,1.4392,,,,,1.3976,,,,,12.0726,,,,,11.9588,,,,
2026-04-30,403415284685.38,5.0271,,,,,0.0257,1.4251,,,,,1.3839,,,,,11.9541,,,,,11.8414,,,,
2026-04-29,404897339368.28,5.0456,,,,,0.0256,1.4303,,,,,1.3890,,,,,11.9980,,,,,11.8849,,,,
2026-04-28,404600928431.7,5.0419,,,,,0.0256,1.4293,,,,,1.3880,,,,,11.9892,,,,,11.8762,,,,
2026-04-27,396746038612.33,4.9440,,,,,0.0261,1.4015,,,,,1.3610,,,,,11.7564,,,,,11.6456,,,,
2026-04-24,388742943324.67,5.1933,,,,,0.0267,1.4455,,,,,1.4015,,,,,12.9253,,,,,12.8287,,,,
2026-04-23,392448080031.92,5.2428,,,,,0.0264,1.4593,,,,,1.4149,,,,,13.0485,,,,,12.9510,,,,
2026-04-22,395856805802.59,5.2884,,,,,0.0262,1.4719,,,,,1.4272,,,,,13.1618,,,,,13.0635,,,,
2026-04-21,389780381602.7,5.2072,,,,,0.0266,1.4494,,,,,1.4053,,,,,12.9598,,,,,12.8629,,,,
2026-04-20,389780381602.7,5.2072,,,,,0.0266,1.4494,,,,,1.4053,,,,,12.9598,,,,,12.8629,,,,
2026-04-17,389187559729.54,5.1993,,,,,0.0267,1.4471,,,,,1.4031,,,,,12.9401,,,,,12.8434,,,,
2026-04-16,389928587070.9899,5.2092,,,,,0.0266,1.4499,,,,,1.4058,,,,,12.9647,,,,,12.8678,,,,
2026-04-15,385482423022.29,5.1498,,,,,0.0269,1.4334,,,,,1.3898,,,,,12.8169,,,,,12.7211,,,,
2026-04-14,388150121451.51,5.1854,,,,,0.0267,1.4433,,,,,1.3994,,,,,12.9056,,,,,12.8091,,,,
2026-04-13,386668066768.6099,5.1656,,,,,0.0268,1.4378,,,,,1.3940,,,,,12.8563,,,,,12.7602,,,,
2026-04-10,383852162871.0999,5.1280,,,,,0.0270,1.4273,,,,,1.3839,,,,,12.7627,,,,,12.6673,,,,
2026-04-09,357916205920.3499,4.7815,,,,,0.0290,1.3309,,,,,1.2904,,,,,11.9004,,,,,11.8114,,,,
2026-04-08,366067506676.2999,4.8904,,,,,0.0283,1.3612,,,,,1.3198,,,,,12.1714,,,,,12.0804,,,,
2026-04-07,354507480149.68,4.7360,,,,,0.0293,1.3182,,,,,1.2781,,,,,11.7870,,,,,11.6989,,,,
2026-04-03,355396712959.42,4.7478,,,,,0.0292,1.3215,,,,,1.2813,,,,,11.8166,,,,,11.7283,,,,
2026-04-02,357619794983.77,4.7775,,,,,0.0290,1.3298,,,,,1.2893,,,,,11.8905,,,,,11.8016,,,,
2026-04-01,363251602778.79,4.8528,,,,,0.0286,1.3507,,,,,1.3096,,,,,12.0777,,,,,11.9875,,,,
2026-03-31,356285945769.1599,4.7597,,,,,0.0291,1.3248,,,,,1.2845,,,,,11.8461,,,,,11.7576,,,,
2026-03-30,357175178578.9,4.7716,,,,,0.0290,1.3281,,,,,1.2877,,,,,11.8757,,,,,11.7870,,,,
2026-03-27,359546466071.54,4.8033,,,,,0.0289,1.3369,,,,,1.2963,,,,,11.9546,,,,,11.8652,,,,
2026-03-26,357619794983.77,4.8681,,,,,0.0236,1.3368,,,,,1.2959,,,,,12.7431,,,,,12.8510,,,,
2026-03-25,365474684803.14,4.9750,,,,,0.0231,1.3661,,,,,1.3244,,,,,13.0230,,,,,13.1333,,,,
2026-03-24,361028520754.44,4.9145,,,,,0.0234,1.3495,,,,,1.3082,,,,,12.8646,,,,,12.9735,,,,
2026-03-23,359991082476.4099,4.9004,,,,,0.0235,1.3456,,,,,1.3045,,,,,12.8276,,,,,12.9363,,,,
2026-03-20,374959834773.7,5.1041,,,,,0.0225,1.4016,,,,,1.3587,,,,,13.3610,,,,,13.4742,,,,
2026-03-19,379554204290.69,5.1667,,,,,0.0223,1.4188,,,,,1.3754,,,,,13.5247,,,,,13.6393,,,,
2026-03-18,384889601149.13,5.2393,,,,,0.0219,1.4387,,,,,1.3947,,,,,13.7148,,,,,13.8310,,,,
2026-03-17,384000368339.39,5.2272,,,,,0.0220,1.4354,,,,,1.3915,,,,,13.6831,,,,,13.7990,,,,
2026-03-16,377923944139.5,5.1445,,,,,0.0224,1.4127,,,,,1.3695,,,,,13.4666,,,,,13.5807,,,,
2026-03-13,381629080846.75,5.1949,,,,,0.0221,1.4265,,,,,1.3829,,,,,13.5987,,,,,13.7138,,,,
2026-03-12,384296779275.97,5.2312,,,,,0.0220,1.4365,,,,,1.3926,,,,,13.6937,,,,,13.8097,,,,
2026-03-11,386816272236.9,5.2655,,,,,0.0218,1.4459,,,,,1.4017,,,,,13.7835,,,,,13.9002,,,,
2026-03-10,387260888641.77,5.2716,,,,,0.0218,1.4476,,,,,1.4033,,,,,13.7993,,,,,13.9162,,,,
