date,净资产收益率(ROE),总资产收益率(ROA),净利润率
2026-03-31,0.1071,0.0172,0.4325
2025-12-31,0.0993,0.0164,0.4142
2025-09-30,0.0948,0.0155,0.3955
2025-06-30,0.0865,0.0156,0.3864
2025-03-31,0.0815,0.0144,0.3568
2024-12-31,0.0789,0.0143,0.3541
2024-09-30,0.0748,0.0133,0.3464
2024-06-30,0.0722,0.0135,0.3365
2024-03-31,0.0731,0.0133,0.3432
2023-12-31,0.0771,0.0149,0.3419
2023-09-30,0.0845,0.016,0.3607
2023-06-30,0.0874,0.0158,0.3615
2023-03-31,0.0874,0.016,0.343
2022-12-31,0.0939,0.0171,0.3405
2022-09-30,0.0991,0.018,0.3343
2022-06-30,0.1049,0.0179,0.3124
2022-03-31,0.1098,0.0192,0.3196
2021-12-31,0.1201,0.0206,0.3137
2021-09-30,0.1056,0.0183,0.2949
2021-06-30,0.1017,0.0176,0.289
2021-03-31,0.0897,0.0161,0.2872
2020-12-31,0.0883,0.0168,0.2853
2020-09-30,0.0858,0.0168,0.2847
2020-06-30,0.0895,0.0179,0.3162
2020-03-31,0.073,0.0157,0.2752
2019-12-31,0.0785,0.0175,0.2932
2019-09-30,0.0815,0.0194,0.3049
2019-06-30,0.0684,0.0155,0.2747
2019-03-31,0.0722,0.0172,0.3007
2018-12-31,0.0637,0.0154,0.2653
2018-09-30,0.0738,0.0182,0.2696
2018-06-30,0.084,0.02,0.283
2018-03-31,0.0812,0.0192,0.2781
2017-12-31,0.0801,0.0196,0.2767
2017-09-30,0.0749,0.0186,0.2779
2017-06-30,0.0746,0.0181,0.2769
2017-03-31,0.08,0.0192,0.2979
2016-12-31,0.0764,0.0181,0.289
2016-09-30,0.0884,0.0207,0.303
