date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-07-03,62194298979.25,1.2655,,,,,1.6218,,,,,25.5915,,,,,17.8893,,,,,1.4698,,,,,0.0167
2026-07-02,61499987354.75,1.2514,,,,,1.6037,,,,,25.3058,,,,,17.6895,,,,,1.4534,,,,,0.0169
2026-07-01,61740325994.0,1.2562,,,,,1.6099,,,,,25.4047,,,,,17.7587,,,,,1.4591,,,,,0.0169
2026-06-30,60004546932.75,1.2209,,,,,1.5647,,,,,24.6905,,,,,17.2594,,,,,1.4181,,,,,0.0174
2026-06-29,60698858557.25,1.2351,,,,,1.5828,,,,,24.9762,,,,,17.4591,,,,,1.4345,,,,,0.0172
2026-06-26,56639805983.25,1.1525,,,,,1.4769,,,,,23.3060,,,,,16.2916,,,,,1.3385,,,,,0.0184
2026-06-25,59230122428.5,1.2052,,,,,1.5445,,,,,24.3718,,,,,17.0367,,,,,1.3998,,,,,0.0176
2026-06-24,60084659812.5,1.2226,,,,,1.5667,,,,,24.7234,,,,,17.2824,,,,,1.4200,,,,,0.0173
2026-06-23,59443756774.5,1.2095,,,,,1.5500,,,,,24.4597,,,,,17.0981,,,,,1.4048,,,,,0.0175
2026-06-22,58909670909.5,1.1986,,,,,1.5361,,,,,24.2400,,,,,16.9445,,,,,1.3922,,,,,0.0177
2026-06-18,58188654991.75,1.1840,,,,,1.5173,,,,,23.9433,,,,,16.7371,,,,,1.3751,,,,,0.0179
2026-06-17,57627864833.5,1.1726,,,,,1.5027,,,,,23.7125,,,,,16.5758,,,,,1.3619,,,,,0.0181
2026-06-16,58348880751.25,1.1872,,,,,1.5215,,,,,24.0092,,,,,16.7832,,,,,1.3789,,,,,0.0178
2026-06-15,59577278240.75,1.2122,,,,,1.5535,,,,,24.5147,,,,,17.1365,,,,,1.4080,,,,,0.0175
2026-06-12,59710799707.0,1.2149,,,,,1.5570,,,,,24.5696,,,,,17.1749,,,,,1.4111,,,,,0.0174
2026-06-11,58161950698.5,1.1834,,,,,1.5166,,,,,23.9323,,,,,16.7294,,,,,1.3745,,,,,0.0179
2026-06-10,59043192375.75,1.2014,,,,,1.5396,,,,,24.2949,,,,,16.9829,,,,,1.3953,,,,,0.0176
2026-06-09,58295472164.75,1.1862,,,,,1.5201,,,,,23.9872,,,,,16.7678,,,,,1.3777,,,,,0.0179
2026-06-08,57814794886.25,1.1764,,,,,1.5076,,,,,23.7894,,,,,16.6296,,,,,1.3663,,,,,0.0180
