date,所有者权益合计,资产负债率,负债合计,流动比率,应收账款,流动负债合计,速动比率,流动资产合计,长期负债合计,资产合计,有息负债率,货币资金
2026-03-31,63669349055,0.4822,59297039211,0.9285,9467950689,1127463590,0.727,116577779,10076871311,122966388266,0.3215,71113532924.75
2025-12-31,61840349851,0.4849,58213619075,0.9285,9364522149,1299979018,0.7296,116367018,10361990717,120053968926,0.3173,70739672819.25
2025-09-30,60811599892,0.4852,57309138621,0.9162,8196115879,1173694132,0.6811,108553960,9430519740,118120738513,0.3109,79685611058
2025-06-30,60315108378,0.4924,58512828677,0.9533,8481358285,1132812171,0.7317,122425494,11094923098,118827937055,0.3113,67001071764.25
2025-03-31,60849901928,0.4843,57140586962,0.9701,7857349787,1426224945,0.7427,131501388,11560443014,117990488890,0.3084,66329036125.95
2024-12-31,59933728912,0.4898,57526838437,0.9209,7952072558,1232314689,0.7006,127553496,10203500107,117460567349,0.3078,66382462655.25
2024-09-30,59194604170,0.4864,56070157588,0.9203,8415900587,1007116288,0.6941,81715178,8630183539,115264761757,0.3017,73945272333.37
2024-06-30,58861941625,0.4905,56675872541,0.9304,8162575321,1082436921,0.7027,129765752,9559300502,115537814166,0.3011,59166907461.54
2024-03-31,57535674072,0.4942,56210115353,1.0071,7437718557,1112904586,0.7595,146972345,12944955087,113745789426,0.3135,61652238262.77
2023-12-31,56616260436,0.501,56853344377,1.001,7643736271,1200496066,0.7472,145887292,13504923111,113469604813,0.3094,66890139736.33
2023-09-30,55982359755,0.4946,54784884542,1.0118,7828696365,1264365084,0.7527,0,12225867713,110767244297,0.3013,76434306834.6
2023-06-30,55448913934,0.5056,56693775212,1.0009,8867944858,1210488086,0.764,0,11677280063,112142689146,0.3007,82569639279.9
2023-03-31,55047714623,0.4874,52331660769,1.0835,7831489847,1073749398,0.8069,0,11851681250,107379375392,0.2866,86551152630.29
2022-12-31,54108909613,0.4951,53054997619,1.0595,7588099263,1544762576,0.8045,0,11600437132,107163907232,0.2823,94166798971.64
2022-09-30,53226338190,0.4898,51102915980,1.105,7252224412,1268442362,0.8333,0,11706969842,104329254170,0.2888,78915008037.16
2022-06-30,47734086945,0.5169,51070366988,1.0053,7272567172,1207096096,0.7587,0,10787707149,98804453933,0.3035,112998196849.05
2022-03-31,47760545764,0.5013,48014051421,1.024,6361379873,1483182785,0.7672,0,7954651573,95774597184,0.2789,136679379404.85
2021-12-31,48375564452,0.4815,44918226506,1.038,6029232584,1150274107,0.792,0,6694183386,93293790958,0.2599,125428254792.3
2021-09-30,48404466553,0.464,41898262777,1.0717,6333797204,2197995215,0.8019,0,5963578833,90302729330,0.2685,134039593903.5
2021-06-30,47096473293,0.4677,41382897587,1.0372,5989287524,1447288315,0.7798,0,6674021196,88479370880,0.2707,184861872050.85
2021-03-31,46990011532,0.4575,39623721239,1.0548,5063380996,1703843699,0.7801,0,7451053486,86613732771,0.2759,101977733105.55
2020-12-31,45984281813,0.4505,37701727889,1.0085,4564659595,1020308709,0.7409,0,7145885213,83686009702,0.287,138370892444.55
2020-09-30,39482989736,0.5098,41064999479,1.0084,4983425347,588650705,0.7661,0,9025129212,80547989215,0.3094,125863947544.95
2020-06-30,39855707112,0.5029,40314053796,1.0009,5080545320,527652174,0.7716,0,7567405667,80169760908,0.2887,86754115917.5
2020-03-31,39594974858,0.4897,37996657760,1.2074,4273671584,503641479,0.9348,0,7397945657,77591632618,0.2956,84216846353
2019-12-31,39204213324,0.485,36915432339,1.1703,4367599412,503683075,0.9205,0,7293043831,76119645663,0.2878,68173101430
2019-09-30,37952207395,0.517,40617090330,1.2112,4463034534,388047457,0.9807,0,8816140333,78569297726,0.3125,64764446358.5
2019-06-30,34517372613,0.5316,39172237169,1.03,4411974592,405772419,0.7952,0,8851298968,73689609781,0.3156,64841333315
2019-03-31,34430687289,0.5267,38321078189,1.1604,4057747447,388480038,0.9037,0,8758054914,72751765477,0.3268,76327953602
2018-12-31,33592713376,0.5239,36958648012,1.0044,3623640741,530896725,0.7946,0,8630661547,70551361387,0.3289,59642427143
2018-09-30,33023670884,0.518,35489149659,0.9385,3651261488,642409535,0.7416,0,9298906864,68512820543,0.3394,80864571395
2018-06-30,30472493633,0.5397,35726879273,0.7439,0,0,0.5986,0,5002361321,66199372906,0.3569,103270570651
2018-03-31,30882334189,0.5153,32834636257,0.9264,3335799679,0,0.7406,0,5085105881,63716970446,0.3373,111008380414.5
2017-12-31,29741453931,0.5201,32229554866,0.907,3247537670,0,0.7248,0,5579513665,61971008797,0.3275,111033331725
2017-09-30,29230975359,0.4826,27261210343,1.3799,2764152983,0,1.2219,0,5783067191,56492185702,0.354,85308530599.5
2017-06-30,27479570401,0.4573,23154394123,1.4826,2574463089,0,1.264,0,5509868068,50633964524,0.3038,77324111239.5
2017-03-31,25971100423,0.4514,21367025786,1.1362,2242246990,0,0.9515,0,2626791099,47338126209,0.2945,68136471801
2016-12-31,25250325936,0.4231,18517461330,1.0649,1965005508,0,0.8728,0,2182905032,43767787266,0.2564,55871808837
2016-09-30,22611623168,0.4647,19632476193,0.9263,2064609297,0,0.7638,0,2223184339,42244099361,0.2875,54334489452.8
