date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,870825582,0.1387,10073223477,0.33
2025-12-31,3370561563,0.2169,41661612748,1.27
2025-09-30,2523293508,0.255,29393385361,0.95
2025-06-30,1701967774,0.3896,19514431850,0.64
2025-03-31,764757750,0.2542,9420322797,0.29
2024-12-31,2769886631,0.1608,41067195863,1.04
2024-09-30,2010642361,-0.1193,30911889003,0.75
2024-06-30,1224798594,-0.3109,20462812731,0.46
2024-03-31,609733627,-0.3822,10157255262,0.23
2023-12-31,2386265814,-0.3604,41399539588,0.89
2023-09-30,2283065931,-0.0629,30700119056,0.86
2023-06-30,1777471870,0.1574,21395192580,0.67
2023-03-31,986971662,1.1617,10870720839,0.37
2022-12-31,3730804583,-0.211,43951546895,1.43
2022-09-30,2454367005,-0.3115,31610071303,0.95
2022-06-30,1547333557,-0.3767,21340053678,0.6
2022-03-31,462512221,-0.4541,10381939406,0.18
2021-12-31,4735269691,0.2928,39005086602,1.85
2021-09-30,3564733324,0.438,27048280045,1.39
2021-06-30,2482372726,0.4477,16952397689,0.97
2021-03-31,847185598,0.4678,8056120184,0.33
2020-12-31,3662812938,0.1027,30306981264,1.43
2020-09-30,2478980552,0.2012,22102744284,0.97
2020-06-30,1714710154,0.131,14028164572,0.67
2020-03-31,577198049,-0.1897,5880507166,0.23
2019-12-31,3321617566,0.2266,28585152033,1.3
2019-09-30,2063704148,-0.0145,21227618679,0.81
2019-06-30,1516119847,-0.0284,14172768621,0.59
2019-03-31,712291661,0.0092,6730014186,0.28
2018-12-31,2707923418,-0.1333,24918273561,1.07
2018-09-30,2094152354,-0.1344,18142384872,0.83
2018-06-30,1560470766,-0.0761,11858999567,0.63
2018-03-31,705783680,-0.0433,5719203064,0.28
2017-12-31,3124499549,0.1136,18533555418,1.27
2017-09-30,2419266945,0.1113,12959812919,0.99
2017-06-30,1689059655,0.1258,8353022552,0.7
2017-03-31,737746683,0.1632,3880454792,0.32
2016-12-31,2805837071,0.1405,14628820443,1.21
2016-09-30,2176888748,0.1512,10637985462,0.94
