date,metric,value
2026-03-31,货币资金,71113532924.75
2026-03-31,营业收入,10073223477
2026-03-31,流动负债合计,1127463590
2026-03-31,速动比率,0.727
2026-03-31,归属于母公司普通股股东的净利润,870825582
2026-03-31,资产负债率,0.4822
2026-03-31,基本每股收益,0.33
2026-03-31,负债合计,59297039211
2026-03-31,净利润率,0.1037
2026-03-31,净资产收益率(ROE),0.0704
2026-03-31,总资产收益率(ROA),0.0364
2026-03-31,资产合计,122966388266
2026-03-31,毛利率(GM),0.505
2026-03-31,所有者权益合计,63669349055
2026-03-31,长期负债合计,10076871311
2026-03-31,流动比率,0.9285
2026-03-31,资本回报率(ROIC),0.055
2026-03-31,应收账款,9467950689
2026-03-31,经营活动产生的现金流量净额,1148597788
2026-03-31,自由现金流量,1008385747
2026-03-31,有息负债率,0.3215
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.2098
2026-03-31,流动资产合计,116577779
