date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-08,568259331320.79,0.0438,17.9428,0.5423,19.8378,17.7573,15.1219,1.0911,0.5812,1.2110,1.0689,0.9051,1.2134,0.5155,1.3799,1.2062,0.9146
2026-06-05,559108617450.89,0.0445,17.6539,0.4806,19.8378,17.7573,15.1219,1.0735,0.5151,1.2111,1.0687,0.9051,1.1938,0.4607,1.3808,1.2062,0.9146
2026-06-04,549957903580.99,0.0453,17.3649,0.4308,19.8378,17.7573,15.1219,1.0560,0.4403,1.2111,1.0685,0.9051,1.1743,0.4135,1.3808,1.2062,0.9146
2026-06-03,560023688837.88,0.0444,17.6828,0.4823,19.8378,17.7573,15.1219,1.0753,0.5264,1.2111,1.0687,0.9051,1.1958,0.4632,1.3808,1.2064,0.9146
2026-06-02,563683974385.84,0.0442,17.7983,0.5095,19.8378,17.7573,15.1219,1.0823,0.5537,1.2111,1.0685,0.9051,1.2036,0.4896,1.3808,1.2066,0.9146
2026-06-01,553618189128.95,0.0450,17.4805,0.4484,19.8378,17.7573,15.1219,1.0630,0.4692,1.2111,1.0684,0.9051,1.1821,0.4267,1.3808,1.2073,0.9146
2026-05-29,553618189128.95,0.0450,17.4805,0.4488,19.8378,17.7573,15.1219,1.0630,0.4696,1.2120,1.0685,0.9051,1.1821,0.4271,1.3810,1.2080,0.9146
2026-05-28,546297618033.03,0.0456,17.2494,0.4188,19.8378,17.7616,15.1219,1.0489,0.4283,1.2120,1.0687,0.9051,1.1665,0.4040,1.3810,1.2081,0.9146
2026-05-27,545382546646.04,0.0456,17.2205,0.4139,19.8378,17.7659,15.1219,1.0472,0.4226,1.2120,1.0689,0.9051,1.1645,0.4026,1.3810,1.2083,0.9146
2026-05-26,556363403289.92,0.0447,17.5672,0.4621,19.8378,17.7659,15.1219,1.0683,0.4978,1.2120,1.0690,0.9051,1.1880,0.4421,1.3810,1.2083,0.9146
2026-05-25,560938760224.87,0.0444,17.7117,0.4843,19.8378,17.7659,15.1219,1.0771,0.5314,1.2120,1.0691,0.9051,1.1977,0.4660,1.3810,1.2084,0.9146
2026-05-22,562768902998.85,0.0442,17.7694,0.5004,19.8378,17.7677,15.1219,1.0806,0.5449,1.2137,1.0690,0.9051,1.2017,0.4804,1.3819,1.2093,0.9146
2026-05-21,581070330738.65,0.0428,18.3473,0.6492,19.8378,17.7659,15.1219,1.1157,0.6457,1.2137,1.0689,0.9051,1.2407,0.5916,1.3819,1.2103,0.9146
2026-05-20,609437543735.34,0.0408,19.2430,0.7598,19.8378,17.7659,15.1219,1.1702,0.7328,1.2137,1.0687,0.9051,1.3013,0.6838,1.3819,1.2093,0.9146
2026-05-19,651530827536.88,0.0382,20.5721,0.8505,19.8378,17.7659,15.1219,1.2510,0.8313,1.2137,1.0685,0.9051,1.3912,0.8121,1.3819,1.2084,0.9146
2026-05-18,624078685927.18,0.0399,19.7053,0.7883,19.8378,17.7616,15.1219,1.1983,0.7857,1.2120,1.0684,0.9051,1.3326,0.7235,1.3810,1.2083,0.9146
2026-05-15,579240187964.67,0.0430,18.2895,0.6331,19.8378,17.7573,15.0979,1.1122,0.6419,1.2137,1.0682,0.9051,1.2368,0.5841,1.3819,1.2083,0.9127
2026-05-14,572834688255.74,0.0435,18.0873,0.5723,19.8378,17.7573,15.0979,1.0999,0.6109,1.2137,1.0682,0.9051,1.2231,0.5460,1.3819,1.2081,0.9127
2026-05-13,568259331320.79,0.0438,17.9428,0.5412,19.8378,17.7573,15.0979,1.0911,0.5807,1.2137,1.0682,0.9051,1.2134,0.5140,1.3819,1.2080,0.9127
2026-05-12,560023688837.88,0.0444,17.6828,0.4846,19.8378,17.7573,15.0979,1.0753,0.5294,1.2137,1.0681,0.9051,1.1958,0.4653,1.3819,1.2073,0.9127
2026-05-11,561853831611.86,0.0443,17.7405,0.4930,19.8378,17.7573,15.0979,1.0788,0.5431,1.2137,1.0680,0.9051,1.1997,0.4780,1.3819,1.2080,0.9127
2026-05-08,553618189128.95,0.0450,17.4805,0.4529,19.8479,17.7573,15.0860,1.0630,0.4741,1.2154,1.0680,0.9051,1.1821,0.4310,1.3820,1.2081,0.9125
2026-05-07,548127760807.01,0.0454,17.3071,0.4278,19.8479,17.7573,15.0860,1.0525,0.4375,1.2154,1.0680,0.9051,1.1704,0.4129,1.3820,1.2083,0.9125
2026-05-06,544467475259.05,0.0457,17.1916,0.4167,19.8479,17.7616,15.0860,1.0454,0.4264,1.2154,1.0681,0.9051,1.1626,0.4053,1.3820,1.2083,0.9125
2026-04-30,551788046354.97,0.0451,17.4227,0.4444,19.8479,17.7659,15.0860,1.0595,0.4541,1.2154,1.0682,0.9051,1.1782,0.4242,1.3820,1.2084,0.9125
