date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,65022185944,4.3233,23215066428,1.1444
2025-12-31,53361594017,3.748,124518913221,-0.1428
2025-09-30,60371464612,3.9286,87311582157,-0.1037
2025-06-30,53268091523,3.9368,47034217346,-0.1938
2025-03-31,47567694478,4.0763,10825979030,-0.4811
2024-12-31,56408216916,4.4054,145268134286,0.0479
2024-09-30,37091188480,3.7714,97412287896,-0.1379
2024-06-30,36292790441,4.0751,58340550542,-0.1115
2024-03-31,41480018366,4.2002,20861775770,-0.2787
2023-12-31,49761475135,4.5557,138623058756,0.0102
2023-09-30,43810013217,4.4303,112990180912,-0.0301
2023-06-30,46665287256,4.6659,65663263712,0.0063
2023-03-31,49070959404,4.8572,28922925108,0.023
2022-12-31,47270024747,4.958,137218975740,-0.0142
2022-09-30,47809910964,4.9304,116491580312,-0.0358
2022-06-30,51870420294,5.1073,65251353488,-0.0458
2022-03-31,51249709768,5.1933,28273069596,0.0208
2021-12-31,55738878555,5.3221,139194837161,0.0297
2021-09-30,56016862677,6.0739,120814566827,0.2044
2021-06-30,53365000000,5.5008,68382000000,0.0255
2021-03-31,49105000000,6.4242,27696000000,0.1819
2020-12-31,47100000000,6.41,135181000000,0.1588
2020-09-30,,,100307327506,
2020-06-30,,,66680000000,
2020-03-31,,,23434000000,
2019-12-31,36124000000,5.6302,116658000000,0.1399
2018-12-31,20395000000,4.9771,102339000000,
