date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-04-07,24.3111,0.3227,109.0963,39.3921,22.7809,0.0207,5.2199,0.5016,10.9908,5.7177,4.6649,27.2105,0.3211,135.8939,44.3092,25.1653,4.1428,0.4491,10.8376,4.5716,2.8860,5.2069,0.5016,10.9136,5.6992,4.6484
2026-04-03,24.4293,0.3227,109.0963,39.3921,22.7809,0.0206,5.2453,0.5016,10.9908,5.7177,4.6649,27.3428,0.3211,135.8939,44.3092,25.1653,4.1629,0.4491,10.8376,4.5716,2.8860,5.2322,0.5016,10.9136,5.6992,4.6484
2026-04-02,25.3592,0.3227,109.0963,39.3921,22.7809,0.0198,5.4449,0.5016,10.9908,5.7177,4.6649,28.3836,0.3211,135.8939,44.3092,25.1653,4.3214,0.4491,10.8376,4.5716,2.8860,5.4314,0.5016,10.9136,5.6992,4.6484
2026-04-01,25.6462,0.3227,109.0963,39.3921,22.7809,0.0196,5.5065,0.5016,10.9908,5.7177,4.6649,28.7048,0.3211,135.8939,44.3092,25.1653,4.3703,0.4491,10.8376,4.5716,2.8860,5.4929,0.5016,10.9136,5.6992,4.6484
2026-03-31,25.3927,0.3227,109.0963,39.3921,22.7809,0.0198,5.4521,0.5016,10.9908,5.7177,4.6649,28.4211,0.3211,135.8939,44.3092,25.1653,4.3271,0.4491,10.8376,4.5716,2.8860,5.4386,0.5016,10.9136,5.6992,4.6484
2026-03-30,26.1059,0.3227,109.0963,39.3921,22.7809,0.0193,5.6052,0.5016,10.9908,5.7177,4.6649,29.2194,0.3211,135.8939,44.3092,25.1653,4.4486,0.4491,10.8376,4.5716,2.8860,5.5913,0.5016,10.9136,5.6992,4.6484
2026-03-27,26.3069,0.3227,109.0963,39.3921,22.7809,0.0191,5.6484,0.5016,10.9908,5.7177,4.6649,29.4443,0.3211,135.8939,44.3092,25.1653,4.4828,0.4491,10.8376,4.5716,2.8860,5.6344,0.5016,10.9136,5.6992,4.6484
2026-03-26,25.4422,0.3227,109.0963,39.3921,22.7809,0.0198,5.4627,0.5016,10.9908,5.7177,4.6649,28.4765,0.3211,135.8939,44.3092,25.1653,4.3355,0.4491,10.8376,4.5716,2.8860,5.4492,0.5016,10.9136,5.6992,4.6484
2026-03-25,25.1457,0.3227,109.0963,39.3921,22.7809,0.0200,5.3991,0.5016,10.9908,5.7177,4.6649,28.1447,0.3211,135.8939,44.3092,25.1653,4.2850,0.4491,10.8376,4.5716,2.8860,5.3857,0.5016,10.9136,5.6992,4.6484
2026-03-24,25.0939,0.3227,109.0963,39.3921,22.7809,0.0200,5.3880,0.5016,10.9908,5.7177,4.6649,28.0867,0.3211,135.8939,44.3092,25.1653,4.2761,0.4491,10.8376,4.5716,2.8860,5.3746,0.5016,10.9136,5.6992,4.6484
2026-03-23,25.4099,0.3227,109.0963,39.3921,22.7809,0.0197,5.4558,0.5016,10.9908,5.7177,4.6649,28.4404,0.3211,135.8939,44.3092,25.1653,4.3300,0.4491,10.8376,4.5716,2.8860,5.4423,0.5016,10.9136,5.6992,4.6484
