date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,1.5832,33680852000,0.0247,89808505000
2025-12-31,1.7349,133219982000,0.3735,91087373000
2025-09-30,1.631,80660430000,0.196,70295386100
2025-06-30,1.8046,58687066000,0.3126,73514841200
2025-03-31,1.7599,32868257000,0.1591,67150106797
2024-12-31,1.7959,96990345000,0.0449,65885512000
2024-09-30,2.0313,67443601100,0.2809,79702217442
2024-06-30,2.0026,44708954600,0.2061,71492903102
2024-03-31,2.0933,28357910599,0.3525,70004761903
2023-12-31,1.9851,92826124400,0.5165,59214081400
2023-09-30,1.8967,52653692287,1.0276,48491665837
2023-06-30,1.7586,37070369759,0.9842,37629434847
2023-03-31,1.8069,20966278500,1.9631,28026172200
2022-12-31,1.8295,61208843300,0.4265,12994169100
2022-09-30,1.4177,25967948599,-0.0948,-8631482091
2022-06-30,1.6144,18682343042,-0.2742,-12525638397
2022-03-31,2.2305,7075886400,-0.3548,-7451735381
2021-12-31,2.4024,42908008697,1.3282,-856539011
2021-09-30,3.1824,28686238553,1.7835,892593976
2021-06-30,4.1298,25742059687,3.4181,10114982308
2021-03-31,3.4802,10966870552,2.4851,6121390727
2020-12-31,3.0194,18429902632,0.368,5127571522
2020-09-30,2.7262,10305924782,-0.0018,2437566776
2020-06-30,2.4994,5826552889,-0.1992,1871048336
2020-03-31,2.4249,3146750316,-0.3677,1973079274
2019-12-31,2.6876,13471954557,0.1905,3860056401
2019-09-30,3.3041,10324929541,0.8199,6765043890
2019-06-30,3.4981,7276302909,5.6069,8788595851
2019-03-31,4.4629,4976851201,2.522,12581718537
2018-12-31,3.0291,11316265701,3.6204,4687285534
2018-09-30,2.4164,5603430680,4.2327,3762507525
2018-06-30,1.2219,1058326103,2.708,-1689261736
2018-03-31,-0.2416,-3269834484,-17.878,-7511032209
2017-12-31,0.5581,2340748210,0.1098,-4838959985
2017-09-30,,-1733364574,,
2017-06-30,,-619644119,,
2017-03-31,,193733604,,
2016-12-31,0.7227,2109126727,2.1738,-686646028
