date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,129131041000,0.5245,20737710000,4.58
2025-12-31,423701834000,0.1704,72201282000,16.14
2025-09-30,283071987000,0.0928,49034109000,11.02
2025-06-30,178886253000,0.0727,30485139000,6.92
2025-03-31,84704589000,0.0618,13962558000,3.18
2024-12-31,362012554000,-0.097,50744682000,11.58
2024-09-30,259044748600,-0.1209,36001073800,8.1894
2024-06-30,166766833600,-0.1188,22864987400,5.2017
2024-03-31,79770778618,-0.1041,10509923207,2.3909
2023-12-31,400917044900,0.2201,44121248300,11.79
2023-09-30,294677250596,0.401,31145473555,7.0958
2023-06-30,189246041326,0.6752,20717264497,4.7201
2023-03-31,89038465300,0.8291,9822265100,4.0332
2022-12-31,328593987500,1.5207,30729163500,12.9178
2022-09-30,210340240501,1.8672,17591591705,7.4704
2022-06-30,112971257933,1.5632,8168034648,3.5233
2022-03-31,48678419100,1.5397,1492804600,0.6439
2021-12-31,130355796360,1.5906,15931317852,6.876
2021-09-30,73361545522,1.3273,7751145659,3.3464
2021-06-30,44074560629,1.3407,4483787564,1.9416
2021-03-31,19166685224,1.1224,1954417237,0.8463
2020-12-31,50319487697,0.099,5583338710,2.4942
2020-09-30,31522480930,-0.0406,3356875044,1.5243
2020-06-30,18829453133,-0.0708,1937281091,0.8833
2020-03-31,9030794052,-0.0953,742043183,0.3406
2019-12-31,45788020642,0.5463,4560307433,2.0937
2019-09-30,32855706536,0.717,3464305268,1.6002
2019-06-30,20263844170,1.165,2102435143,0.9674
2019-03-31,9981855666,1.6893,1047233227,0.48
2018-12-31,29611265434,0.4808,3387035208,1.6412
2018-09-30,19135923760,0.5985,2378500010,1.17
2018-06-30,9359580668,0.4869,910954288,0.4659
2018-03-31,3711641231,1.552,413347159,0.212
2017-12-31,19996860806,0.344,3877954870,2.0084
2017-09-30,11970899899,,2570510205,1.33
2017-06-30,6294695149,,1811112197,0.9499
2017-03-31,1454385692,,-11687915,-0.0189
2016-12-31,14878985098,1.609,2851821419,1.8736
