date,流动负债合计,有息负债率,速动比率,所有者权益合计,资产合计,负债合计,流动资产合计,长期负债合计,资产负债率,流动比率
2026-03-31,45549672000,0.1215,1.2995,394232291000,1046329036000,652096744000,417210000,76221312000,0.6232,1.5956
2025-12-31,49233377000,0.1231,1.3245,371026324000,974827544000,603801220000,375468000,78234935000,0.6194,1.5977
2025-09-30,40678197000,0.1438,1.408,347012071000,896082131000,549070060000,398446000,78441925000,0.6127,1.6842
2025-06-30,36641662000,0.1619,1.4444,324389412000,867181431000,542792019000,346467000,82416083000,0.6259,1.6896
2025-03-31,37088532000,0.1671,1.3923,289139355000,820097269000,530957915000,261473000,84826153000,0.6474,1.6157
2024-12-31,27834446000,0.1761,1.3997,273456174000,786658123000,513201949000,400626000,81238456000,0.6524,1.6084
2024-09-30,22651661600,0.1789,1.4384,263300643400,738235004400,474934361000,363142300,85444436200,0.6433,1.6607
2024-06-30,22462994100,0.1935,1.4251,219839626800,715251888900,495412262100,284662400,88819915800,0.6926,1.6324
2024-03-31,20599513250,0.1881,1.4619,230468391682,731286481523,500818089841,261354301,88444675698,0.6848,1.6488
2023-12-31,23982351900,0.18,1.3838,219883150600,717168041100,497284890500,233964100,83448981700,0.6934,1.5672
2023-09-30,26556925732,0.1896,1.2796,202056906567,671832207297,469775300730,152275453,85435191073,0.6992,1.4895
2023-06-30,22134411899,0.1884,1.1851,191683175797,640998784702,449315608905,344170043,74910430345,0.701,1.414
2023-03-31,25872569200,0.1668,1.0687,208720442500,640203577500,431483135000,572681900,68376274800,0.674,1.3428
2022-12-31,22444785300,0.1672,0.9976,176909162000,600952351900,424043189900,174863000,59099358400,0.7056,1.311
2022-09-30,20919604006,0.1558,0.9113,161285442594,541941138768,380655696174,37896009,47507184120,0.7024,1.2396
2022-06-30,19517953193,0.1607,0.8842,149690334471,481233671012,331543336541,20129327,38872517934,0.6889,1.2435
2022-03-31,15050335800,0.1877,0.7377,93595348500,376255651900,282660303500,23696100,33235483200,0.7512,1.0889
2021-12-31,11537915323,0.1756,0.8771,92622174532,307666860932,215044686399,77285524,22119078784,0.699,1.1901
2021-09-30,13196959051,0.1808,0.9692,80182437923,249151796229,168969358307,77075925,17159358715,0.6782,1.3039
2021-06-30,10758865174,0.1566,1.1318,75488016569,207783497820,132295481251,77075925,8701599250,0.6367,1.4349
2021-03-31,8125493259,0.1685,1.5157,71341016001,173328904927,101987888926,75269025,7046382303,0.5884,1.8036
2020-12-31,6875227795,0.1796,1.7929,69194716417,156618426941,87423710524,75269025,6068163254,0.5582,2.0529
2020-09-30,5417110399,0.188,2.2628,66581729902,137768858255,71187128352,0,5419429150,0.5167,2.5095
2020-06-30,4442361926,0.1533,1.6482,44751825741,100037103427,55285277686,0,6723868094,0.5526,1.9209
2020-03-31,4948467629,0.1371,1.5237,43244176346,101436464897,58192288551,0,5717526587,0.5737,1.7989
2019-12-31,0,0.0985,1.3085,42187875158,101351976711,59164101554,0,4980563181,0.5837,1.572
2019-09-30,0,0.0748,1.284,40489516340,96311356659,55821840319,0,4630256270,0.5796,1.5659
2019-06-30,0,0.0676,1.2598,38065889686,89888631587,51822741901,0,3638729122,0.5765,1.512
2019-03-31,0,0.0726,1.339,36998872016,84101272460,47102400444,0,3394334761,0.5601,1.568
2018-12-31,0,0.08,1.4789,35200170591,73883704017,38683533426,0,3490767816,0.5236,1.7343
2018-09-30,0,0.0834,1.8068,34528068077,63790614595,29262546518,0,3245327066,0.4587,2.0698
2018-06-30,0,0.0971,1.9998,32824226846,55443992871,22619766026,0,3194631604,0.408,2.3487
2018-03-31,0,0.0913,1.7206,26981217021,47823235529,20842018509,0,2755256273,0.4358,2.0528
2017-12-31,0,0.0954,1.6383,26471239098,49662885758,23191646661,0,2129095275,0.467,1.8465
2017-09-30,0,,,,,,0,0,,
2017-06-30,0,,,,,,0,0,,
2017-03-31,0,,,,,,0,0,,
2016-12-31,0,0.0619,1.9936,15791119044,28588314344,12797195300,0,302000000,0.4476,2.1371
