date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-08,1738170417194.88,2.0764,0.8919,1.9532,1.6108,1.4306,4.2660,0.9520,3.3099,2.9335,2.1674,0.0315,13.9430,0.9499,10.9813,9.0737,6.7328
2026-06-05,1672103781157.12,1.9975,0.8367,1.9512,1.6102,1.4306,4.1039,0.9329,3.3088,2.9332,2.1674,0.0327,13.4130,0.9299,10.9790,9.0701,6.7328
2026-06-04,1684936868732.8,2.0128,0.8475,1.9512,1.6099,1.4305,4.1354,0.9348,3.3088,2.9329,2.1672,0.0325,13.5159,0.9328,10.9790,9.0701,6.7270
2026-06-03,1724386730539.52,2.0599,0.8775,1.9506,1.6096,1.4305,4.2322,0.9468,3.3080,2.9325,2.1672,0.0317,13.8324,0.9458,10.9745,9.0701,6.7270
2026-06-02,1672103781157.12,1.9975,0.8392,1.9496,1.6096,1.4305,4.1039,0.9357,3.3074,2.9325,2.1672,0.0327,13.4130,0.9327,10.9716,9.0684,6.7270
2026-06-01,1654992997722.88,1.9771,0.8239,1.9492,1.6096,1.4305,4.0619,0.9336,3.3069,2.9324,2.1672,0.0331,13.2757,0.9296,10.9677,9.0666,6.7270
2026-05-29,1635030417049.6,1.9532,0.8046,1.9488,1.6088,1.4305,4.0129,0.9305,3.3062,2.9319,2.1672,0.0335,13.1156,0.9194,10.9600,9.0665,6.7270
2026-05-28,1637882214288.64,1.9566,0.8105,1.9488,1.6080,1.4293,4.0199,0.9325,3.3062,2.9314,2.1672,0.0334,13.1385,0.9224,10.9600,9.0663,6.7185
2026-05-27,1620296131314.56,1.9356,0.7962,1.9473,1.6078,1.4293,3.9767,0.9284,3.3050,2.9314,2.1672,0.0338,12.9974,0.9183,10.9523,9.0647,6.7185
2026-05-26,1671628481617.28,1.9969,0.8384,1.9473,1.6076,1.4293,4.1027,0.9354,3.2992,2.9314,2.1672,0.0327,13.4092,0.9323,10.9485,9.0631,6.7185
2026-05-25,1645487006926.0798,1.9657,0.8170,1.9472,1.6069,1.4293,4.0386,0.9343,3.2985,2.9314,2.1672,0.0333,13.1995,0.9262,10.9406,9.0630,6.7185
2026-05-22,1702998251246.72,2.0344,0.8623,1.9412,1.6063,1.4293,4.1797,0.9403,3.2963,2.9314,2.1672,0.0321,13.6608,0.9342,10.9406,9.0630,6.7185
2026-05-21,1721534933300.48,2.0565,0.8734,1.9412,1.6063,1.4233,4.2252,0.9453,3.2963,2.9305,2.1660,0.0318,13.8095,0.9433,10.9406,9.0614,6.7092
2026-05-20,1786175670718.72,2.1338,0.9199,1.9391,1.6063,1.4233,4.3838,0.9554,3.2957,2.9296,2.1660,0.0306,14.3280,0.9544,10.9250,9.0597,6.7092
2026-05-19,1754805901089.28,2.0963,0.9046,1.9324,1.6057,1.4233,4.3069,0.9543,3.2945,2.9294,2.1660,0.0312,14.0764,0.9543,10.9247,9.0580,6.7092
2026-05-18,1753855302009.6,2.0952,0.9035,1.9303,1.6052,1.4233,4.3045,0.9543,3.2945,2.9293,2.1660,0.0312,14.0688,0.9543,10.9215,9.0564,6.7092
2026-05-15,1735318619955.8398,2.0730,0.8891,1.9288,1.6042,1.4233,4.2590,0.9542,3.2940,2.9270,2.1660,0.0315,13.9201,0.9522,10.9203,9.0562,6.7092
2026-05-14,1713930140663.04,2.0475,0.8727,1.9288,1.6033,1.4231,4.2065,0.9470,3.2940,2.9246,2.1639,0.0319,13.7485,0.9440,10.9203,9.0560,6.6984
2026-05-13,1721059633760.64,2.0560,0.8767,1.9282,1.6030,1.4231,4.2240,0.9490,3.2915,2.9246,2.1639,0.0318,13.8057,0.9470,10.9176,9.0560,6.6984
2026-05-12,1720109034680.96,2.0548,0.8765,1.9254,1.6027,1.4231,4.2217,0.9490,3.2887,2.9246,2.1639,0.0318,13.7981,0.9469,10.9137,9.0560,6.6984
2026-05-11,1722960831920.0,2.0582,0.8784,1.9253,1.6021,1.4231,4.2287,0.9499,3.2863,2.9240,2.1639,0.0318,13.8209,0.9489,10.9030,9.0525,6.6984
2026-05-08,1727713827318.4,2.0639,0.8855,1.9248,1.6015,1.4231,4.2404,0.9509,3.2852,2.9234,2.1639,0.0317,13.8591,0.9509,10.8945,9.0490,6.6984
2026-05-07,1728189126858.24,2.0645,0.8864,1.9248,1.6015,1.4226,4.2415,0.9519,3.2852,2.9231,2.1639,0.0317,13.8629,0.9519,10.8945,9.0478,6.6735
2026-05-06,1819446638507.52,2.1735,0.9344,1.9235,1.6015,1.4226,4.4655,0.9621,3.2840,2.9228,2.1639,0.0301,14.5949,0.9631,10.8928,9.0467,6.6735
2026-04-30,1900722859820.16,2.2706,0.9569,1.9218,1.6012,1.4226,4.6650,0.9754,3.2828,2.9225,2.1639,0.0288,15.2469,0.9744,10.8847,9.0460,6.6735
2026-04-29,1898821661660.8,2.2683,0.9569,1.9202,1.6009,1.4226,4.6603,0.9754,3.2828,2.9223,2.1639,0.0288,15.2316,0.9743,10.8829,9.0454,6.6735
2026-04-28,1890266269943.68,2.3547,0.9733,1.9174,1.6003,1.4226,4.7468,0.9825,3.2793,2.9211,2.1639,0.0290,15.4836,0.9794,10.8790,9.0454,6.6735
