date,流动比率,流动资产合计,长期负债合计,资产负债率,负债合计,所有者权益合计,有息负债率,资产合计,速动比率,流动负债合计
2026-03-31,1.5182,263715053,24159649235,0.409,198760974892,287262030421,0.1515,486023005312,1.4464,569012162
2025-12-31,1.5065,248005539,25272590467,0.4142,200351998919,283406024920,0.1574,483758023839,1.4352,537473158
2025-09-30,1.5042,349980517,28328840663,0.4346,217331032091,282701747122,0.1517,500032779214,1.4389,535978104
2025-06-30,1.5574,206043499,29894206830,0.4325,215603430535,282893627487,0.1577,498497058021,1.4927,508321276
2025-03-31,1.7133,264594421,30112692221,0.4197,213873925454,295740017136,0.1553,509613942590,1.6479,474853702
2024-12-31,1.6786,239795347,30527176509,0.427,212413437418,285058776319,0.1524,497472213736,1.6146,610306112
2024-09-30,1.6358,392524289,28345333241,0.4453,217624806737,271096207637,0.1515,488721014375,1.5727,670143514
2024-06-30,1.6082,265181923,29173794855,0.4489,209687682450,257430296950,0.1634,467117979400,1.5411,590168020
2024-03-31,1.5725,240645643,27209404619,0.4557,209375850883,250050613253,0.1678,459426464136,1.5071,661786044
2023-12-31,1.59,179389708,32736824759,0.474,219209908310,243219472286,0.1825,462429380596,1.5237,657103163
2023-09-30,1.64,209302043,33018288857,0.4758,228457432908,251688062854,0.178,480145495761,1.5735,806178769
2023-06-30,1.62,186612030,35362733015,0.4856,234500952640,248425986012,0.185,482926938652,1.5583,815415049
2023-03-31,1.7118,257826706,34405319072,0.4809,240916979374,260038345031,0.1759,500955324405,1.6504,901035292
2022-12-31,1.6385,341290213,34297589628,0.5046,258256246130,253523467669,0.1822,511779713799,1.5813,1003668595
2022-09-30,1.8333,316208137,35398567134,0.5009,275331668945,274364054399,0.1958,549695723343,1.7753,1190130788
2022-06-30,1.7174,506199335,34993336447,0.5148,255304232187,240631856854,0.2148,495936089040,1.6507,1336434244
2022-03-31,1.7315,547816062,56120018566,0.5578,265688328037,210599110743,0.2656,476287438780,1.6753,1292097503
2021-12-31,1.6693,549647613,55896860101,0.5676,234807538450,178860542252,0.3006,413668080701,1.6042,1401204462
2021-09-30,1.6689,356800776,61329969645,0.5914,220990402939,152677929256,0.3502,373668332195,1.6036,1344544457
2021-06-30,1.4742,170780258,64871304373,0.63,204091272984,119861927540,0.4101,323953200524,1.4047,1055335344
2021-03-31,1.1554,135168173,59591799293,0.6679,195232805933,97091120744,0.4564,292323926676,1.0839,1604033237
2020-12-31,0.9724,254797566,63498697729,0.7106,193229017272,78697056560,0.5091,271926073832,0.9075,1162616536
2020-09-30,0.9443,197786708,68270784118,0.7057,174725742917,72858930490,0.5197,247584673407,0.864,682875368
2020-06-30,0.9455,258732401,73983442317,0.7213,183479605794,70902489049,0.5546,254382094843,0.8613,558715153
2020-03-31,0.9665,197208749,76749561343,0.7211,179947532287,69584201793,0.5593,249531734080,0.862,553853630
2019-12-31,1.0266,179273286,79503473505,0.7364,193098792896,69125236652,0.5773,262224029548,0.9343,472766102
2019-09-30,0.9584,205189762,81476589573,0.7558,199771394300,64533623383,0.6095,264305017683,0.8748,549072610
2019-06-30,0.8407,159589405,64485801223,0.7547,193187353573,62807704810,0.6057,255995058383,0.756,501251425
2019-03-31,0.814,199488870,55749831557,0.7576,194090342873,62111054645,0.5246,256201397518,0.744,390018087
2018-12-31,0.6793,161769253,47051666788,0.753,171790915612,56352889351,0.5413,228143804963,0.6037,366068808
2018-09-30,0.6716,209735840,44000824503,0.7587,172886468256,54985926707,0.5309,227872394964,0.5995,518025146
2018-06-30,0.8197,165343904,31657646725,0.6996,102994959981,44217342498,0.5106,147212302479,0.7223,452119629
2018-03-31,0.8543,0,29670470698,0.6648,86002817158,43356072981,0.4707,129358890139,0.7541,0
2017-12-31,0.9069,0,30037747030,0.6718,89479424870,43710579908,0.4729,133190004778,0.8146,0
2017-09-30,1.0671,0,27309845432,0.6755,89461827950,42980731053,0.4773,132442559003,0.982,0
2017-06-30,0.9815,0,23182538521,0.6652,82662781151,41601371252,0.4605,124264152404,0.8748,0
2017-03-31,1.3006,0,27265715101,0.6804,82043593733,38530705391,0.4864,120574299123,1.1821,0
2016-12-31,1.3541,0,29252955437,0.6862,82103864596,37548868886,0.477,119652733482,1.2337,0
2016-09-30,1.3872,0,30307957976,0.6907,83450053762,37377163851,0.4974,120827217613,1.3005,0
2016-06-30,1.5933,0,30747303435,0.6672,78627358814,39212983542,0.4899,117840342356,1.494,0
