date,总资产收益率(ROA),净利润率,毛利率(GM),净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.058,0.1354,0.1747,0.0991,0.0894
2025-12-31,0.0718,0.1605,0.2005,0.1239,0.1096
2025-09-30,0.0866,0.1889,0.2301,0.1547,0.1346
2025-06-30,0.1167,0.2331,0.283,0.2086,0.177
2025-03-31,0.1258,0.2502,0.3096,0.2233,0.1891
2024-12-31,0.1154,0.2369,0.2954,0.2097,0.1764
2024-09-30,0.0944,0.2121,0.2637,0.175,0.1495
2024-06-30,0.0589,0.1514,0.1735,0.1106,0.097
2024-03-31,0.0573,0.1559,0.1559,0.1078,0.0954
2023-12-31,0.0583,0.1618,0.1635,0.1143,0.0989
2023-09-30,0.0818,0.2014,0.2574,0.16,0.1381
2023-06-30,0.1519,0.2731,0.3455,0.3039,0.2398
2023-03-31,0.2197,0.3225,0.4231,0.4563,0.3421
2022-12-31,0.2838,0.3359,0.4426,0.6075,0.4405
2022-09-30,0.3056,0.3369,0.4412,0.6607,0.4525
2022-06-30,0.3358,0.3398,0.4623,0.7638,0.5005
2022-03-31,0.3086,0.3168,0.4338,0.7709,0.4593
2021-12-31,0.303,0.3112,0.423,0.8064,0.4442
2021-09-30,0.2758,0.3006,0.3931,0.7598,0.3816
2021-06-30,0.1872,0.2289,0.2988,0.5674,0.2586
2021-03-31,0.1119,0.1516,0.2133,0.3637,0.1626
2020-12-31,0.0494,0.077,0.1421,0.1784,0.0827
2020-09-30,0.0483,0.0786,0.1119,0.1799,0.0827
2020-06-30,0.0397,0.0661,0.0999,0.1514,0.0734
2020-03-31,0.0393,0.0653,0.1021,0.1508,0.0736
2019-12-31,0.0422,0.0685,0.1074,0.165,0.078
2019-09-30,0.018,0.0294,0.1092,0.074,0.0561
2019-06-30,0.022,0.0299,0.1023,0.0827,0.0593
2019-03-31,0.0188,0.027,0.0927,0.0687,
2018-12-31,0.0168,0.025,0.0846,0.0605,0.0407
2018-09-30,0.0133,0.0228,0.0766,0.0489,
2018-06-30,0.0162,0.0239,0.0757,0.0512,
2018-03-31,0.0388,0.0525,0.0872,0.1184,
2017-12-31,0.0382,0.0534,0.0869,0.1189,
2017-09-30,0.0321,0.0457,0.0833,0.1011,
2017-06-30,0.0091,0.0131,0.0583,0.0271,
2017-03-31,-0.036,-0.0555,0.0146,-0.1063,
2016-12-31,-0.068,-0.1279,-0.0099,-0.2207,
2016-09-30,-0.0583,-0.1259,-0.0209,-0.1958,
2016-06-30,-0.0554,-0.1293,-0.0096,-0.1787,
