date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,1244601859356.0,38.0565,,,,,83.7585,,,,,35.9266,,,,,24.3743,,,,,83.2572,,,,,0.0013
2026-07-02,1274713194663.0,38.9773,,,,,85.7849,,,,,36.7958,,,,,24.9640,,,,,85.2715,,,,,0.0012
2026-07-01,1364121555831.97,41.7111,,,,,91.8018,,,,,39.3767,,,,,26.7149,,,,,91.2524,,,,,0.0011
2026-06-30,1416347994070.0,43.3081,,,,,95.3165,,,,,40.8842,,,,,27.7377,,,,,94.7461,,,,,0.0011
2026-06-29,1360586262020.0,41.6030,,,,,91.5639,,,,,39.2746,,,,,26.6457,,,,,91.0159,,,,,0.0011
2026-06-26,1398381564003.49,42.7587,,,,,94.1074,,,,,40.3656,,,,,27.3859,,,,,93.5442,,,,,0.0011
2026-06-25,1475901523899.4,45.1291,,,,,99.3243,,,,,42.6033,,,,,28.9040,,,,,98.7299,,,,,0.0011
2026-06-24,1463388591227.38,44.7465,,,,,98.4822,,,,,42.2421,,,,,28.6590,,,,,97.8929,,,,,0.0011
2026-06-23,1460968532056.41,44.6725,,,,,98.3194,,,,,42.1722,,,,,28.6116,,,,,97.7310,,,,,0.0011
2026-06-22,1541622301293.53,47.1386,,,,,103.7472,,,,,44.5004,,,,,30.1911,,,,,103.1263,,,,,0.0010
2026-06-18,1525507160731.08,46.6459,,,,,102.6627,,,,,44.0352,,,,,29.8755,,,,,102.0483,,,,,0.0010
2026-06-17,1423162077726.51,43.5164,,,,,95.7751,,,,,41.0809,,,,,27.8712,,,,,95.2019,,,,,0.0011
2026-06-16,1391913203085.69,42.5609,,,,,93.6721,,,,,40.1789,,,,,27.2592,,,,,93.1115,,,,,0.0011
2026-06-15,1388467128045.0,42.4556,,,,,93.4402,,,,,40.0794,,,,,27.1917,,,,,92.8810,,,,,0.0011
2026-06-12,1281404602509.0,39.1819,,,,,86.2352,,,,,36.9890,,,,,25.0950,,,,,85.7191,,,,,0.0012
2026-06-11,1253523736484.0,38.3294,,,,,84.3589,,,,,36.1842,,,,,24.5490,,,,,83.8540,,,,,0.0012
2026-06-10,1279174133227.0,39.1137,,,,,86.0851,,,,,36.9246,,,,,25.0513,,,,,85.5699,,,,,0.0012
2026-06-09,1315976876380.0,40.2390,,,,,88.5618,,,,,37.9869,,,,,25.7721,,,,,88.0318,,,,,0.0012
2026-06-08,1288084858008.59,39.3861,,,,,86.6848,,,,,37.1818,,,,,25.2258,,,,,86.1660,,,,,0.0012
2026-06-05,1315582876278.09,40.2410,,,,,88.5353,,,,,37.9881,,,,,25.7643,,,,,88.0054,,,,,0.0012
2026-06-04,1427085044480.0,43.6516,,,,,96.0391,,,,,41.2077,,,,,27.9480,,,,,95.4643,,,,,0.0011
2026-06-03,1421510493525.0,43.4811,,,,,95.6640,,,,,41.0468,,,,,27.8388,,,,,95.0914,,,,,0.0011
2026-06-02,1328761114735.71,40.6441,,,,,89.4222,,,,,38.3686,,,,,26.0224,,,,,88.8870,,,,,0.0012
2026-06-01,1259848515830.0,38.5362,,,,,84.7845,,,,,36.3787,,,,,24.6728,,,,,84.2771,,,,,0.0012
2026-05-29,1293068396059.4402,39.6350,,,,,87.0201,,,,,37.4117,,,,,25.3234,,,,,86.4994,,,,,0.0012
2026-05-28,1334082303726.66,40.8922,,,,,89.7803,,,,,38.5983,,,,,26.1266,,,,,89.2430,,,,,0.0012
2026-05-27,1237622225471.5798,37.9355,,,,,83.2888,,,,,35.8075,,,,,24.2376,,,,,82.7903,,,,,0.0013
2026-05-26,1228301389002.0,37.6498,,,,,82.6615,,,,,35.5378,,,,,24.0550,,,,,82.1668,,,,,0.0013
2026-05-25,1217165383662.0,37.3085,,,,,81.9121,,,,,35.2156,,,,,23.8369,,,,,81.4218,,,,,0.0013
2026-05-22,1155895082281.32,35.4304,,,,,77.7887,,,,,33.4429,,,,,22.6370,,,,,77.3232,,,,,0.0013
2026-05-21,1106183954443.56,33.9067,,,,,74.4433,,,,,32.0046,,,,,21.6635,,,,,73.9978,,,,,0.0014
2026-05-20,1154803753758.0,35.3970,,,,,77.7153,,,,,33.4113,,,,,22.6156,,,,,77.2502,,,,,0.0013
2026-05-19,1147008550020.0,35.1580,,,,,77.1907,,,,,33.1858,,,,,22.4630,,,,,76.7287,,,,,0.0014
2026-05-18,1163712558030.0,35.6700,,,,,78.3148,,,,,33.6691,,,,,22.7901,,,,,77.8461,,,,,0.0013
2026-05-15,1169135792630.5798,35.8363,,,,,78.6798,,,,,33.8260,,,,,22.8963,,,,,78.2089,,,,,0.0013
