公司,ROE,ROA,净利润率,毛利率
新华保险,0.3492,0.0202,0.23,
三美股份,0.2552,0.2196,0.3308,0.4772
蜜雪集团,,,,
中国中车,0.0793,0.0318,0.0619,0.2138
贵州茅台,0.344,0.2831,0.4958,0.9118
美的集团,0.1919,0.0734,0.0971,0.2639
立讯精密,0.1926,0.0685,0.0547,0.1191
三花智控,0.1593,0.0958,0.1324,0.2878
比亚迪,0.1477,0.0405,0.042,0.1774
五粮液,0.2065,0.167,0.3584,0.7547
招商银行,0.1202,0.012,0.4477,
伊利股份,0.1329,0.0527,0.0681,0.3429
中际旭创,0.5393,0.3676,0.3174,0.4427
恒瑞医药,0.1431,0.1286,0.244,0.8621
宁德时代,0.2478,0.0907,0.1809,0.2621
