公司,资产负债率,流动比率
新华保险,0.9413,
三美股份,0.1743,4.8291
蜜雪集团,,
中国中车,0.6077,1.1796
贵州茅台,0.1642,5.09
美的集团,0.6117,1.2134
立讯精密,0.6607,1.1107
三花智控,0.3515,2.1947
比亚迪,0.7074,0.793
五粮液,0.1926,4.5886
招商银行,0.902,
伊利股份,0.6055,0.7515
中际旭创,0.3264,2.4613
恒瑞医药,0.1155,8.0842
宁德时代,0.6232,1.5956
