date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,1634739049,0.0342,2.2556,10322863909
2025-12-31,5521993005,-0.0177,7.6446,39353112420
2025-09-30,5130342603,0.1483,7.1093,27301379657
2025-06-30,3207978524,0.1497,4.4496,16141546185
2025-03-31,1580707286,0.388,2.9613,8206029209
2024-12-31,5621189109,0.4417,10.5725,29838069162
2024-09-30,4462521362,0.5472,8.4019,20352770959
2024-06-30,2780604301,0.5454,5.2403,12334907204
2024-03-31,1126550627,0.904,2.1245,5859163381
2023-12-31,3899069988,0.6573,7.3623,22079458092
2023-09-30,2884216679,0.7106,5.4478,14588362293
2023-06-30,1799236523,1.3843,3.4,8426590088
2023-03-31,591683918,1.8658,1.1185,3871132954
2022-12-31,2352726658,1.1837,4.4612,14688111970
2022-09-30,1686103846,1.5613,3.1994,10012301492
2022-06-30,754624930,1.4316,1.4332,5443813859
2022-03-31,206460351,1.8318,0.3927,2135734862
2021-12-31,1077409991,1.0066,2.1478,9683478119
2021-09-30,658295423,1.0157,1.3372,6173374643
2021-06-30,310345603,0.686,0.6251,3608358720
2021-03-31,72908240,1.7527,0.1469,1423425331
2020-12-31,536930435,0.7375,1.0935,6056043031
2020-09-30,326584910,0.4886,0.6655,3835578895
2020-06-30,184077524,0.4318,0.3735,2176996774
2020-03-31,26486491,0.3301,0.054,937940634
2019-12-31,309032271,0.3224,0.6708,4058312882
2019-09-30,219389759,0.3009,0.479,2736629592
2019-06-30,128561483,0.0803,0.2807,1654642958
2019-03-31,19913840,0.2965,0.0435,707938610
2018-12-31,233691725,0.8605,0.5102,3323850957
2018-09-30,168646212,1.1012,0.3682,2101147117
2018-06-30,119005629,1.2544,0.2598,1394741306
2018-03-31,15359489,8.5758,0.0335,542427314
2017-12-31,125610225,0.3521,0.2743,2222818470
2017-09-30,80263571,0.2786,0.1752,1549686643
2017-06-30,52788794,0.2987,0.1153,1045242159
2017-03-31,1603983,1.2653,0.0035,414526271
2016-12-31,92901565,0.4651,0.2202,1622387418
2016-09-30,62773274,1.4482,0.1531,1038322772
2016-06-30,20721326,0.0346,0.06,497132093
