date,总资产收益率(ROA),毛利率(GM),净利润率,净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.0679,0.3969,0.1304,0.1358,0.1119
2025-12-31,0.0696,0.401,0.1374,0.1421,0.1166
2025-09-30,0.0832,0.4102,0.1689,0.1725,0.139
2025-06-30,0.0847,0.4156,0.1817,0.18,0.1432
2025-03-31,0.0987,0.428,0.1909,0.2042,0.1718
2024-12-31,0.0954,0.4285,0.1908,0.1996,0.169
2024-09-30,0.0952,0.4405,0.1982,0.2088,0.1755
2024-06-30,0.0913,0.4278,0.1907,0.1993,0.1671
2024-03-31,0.0897,0.4165,0.1885,0.1943,0.1635
2023-12-31,0.0839,0.411,0.1826,0.18,0.152
2023-09-30,0.0781,0.4073,0.1894,0.1735,0.145
2023-06-30,0.0841,0.4235,0.1995,0.1764,0.1535
2023-03-31,0.0759,0.431,0.1771,0.1521,0.1379
2022-12-31,0.069,0.4383,0.173,0.1367,0.1252
2022-09-30,0.0726,0.421,0.17,0.1715,0.1475
2022-06-30,0.0594,0.4153,0.1472,0.1331,0.1229
2022-03-31,0.0521,0.4047,0.1306,0.1099,0.1059
2021-12-31,0.0491,0.3941,0.1232,0.0982,0.0972
2021-09-30,0.0525,0.4051,0.1198,0.1407,0.1253
2021-06-30,0.0429,0.3991,0.105,0.1154,0.1045
2021-03-31,0.0394,0.3734,0.1037,0.1026,0.092
2020-12-31,0.0404,0.3669,0.1042,0.0955,0.0837
2020-09-30,0.0369,0.3574,0.0959,0.0938,0.0784
2020-06-30,0.0335,0.374,0.094,0.0849,0.0747
2020-03-31,0.0311,0.3891,0.088,0.0763,0.0713
2019-12-31,0.0311,0.4053,0.0911,0.075,0.0653
2019-09-30,0.033,0.3992,0.0877,0.0912,0.0816
2019-06-30,0.0305,0.407,0.0849,0.0816,
2019-03-31,0.0313,0.3915,0.0838,0.0806,
2018-12-31,0.0312,0.3838,0.0851,0.0782,0.0696
2018-09-30,0.0291,0.3814,0.0933,0.0731,
2018-06-30,0.0285,0.38,0.0898,0.066,
2018-03-31,0.0234,0.384,0.0762,0.0523,
2017-12-31,0.0228,0.3659,0.0753,0.0489,
2017-09-30,0.0218,0.3886,0.0735,0.0465,
2017-06-30,0.0305,0.379,0.0807,0.0642,
2017-03-31,0.0251,0.3795,0.0747,0.0515,
2016-12-31,0.0257,0.3973,0.085,0.0512,
2016-09-30,0.0191,0.3812,0.0755,0.0388,
2016-06-30,0.0182,0.3837,0.0746,0.0383,
