date,有息负债率,流动比率,所有者权益合计,长期负债合计,负债合计,流动资产合计,流动负债合计,资产合计,速动比率,资产负债率
2026-03-31,0.1705,2.3912,45519714008,13732167819,45537075214,311455825,4202521949,91056789222,1.202,0.5001
2025-12-31,0.1672,2.2659,43927549736,12972934857,45873028288,541602840,4290959315,89800578024,1.1188,0.5108
2025-09-30,0.1698,2.429,42171330822,13224590313,43722897116,724568459,4704129888,85894227938,1.0788,0.509
2025-06-30,0.1654,2.251,40072989707,12389728823,44271695378,521373951,5004503251,84344685084,0.9491,0.5249
2025-03-31,0.1057,2.0538,34123993796,4858169021,34118226495,550380744,5751494199,68242220291,0.8884,0.5
2024-12-31,0.0949,1.9679,32225195939,3946105391,33483684889,479104806,6214163863,65708880828,0.9098,0.5096
2024-09-30,0.0947,2.0808,29882222772,5776626816,33548234909,351453178,7782918820,63430457680,0.9404,0.5289
2024-06-30,0.1009,1.9022,27885269250,5810960149,32135916730,387721598,8984771604,60021185980,0.8882,0.5354
2024-03-31,0.1087,1.9531,26038727301,5831131927,30217813517,335113860,9251029540,56256540819,0.993,0.5371
2023-12-31,0.1126,2.0031,24824780519,5835243587,28799771761,284927764,8316892378,53624552279,1.0202,0.5371
2023-09-30,0.1129,1.9092,22962502410,5774827000,29567769678,377696127,9380264332,52530272088,0.9571,0.5629
2023-06-30,0.1129,1.9482,21835264330,5353994900,26654552828,367879085,8585582142,48489817158,0.939,0.5497
2023-03-31,0.1021,1.9617,20646682443,4440000000,24207577899,385368591,7822427598,44854260342,0.9496,0.5397
2022-12-31,0.0961,1.9732,19983905282,3740000000,22567493567,390841476,7198476041,42551398848,1.0231,0.5304
2022-09-30,0.0988,2.0202,19093095628,3700000000,21802611205,406509002,6511681257,40895706832,1.177,0.5331
2022-06-30,0.0518,1.9503,18133680698,1500000000,17186390432,346743536,5678224631,35320071130,1.0365,0.4866
2022-03-31,0.0112,1.949,17599618224,0,14192637959,309045712,5090428541,31792256182,1.0218,0.4464
2021-12-31,0.001,1.981,17198391159,0,13856082206,295607677,5046171822,31054473365,1.1834,0.4462
2021-09-30,0.0267,1.1681,7713801780,10000000,14674856894,240345363,5503458329,22388658674,0.4726,0.6555
2021-06-30,0.0219,1.1929,7345008847,10000000,14480268253,211479866,4742853072,21825277100,0.53,0.6635
2021-03-31,0.042,1.2337,7101505236,10000000,13158947611,174997107,4494485729,20260452847,0.6112,0.6495
2020-12-31,0.0361,1.3941,7111788257,10000000,10406245396,233814133,3048455729,17518033653,0.6908,0.594
2020-09-30,0.0969,1.3272,6579344193,0,9301176738,0,2347526181,15880520931,0.6709,0.5857
2020-06-30,0.0999,1.4156,6272462697,260000000,8529808701,0,2732942248,14802271398,0.7037,0.5762
2020-03-31,0.1011,1.4884,6122164158,412440000,8026633239,0,2644410387,14148797397,0.7967,0.5673
2019-12-31,0.1624,1.768,6100206977,1112853716,7634555817,0,0,13734762795,0.9925,0.5559
2019-09-30,0.175,1.5046,3969645970,1145103716,6982959480,0,0,10952605450,0.5801,0.6376
2019-06-30,0.1501,1.3764,3868931274,644690000,6995774530,0,0,10864705804,0.5334,0.6439
2019-03-31,0.1154,1.3143,3770514759,455140000,6383734688,0,0,10154249447,0.4726,0.6287
2018-12-31,0.1294,1.2665,3751416569,328140000,6250074152,0,0,10001490721,0.5644,0.6249
2018-09-30,0.1251,1.3984,3647041339,603400000,6421408687,0,0,10068450027,0.6442,0.6378
2018-06-30,0.1258,1.402,3589445557,483400000,5509986599,0,0,9099432157,0.7113,0.6055
2018-03-31,0.1269,1.3656,3484053070,394900000,5032865925,0,0,8516918995,0.625,0.5909
2017-12-31,0.1173,1.4951,3480374461,435800000,4665015545,0,0,8145390006,0.7833,0.5727
2017-09-30,0.0884,1.6093,3428017489,310000000,4292348411,0,0,7720365900,0.8314,0.556
2017-06-30,0.0722,1.7484,3416712886,150000000,3706448821,0,0,7123161707,0.9698,0.5203
2017-03-31,0.0589,1.9235,3365575336,120000000,3411913666,0,0,6777489003,1.1208,0.5034
2016-12-31,0.076,1.9603,3363808308,60000000,3177067028,0,0,6540875336,1.2124,0.4857
2016-09-30,0.077,2.1067,3313905805,0,3336911927,0,0,6650817731,1.3476,0.5017
2016-06-30,0.1015,1.4639,2042897781,0,2309340918,0,0,4352238699,0.8085,0.5306
