日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=5.9000,=5.9000,=5.9000,=5.9000,=2064899899850.7,=1883540843584.0,=187143560775.1,,=7.0177,,,,
2026-07-02,=5.9800,=5.9800,=5.9800,=5.9800,=2092898542560.54,=1909080380446.0,=189681100582.22,,=7.1128,,,,
2026-07-01,=6.0500,=6.0500,=6.0500,=6.0500,=2117397354931.65,=1931427475201.0,=191901447913.45,,=7.1961,,,,
2026-06-30,=6.0700,=6.0700,=6.0700,=6.0700,=2124397015609.11,=1937812359416.0,=192535832865.23,,=7.2199,,,,
2026-06-29,=6.2400,=6.2400,=6.2400,=6.2400,=2183894131367.52,=1992083875248.0,=197928104955.36,,=7.4221,,,,
2026-06-26,=6.1900,=6.1900,=6.1900,=6.1900,=2166394979673.87,=1976121664710.0,=196342142575.91,,=7.3626,,,,
2026-06-25,=6.2500,=6.2500,=6.2500,=6.2500,=2187393961706.25,=1995276317356.0,=198245297431.25,,=7.4340,,,,
2026-06-24,=6.3400,=6.3400,=6.3400,=6.3400,=2218892434754.82,=2024008296326.0,=201100029714.26,,=7.5410,,,,
2026-06-23,=6.5700,=6.5700,=6.5700,=6.5700,=2299388532545.61,=2097434464805.0,=208395456659.73,,=7.8146,,,,
2026-06-22,=6.4000,=6.4000,=6.4000,=6.4000,=2239891416787.2,=2043162948973.0,=203003184569.6,,=7.6124,,,,
2026-06-18,=6.3700,=6.3700,=6.3700,=6.3700,=2229391925771.0103,=2033585622649.0,=202051607141.93,,=7.5767,,,,
2026-06-17,=6.5300,=6.5300,=6.5300,=6.5300,=2285389211190.69,=2084664696374.0,=207126686756.17,,=7.7670,,,,
2026-06-16,=6.6100,=6.6100,=6.6100,=6.6100,=2313387853900.5303,=2110204233236.0,=209664226563.29,,=7.8622,,,,
2026-06-15,=6.6800,=6.6800,=6.6800,=6.6800,=2337886666271.64,=2132551327990.0,=211884573894.52,,=7.9455,,,,
2026-06-12,=6.8000,=6.8000,=6.8000,=6.8000,=2379884630336.4,=2170860633284.0,=215690883605.2,,=8.0882,,,,
2026-06-11,=6.6800,=6.6800,=6.6800,=6.6800,=2337886666271.64,=2132551327990.0,=211884573894.52,,=7.9455,,,,
2026-06-10,=6.7100,=6.7100,=6.7100,=6.7100,=2348386157287.83,=2142128654314.0,=212836151322.19,,=7.9811,,,,
2026-06-09,=6.6000,=6.6000,=6.6000,=6.6000,=2309888023561.8,=2107011791128.0,=209347034087.4,,=7.8503,,,,
2026-06-08,=6.5700,=6.5700,=6.5700,=6.5700,=2299388532545.61,=2097434464805.0,=208395456659.73,,=7.8146,,,,
2026-06-05,=6.3600,=6.3600,=6.3600,=6.3600,=2225892095432.2803,=2030393180542.0,=201734414666.04,,=7.5648,,,,
2026-06-04,=6.3000,=6.3000,=6.3000,=6.3000,=2204893113399.9,=2011238527895.0,=199831259810.7,,=7.4935,,,,
2026-06-03,=6.3600,=6.3600,=6.3600,=6.3600,=2225892095432.2803,=2030393180542.0,=201734414666.04,,=7.5648,,,,
2026-06-02,=6.4500,=6.4500,=6.4500,=6.4500,=2257390568480.85,=2059125159512.0,=204589146949.05,,=7.6719,,,,
2026-06-01,=6.4900,=6.4900,=6.4900,=6.4900,=2271389889835.77,=2071894927943.0,=205857916852.61,,=7.7195,,,,
2026-05-29,=6.3200,=6.3200,=6.3200,=6.3200,=2211892774077.36,=2017623412111.0,=200465644762.48,,=7.5173,,,,
2026-05-28,=6.2100,=6.2100,=6.2100,=6.2100,=2173394640351.33,=1982506548925.0,=196976527527.69,,=7.3864,,,,
2026-05-27,=6.3100,=6.3100,=6.3100,=6.3100,=2208392943738.63,=2014430970003.0,=200148452286.59,,=7.5054,,,,
2026-05-26,=6.4200,=6.4200,=6.4200,=6.4200,=2246891077464.66,=2049547833188.0,=203637569521.38,,=7.6362,,,,
2026-05-25,=6.4400,=6.4400,=6.4400,=6.4400,=2253890738142.12,=2055932717404.0,=204271954473.16,,=7.6600,,,,
