date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-06-02,29232803328.14,1.3158,0.0000,9.5581,5.1896,2.1987,2.5043,0.0203,11.2090,6.7595,3.3799,-696.1724,1.0000,51.5550,38.8080,16.0752,0.0022
2026-06-01,29840630246.35,1.3431,0.0004,9.5581,5.1896,2.2015,2.5564,0.0253,11.2090,6.7595,3.3838,-710.6476,0.9996,51.4975,38.8055,16.0752,0.0022
2026-05-29,30011964008.53,1.3508,0.0004,9.5581,5.1853,2.2015,2.5711,0.0277,11.2090,6.7583,3.3944,-714.7279,0.9996,51.4932,38.7983,16.0752,0.0021
2026-05-28,29779439617.0,1.3404,0.0000,9.5581,5.1878,2.2026,2.5512,0.0244,11.2090,6.7594,3.3960,-709.1904,1.0000,51.4659,38.7966,16.0752,0.0022
2026-05-27,30925744073.49,1.3920,0.0000,9.5581,5.1896,2.2107,2.6494,0.0306,11.2090,6.7595,3.4022,-736.4893,1.0000,51.4451,38.7838,16.0752,0.0021
2026-05-26,31721222255.04,1.4278,0.0000,9.5581,5.1896,2.2114,2.7175,0.0443,11.2090,6.7595,3.4133,-755.4335,1.0000,51.4158,38.7243,16.0752,0.0020
2026-05-25,32537097313.04,1.4645,0.0025,9.5581,5.1896,2.2123,2.7874,0.0654,11.2090,6.7595,3.4211,-774.8633,0.9996,51.4085,38.6708,16.0752,0.0020
2026-05-22,32227064791.0,1.4464,0.0000,9.5581,5.1853,2.2128,2.7608,0.0571,11.2090,6.7583,3.4216,-767.4800,1.0000,51.3928,38.6378,16.0752,0.0020
2026-05-21,32879764837.4,1.4757,0.0054,9.5581,5.1878,2.2152,2.8168,0.0720,11.2090,6.7594,3.4264,-783.0239,1.0000,51.3550,38.6150,16.0752,0.0020
2026-05-20,33071495476.03,1.4843,0.0075,9.5581,5.1896,2.2160,2.8332,0.0770,11.2090,6.7595,3.4372,-787.5899,1.0000,51.3487,38.6083,16.0752,0.0019
2026-05-19,34013831168.02,1.5266,0.0157,9.5581,5.1896,2.2180,2.9139,0.0952,11.2090,6.7595,3.4437,-810.0314,0.9996,51.3180,38.5977,16.0752,0.0019
2026-05-18,33703798645.98,1.5126,0.0124,9.5581,5.1896,2.2181,2.8873,0.0886,11.2090,6.7595,3.4494,-802.6481,1.0000,51.3049,38.5939,16.0752,0.0019
2026-05-15,34327943065.35,1.5407,0.0194,9.5581,5.1853,2.2196,2.9408,0.0985,11.2090,6.7583,3.4783,-817.5119,1.0000,51.2862,38.5927,16.0752,0.0019
2026-05-14,34792991848.41,1.5615,0.0240,9.5581,5.1878,2.2197,2.9807,0.1051,11.2090,6.7594,3.4980,-828.5869,0.9992,51.2793,38.5915,16.0752,0.0018
