date,资产负债率,流动负债合计,流动比率,负债合计,资产合计,所有者权益合计,流动资产合计,长期负债合计,速动比率,有息负债率
2026-03-31,0.177,191197239,5.0768,1875845710,10596111702,8720265992,0,678399000,4.5497,0.067
2025-12-31,0.1651,91916631,5.4092,1622316319,9823489497,8201173179,0,598780000,4.8273,0.0632
2025-09-30,0.1743,97162187,4.8291,1630975266,9356029055,7725053789,0,509650000,4.2907,0.0547
2025-06-30,0.1434,76848395,6.0641,1223751971,8533653737,7309901766,0,389466825,5.2667,0.0458
2025-03-31,0.1184,103140887,6.5949,938593236,7925086192,6986492956,0,204610000,5.6966,0.0259
2024-12-31,0.0807,53372411,8.2435,576392420,7140168178,6563775758,0,65340000,7.0938,0.0092
2024-09-30,0.0926,62025038,6.7685,648258997,6997059118,6348800120,0,0,5.933,0.0001
2024-06-30,0.0991,52067651,6.5169,678024178,6843646121,6165621943,0,0,5.7352,0.0001
2024-03-31,0.1086,68729114,5.9421,740149594,6815521171,6075371576,0,0,5.2868,0.0001
2023-12-31,0.1243,49763265,5.2223,836468902,6728954608,5892485706,0,0,4.5436,0.0001
2023-09-30,0.1094,64031224,6.4154,718486981,6569712276,5851225296,0,0,5.8061,0.0002
2023-06-30,0.1171,130712664,6.1958,760200387,6490197335,5729996948,0,0,5.5985,0.0002
2023-03-31,0.0873,50527841,8.5232,548846911,6286080232,5737233321,0,0,7.6457,0.0001
2022-12-31,0.112,47475544,6.7494,720106748,6429774731,5709667983,0,0,5.9467,0.0001
2022-09-30,0.1148,42048924,6.9791,736128959,6414603122,5678474163,0,0,6.272,0.0001
2022-06-30,0.1087,48796966,7.414,677000058,6228717538,5551717480,0,0,6.6734,0.0001
2022-03-31,0.1258,69436768,6.5079,790476879,6281701028,5491224149,0,0,5.7059,0.0001
2021-12-31,0.1261,57242019,6.52,762777536,6051148357,5288370821,0,0,5.8253,0.0001
2021-09-30,0.1184,58585110,6.9784,693445220,5856212945,5162767724,0,0,6.2733,0
2021-06-30,0.0967,29920048,8.5918,541597157,5602386761,5060789604,0,0,7.7872,0
2021-03-31,0.0784,42940316,10.6684,429633289,5477886602,5048253314,0,0,9.8629,0
2020-12-31,0.0714,46931471,11.8062,383308041,5365526243,4982218203,0,0,10.983,0
2020-09-30,0.0708,35452653,11.8935,379216962,5355568621,4976351660,0,0,11.2098,0
2020-06-30,0.0769,32396635,10.8131,411263423,5349284836,4938021412,0,0,10.1988,0
2020-03-31,0.0786,0,10.7528,431412438,5490705807,5059293370,0,0,10.0118,0
2019-12-31,0.075,0,11.2413,401964821,5357936471,4955971651,0,0,10.5193,0
2019-09-30,0.0812,0,10.197,435372709,5363140165,4927767457,0,0,9.4707,0
2019-06-30,0.0851,0,9.7693,440824436,5182515004,4741690568,0,0,9.0434,0
2019-03-31,0.1662,0,4.9106,902839338,5432339745,4529500408,0,0,4.5617,0.0644
2018-12-31,0.293,0,2.3753,1033975840,3528683010,2494707170,0,0,2.0029,0.1134
2018-09-30,,0,,,,,0,0,,
2018-06-30,,0,,,,,0,0,,
2018-03-31,,0,,,,,0,0,,
2017-12-31,0.3565,0,2.0386,969903406,2720402007,1750498601,0,0,1.7379,0.1729
2016-12-31,0.5941,0,1.0495,1235570636,2079673322,844102686,0,0,0.8925,0.3737
