date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,0.83,0.2576,1397991546,505821100
2025-12-31,3.4,1.6563,5849546738,2061141137
2025-09-30,2.6,1.8261,4429051151,1590955092
2025-06-30,1.63,1.5873,2827603437,994628147
2025-03-31,0.66,1.64,1211884686,400520886
2024-12-31,1.28,1.7826,4039536039,778536624
2024-09-30,0.92,1.359,3039417670,560872603
2024-06-30,0.63,2,2040344657,383696642
2024-03-31,0.25,7.3333,958608904,154292124
2023-12-31,0.46,-0.425,3333788239,279644842
2023-09-30,0.39,-0.4868,2608954143,238033015
2023-06-30,0.21,-0.6316,1736263062,129701673
2023-03-31,0.03,-0.9063,777604061,19972242
2022-12-31,0.8,-0.0909,4770651348,485573196
2022-09-30,0.76,0.9,3768143776,461728476
2022-06-30,0.57,1.4783,2568870918,344019493
2022-03-31,0.32,2.2,1180416244,192993394
2021-12-31,0.88,1.4444,4048445944,536168574
2021-09-30,0.4,0.1429,2738821997,242980285
2021-06-30,0.23,-0.1786,1768096579,141491554
2021-03-31,0.1,-0.375,840680933,63512238
2020-12-31,0.36,-0.6727,2720728128,221845912
2020-09-30,0.35,-0.6667,2132891398,213150291
2020-06-30,0.28,-0.6316,1420561805,172683509
2020-03-31,0.23,-0.6034,703534936,99889638
2019-12-31,1.53,-0.4796,3934602748,645907364
2019-09-30,1.47,-0.3609,3126302387,613604823
2019-06-30,1.06,-0.3416,2187522702,429992698
2019-03-31,0.58,-0.0938,1088077606,217184538
2018-12-31,2.94,0.1575,4454332448,1107714334
2018-09-30,2.3,,3375914909,865989139
2018-06-30,1.61,,2298892812,606229252
2018-03-31,0.64,,944439451,240674360
2017-12-31,2.54,1.6186,3899482001,954166967
2016-12-31,0.97,,2700264815,364280960
