date,metric,value
2026-03-31,经营活动产生的现金流量净额,474235925
2026-03-31,速动比率,4.5497
2026-03-31,流动资产合计,0
2026-03-31,自由现金流量,857593007
2026-03-31,营业收入,1397991546
2026-03-31,货币资金,37623823050.31
2026-03-31,长期负债合计,678399000
2026-03-31,有息负债率,0.067
2026-03-31,净利润率,0.3555
2026-03-31,负债合计,1875845710
2026-03-31,总资产收益率(ROA),0.2317
2026-03-31,净资产收益率(ROE),0.2732
2026-03-31,应收账款,557013022
2026-03-31,流动比率,5.0768
2026-03-31,资本回报率(ROIC),0.2582
2026-03-31,基本每股收益,0.83
2026-03-31,资产合计,10596111702
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.0574
2026-03-31,流动负债合计,191197239
2026-03-31,资产负债率,0.177
2026-03-31,归属于母公司普通股股东的净利润,505821100
2026-03-31,所有者权益合计,8720265992
2026-03-31,毛利率(GM),0.5204
