date,净利润率,总资产收益率(ROA),毛利率(GM),资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.3555,0.2317,0.5204,0.2582,0.2732
2025-12-31,0.3495,0.241,0.506,0.2646,0.2769
2025-09-30,0.3308,0.2196,0.4772,0.2462,0.2552
2025-06-30,0.2858,0.1794,0.4255,0.199,0.2048
2025-03-31,0.2373,0.1382,0.3613,0.1536,0.1559
2024-12-31,0.1918,0.1117,0.2979,0.1238,0.1244
2024-09-30,0.1596,0.0886,0.261,0.0985,0.0985
2024-06-30,0.1467,0.08,0.2156,0.0897,0.0897
2024-03-31,0.1178,0.0632,0.1668,0.0701,0.0701
2023-12-31,0.0839,0.0425,0.134,0.0482,0.0482
2023-09-30,0.0725,0.0403,0.1202,0.0454,0.0454
2023-06-30,0.0689,0.0427,0.1116,0.0481,0.0481
2023-03-31,0.0716,0.0497,0.1265,0.0557,0.0557
2022-12-31,0.1018,0.0778,0.1607,0.0883,0.0883
2022-09-30,0.1487,0.123,0.2184,0.1393,0.1393
2022-06-30,0.1523,0.1249,0.2397,0.1392,0.1392
2022-03-31,0.1517,0.1132,0.2484,0.1264,0.1263
2021-12-31,0.1324,0.0939,0.2318,0.1044,0.1044
2021-09-30,0.0756,0.0449,0.1314,0.0497,0.0496
2021-06-30,0.062,0.0348,0.1292,0.0381,0.0381
2021-03-31,0.0648,0.0338,0.1339,0.0367,0.0366
2020-12-31,0.0814,0.0413,0.1511,0.0446,0.0446
2020-09-30,0.0833,0.0457,0.2093,0.0495,0.0495
2020-06-30,0.1226,0.0737,0.2442,0.0802,0.0802
2020-03-31,0.1488,0.0967,0.274,0.1065,0.1102
2019-12-31,0.164,0.1452,0.2978,0.1655,0.1732
2019-09-30,0.2034,,0.3312,,
2019-06-30,0.2145,,0.3479,,
2019-03-31,0.2359,,0.373,,
2018-12-31,0.2488,0.3547,0.3959,0.4393,0.5222
2018-09-30,,,,,
2018-06-30,,,,,
2018-03-31,,,,,
2017-12-31,0.245,0.3981,0.4181,0.4973,0.7364
2016-12-31,0.1351,,0.3529,,
