date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,153825911511.68,11.3892,,,,,13.5751,,,,,0.5529,,,,,0.8773,,,,,0.0429,0.8757,,,,
2026-07-02,152964945589.04,11.3254,,,,,13.4991,,,,,0.5498,,,,,0.8724,,,,,0.0432,0.8708,,,,
2026-07-01,152390968307.28,11.2829,,,,,13.4485,,,,,0.5478,,,,,0.8691,,,,,0.0433,0.8676,,,,
2026-06-30,149234093257.6,11.0492,,,,,13.1699,,,,,0.5364,,,,,0.8511,,,,,0.0442,0.8496,,,,
2026-06-29,151530002384.64,11.2192,,,,,13.3725,,,,,0.5447,,,,,0.8642,,,,,0.0436,0.8627,,,,
2026-06-26,149808070539.36,11.0917,,,,,13.2205,,,,,0.5385,,,,,0.8544,,,,,0.0441,0.8529,,,,
2026-06-25,152390968307.28,11.2829,,,,,13.4485,,,,,0.5478,,,,,0.8691,,,,,0.0433,0.8676,,,,
2026-06-24,150956025102.88,11.1767,,,,,13.3218,,,,,0.5426,,,,,0.8609,,,,,0.0437,0.8594,,,,
2026-06-23,155834831997.84,11.5379,,,,,13.7524,,,,,0.5601,,,,,0.8888,,,,,0.0424,0.8872,,,,
2026-06-22,162722559378.96,12.0479,,,,,14.3602,,,,,0.5849,,,,,0.9280,,,,,0.0406,0.9264,,,,
2026-06-18,160713638892.8,11.8991,,,,,14.1829,,,,,0.5777,,,,,0.9166,,,,,0.0411,0.9149,,,,
2026-06-17,164444491224.24,12.1753,,,,,14.5122,,,,,0.5911,,,,,0.9379,,,,,0.0401,0.9362,,,,
2026-06-16,164157502583.36,12.1541,,,,,14.4869,,,,,0.5900,,,,,0.9362,,,,,0.0402,0.9346,,,,
2026-06-15,165305457146.88,12.2391,,,,,14.5882,,,,,0.5942,,,,,0.9428,,,,,0.0399,0.9411,,,,
2026-06-12,165305457146.88,12.2391,,,,,14.5882,,,,,0.5942,,,,,0.9428,,,,,0.0399,0.9411,,,,
2026-06-11,163870513942.48,12.1328,,,,,14.4615,,,,,0.5890,,,,,0.9346,,,,,0.0403,0.9329,,,,
2026-06-10,162148582097.2,12.0054,,,,,14.3096,,,,,0.5828,,,,,0.9248,,,,,0.0407,0.9231,,,,
2026-06-09,161000627533.68,11.9204,,,,,14.2083,,,,,0.5787,,,,,0.9182,,,,,0.0410,0.9166,,,,
2026-06-08,159852672970.16,11.8354,,,,,14.1070,,,,,0.5746,,,,,0.9117,,,,,0.0413,0.9100,,,,
2026-06-05,162435570738.08,12.0266,,,,,14.3349,,,,,0.5839,,,,,0.9264,,,,,0.0406,0.9248,,,,
2026-06-04,161861593456.32,11.9841,,,,,14.2842,,,,,0.5818,,,,,0.9231,,,,,0.0408,0.9215,,,,
2026-06-03,162722559378.96,12.0479,,,,,14.3602,,,,,0.5849,,,,,0.9280,,,,,0.0406,0.9264,,,,
2026-06-02,163296536660.72,12.0903,,,,,14.4109,,,,,0.5870,,,,,0.9313,,,,,0.0404,0.9297,,,,
2026-06-01,165879434428.64,12.2816,,,,,14.6388,,,,,0.5962,,,,,0.9460,,,,,0.0398,0.9444,,,,
2026-05-29,165592445787.76,12.2603,,,,,14.6135,,,,,0.5952,,,,,0.9444,,,,,0.0399,0.9427,,,,
2026-05-28,164444491224.24,12.1753,,,,,14.5122,,,,,0.5911,,,,,0.9379,,,,,0.0401,0.9362,,,,
2026-05-27,165592445787.76,12.2603,,,,,14.6135,,,,,0.5952,,,,,0.9444,,,,,0.0399,0.9427,,,,
2026-05-26,166453411710.4,12.3241,,,,,14.6895,,,,,0.5983,,,,,0.9493,,,,,0.0397,0.9476,,,,
2026-05-25,165305457146.88,12.2391,,,,,14.5882,,,,,0.5942,,,,,0.9428,,,,,0.0399,0.9411,,,,
2026-05-22,165592445787.76,12.2603,,,,,14.6135,,,,,0.5952,,,,,0.9444,,,,,0.0399,0.9427,,,,
2026-05-21,164444491224.24,12.1753,,,,,14.5122,,,,,0.5911,,,,,0.9379,,,,,0.0401,0.9362,,,,
2026-05-20,166166423069.52,12.3028,,,,,14.6641,,,,,0.5973,,,,,0.9477,,,,,0.0397,0.9460,,,,
2026-05-19,169610286760.08,12.5578,,,,,14.9681,,,,,0.6096,,,,,0.9673,,,,,0.0389,0.9656,,,,
2026-05-18,168749320837.44,12.4941,,,,,14.8921,,,,,0.6066,,,,,0.9624,,,,,0.0391,0.9607,,,,
2026-05-15,171332218605.36,12.6853,,,,,15.1200,,,,,0.6158,,,,,0.9771,,,,,0.0385,0.9754,,,,
2026-05-14,172767161809.76,12.7915,,,,,15.2467,,,,,0.6210,,,,,0.9853,,,,,0.0382,0.9836,,,,
2026-05-13,174202105014.16,12.8978,,,,,15.3733,,,,,0.6262,,,,,0.9935,,,,,0.0379,0.9917,,,,
2026-05-12,173341139091.52,12.8340,,,,,15.2973,,,,,0.6231,,,,,0.9886,,,,,0.0381,0.9868,,,,
2026-05-11,171619207246.24,12.7066,,,,,15.1453,,,,,0.6169,,,,,0.9788,,,,,0.0385,0.9770,,,,
2026-05-08,168749320837.44,12.4941,,,,,14.8921,,,,,0.6066,,,,,0.9624,,,,,0.0391,0.9607,,,,
2026-05-07,170471252682.72,12.6216,,,,,15.0440,,,,,0.6127,,,,,0.9722,,,,,0.0387,0.9705,,,,
2026-05-06,170471252682.72,12.6216,,,,,15.0440,,,,,0.6127,,,,,0.9722,,,,,0.0387,0.9705,,,,
2026-04-30,171332218605.36,12.6853,,,,,15.1200,,,,,0.6158,,,,,0.9771,,,,,0.0385,0.9754,,,,
2026-04-29,169610286760.08,12.8678,,,,,15.4541,,,,,0.6211,,,,,0.9872,,,,,0.0389,0.9854,,,,
2026-04-28,169610286760.08,12.8678,,,,,15.4541,,,,,0.6211,,,,,0.9872,,,,,0.0389,0.9854,,,,
2026-04-27,168462332196.56,12.7807,,,,,15.3495,,,,,0.6169,,,,,0.9805,,,,,0.0392,0.9787,,,,
2026-04-24,169610286760.08,12.8678,,,,,15.4541,,,,,0.6211,,,,,0.9872,,,,,0.0389,0.9854,,,,
2026-04-23,171332218605.36,12.9984,,,,,15.6110,,,,,0.6274,,,,,0.9972,,,,,0.0385,0.9954,,,,
2026-04-22,172767161809.76,13.1073,,,,,15.7417,,,,,0.6327,,,,,1.0056,,,,,0.0382,1.0038,,,,
2026-04-21,174776082295.92,13.2597,,,,,15.9247,,,,,0.6401,,,,,1.0173,,,,,0.0378,1.0154,,,,
2026-04-20,174776082295.92,13.2597,,,,,15.9247,,,,,0.6401,,,,,1.0173,,,,,0.0378,1.0154,,,,
2026-04-17,176498014141.2,13.3903,,,,,16.0816,,,,,0.6464,,,,,1.0273,,,,,0.0374,1.0254,,,,
2026-04-16,177645968704.72,13.4774,,,,,16.1862,,,,,0.6506,,,,,1.0340,,,,,0.0372,1.0321,,,,
2026-04-15,177645968704.72,13.4774,,,,,16.1862,,,,,0.6506,,,,,1.0340,,,,,0.0372,1.0321,,,,
2026-04-14,179080911909.12,13.5863,,,,,16.3170,,,,,0.6558,,,,,1.0423,,,,,0.0369,1.0404,,,,
2026-04-13,178793923268.24,13.5645,,,,,16.2908,,,,,0.6548,,,,,1.0407,,,,,0.0369,1.0388,,,,
2026-04-10,180515855113.52,13.6951,,,,,16.4477,,,,,0.6611,,,,,1.0507,,,,,0.0366,1.0488,,,,
2026-04-09,177358980063.84,13.4556,,,,,16.1601,,,,,0.6495,,,,,1.0323,,,,,0.0372,1.0304,,,,
2026-04-08,180515855113.52,13.6951,,,,,16.4477,,,,,0.6611,,,,,1.0507,,,,,0.0366,1.0488,,,,
2026-04-07,177071991422.96,13.4339,,,,,16.1339,,,,,0.6485,,,,,1.0306,,,,,0.0373,1.0288,,,,
2026-04-03,178219945986.48,13.5210,,,,,16.2385,,,,,0.6527,,,,,1.0373,,,,,0.0370,1.0354,,,,
2026-04-02,179941877831.76,13.6516,,,,,16.3954,,,,,0.6590,,,,,1.0473,,,,,0.0367,1.0454,,,,
2026-04-01,182237786958.8,13.8258,,,,,16.6046,,,,,0.6674,,,,,1.0607,,,,,0.0362,1.0588,,,,
2026-03-31,181950798317.92,13.8040,,,,,16.5785,,,,,0.6663,,,,,1.0590,,,,,0.0363,1.0571,,,,
2026-03-30,175063070936.8,13.2815,,,,,15.9509,,,,,0.6411,,,,,1.0189,,,,,0.0377,1.0171,,,,
2026-03-27,180515855113.52,11.9493,,,,,13.6327,,,,,0.6499,,,,,1.0651,,,,,0.0509,1.0632,,,,
2026-03-26,180228866472.64,11.9303,,,,,13.6110,,,,,0.6489,,,,,1.0635,,,,,0.0510,1.0615,,,,
2026-03-25,182524775599.68,12.0823,,,,,13.7844,,,,,0.6572,,,,,1.0770,,,,,0.0503,1.0750,,,,
2026-03-24,178219945986.48,11.7973,,,,,13.4593,,,,,0.6417,,,,,1.0516,,,,,0.0515,1.0496,,,,
2026-03-23,175350059577.68,11.6074,,,,,13.2425,,,,,0.6313,,,,,1.0347,,,,,0.0524,1.0327,,,,
2026-03-20,181376821036.16,12.0063,,,,,13.6977,,,,,0.6530,,,,,1.0702,,,,,0.0506,1.0682,,,,
2026-03-19,179080911909.12,11.8543,,,,,13.5243,,,,,0.6448,,,,,1.0567,,,,,0.0513,1.0547,,,,
2026-03-18,182237786958.8,12.0633,,,,,13.7627,,,,,0.6561,,,,,1.0753,,,,,0.0504,1.0733,,,,
2026-03-17,183098752881.44,12.1203,,,,,13.8277,,,,,0.6592,,,,,1.0804,,,,,0.0502,1.0784,,,,
2026-03-16,183959718804.08,12.1773,,,,,13.8928,,,,,0.6623,,,,,1.0855,,,,,0.0499,1.0834,,,,
2026-03-13,184246707444.96,12.1963,,,,,13.9144,,,,,0.6634,,,,,1.0872,,,,,0.0498,1.0851,,,,
2026-03-12,185107673367.6,12.2533,,,,,13.9794,,,,,0.6665,,,,,1.0922,,,,,0.0496,1.0902,,,,
2026-03-11,183672730163.2,12.1583,,,,,13.8711,,,,,0.6613,,,,,1.0838,,,,,0.0500,1.0818,,,,
2026-03-10,180515855113.52,11.9493,,,,,13.6327,,,,,0.6499,,,,,1.0651,,,,,0.0509,1.0632,,,,
2026-03-09,179654889190.88,11.8923,,,,,13.5676,,,,,0.6468,,,,,1.0601,,,,,0.0511,1.0581,,,,
2026-03-06,181089832395.28,11.9873,,,,,13.6760,,,,,0.6520,,,,,1.0685,,,,,0.0507,1.0665,,,,
2026-03-05,179367900550.0,11.8733,,,,,13.5460,,,,,0.6458,,,,,1.0584,,,,,0.0512,1.0564,,,,
2026-03-04,176498014141.2,11.6833,,,,,13.3292,,,,,0.6355,,,,,1.0414,,,,,0.0520,1.0395,,,,
2026-03-03,179941877831.76,11.9113,,,,,13.5893,,,,,0.6479,,,,,1.0618,,,,,0.0510,1.0598,,,,
2026-03-02,180515855113.52,11.9493,,,,,13.6327,,,,,0.6499,,,,,1.0651,,,,,0.0509,1.0632,,,,
2026-02-27,180515855113.52,11.9493,,,,,13.6327,,,,,0.6499,,,,,1.0651,,,,,0.0509,1.0632,,,,
2026-02-26,182237786958.8,12.0633,,,,,13.7627,,,,,0.6561,,,,,1.0753,,,,,0.0504,1.0733,,,,
2026-02-25,183672730163.2,12.1583,,,,,13.8711,,,,,0.6613,,,,,1.0838,,,,,0.0500,1.0818,,,,
2026-02-24,185681650649.36,12.2913,,,,,14.0228,,,,,0.6685,,,,,1.0956,,,,,0.0495,1.0936,,,,
2026-02-13,181089832395.28,11.9873,,,,,13.6760,,,,,0.6520,,,,,1.0685,,,,,0.0507,1.0665,,,,
2026-02-12,183672730163.2,12.1583,,,,,13.8711,,,,,0.6613,,,,,1.0838,,,,,0.0500,1.0818,,,,
2026-02-11,183672730163.2,12.1583,,,,,13.8711,,,,,0.6613,,,,,1.0838,,,,,0.0500,1.0818,,,,
2026-02-10,183959718804.08,12.1773,,,,,13.8928,,,,,0.6623,,,,,1.0855,,,,,0.0499,1.0834,,,,
2026-02-09,184246707444.96,12.1963,,,,,13.9144,,,,,0.6634,,,,,1.0872,,,,,0.0498,1.0851,,,,
2026-02-06,182811764240.56,12.1013,,,,,13.8061,,,,,0.6582,,,,,1.0787,,,,,0.0502,1.0767,,,,
2026-02-05,184246707444.96,12.1963,,,,,13.9144,,,,,0.6634,,,,,1.0872,,,,,0.0498,1.0851,,,,
2026-02-04,185968639290.24,12.3103,,,,,14.0445,,,,,0.6696,,,,,1.0973,,,,,0.0494,1.0953,,,,
2026-02-03,180802843754.4,11.9683,,,,,13.6543,,,,,0.6510,,,,,1.0668,,,,,0.0508,1.0649,,,,
2026-02-02,179080911909.12,11.8543,,,,,13.5243,,,,,0.6448,,,,,1.0567,,,,,0.0513,1.0547,,,,
2026-01-30,181089832395.28,11.9873,,,,,13.6760,,,,,0.6520,,,,,1.0685,,,,,0.0507,1.0665,,,,
2026-01-29,182524775599.68,12.0823,,,,,13.7844,,,,,0.6572,,,,,1.0770,,,,,0.0503,1.0750,,,,
2026-01-28,181950798317.92,12.0443,,,,,13.7410,,,,,0.6551,,,,,1.0736,,,,,0.0505,1.0716,,,,
2026-01-27,184820684726.72,12.2343,,,,,13.9578,,,,,0.6654,,,,,1.0905,,,,,0.0497,1.0885,,,,
2026-01-26,187690571135.52,12.4242,,,,,14.1745,,,,,0.6758,,,,,1.1075,,,,,0.0489,1.1054,,,,
2026-01-23,189412502980.8,12.5382,,,,,14.3045,,,,,0.6820,,,,,1.1176,,,,,0.0485,1.1156,,,,
2026-01-22,193143355312.24,12.7852,,,,,14.5863,,,,,0.6954,,,,,1.1397,,,,,0.0475,1.1375,,,,
2026-01-21,196013241721.04,12.9752,,,,,14.8030,,,,,0.7057,,,,,1.1566,,,,,0.0469,1.1544,,,,
2026-01-20,198022162207.2,13.1081,,,,,14.9548,,,,,0.7130,,,,,1.1684,,,,,0.0464,1.1663,,,,
2026-01-19,195152275798.4,12.9182,,,,,14.7380,,,,,0.7026,,,,,1.1515,,,,,0.0471,1.1494,,,,
2026-01-16,193717332594.0,12.8232,,,,,14.6297,,,,,0.6975,,,,,1.1430,,,,,0.0474,1.1409,,,,
2026-01-15,197448184925.44,13.0701,,,,,14.9114,,,,,0.7109,,,,,1.1651,,,,,0.0465,1.1629,,,,
2026-01-14,198309150848.08,13.1271,,,,,14.9764,,,,,0.7140,,,,,1.1701,,,,,0.0463,1.1680,,,,
2026-01-13,202326991820.4,13.3931,,,,,15.2799,,,,,0.7285,,,,,1.1938,,,,,0.0454,1.1916,,,,
2026-01-12,202900969102.16,13.4311,,,,,15.3232,,,,,0.7305,,,,,1.1972,,,,,0.0453,1.1950,,,,
2026-01-09,201753014538.64,13.3551,,,,,15.2365,,,,,0.7264,,,,,1.1905,,,,,0.0455,1.1882,,,,
2026-01-08,201466025897.76,13.3361,,,,,15.2148,,,,,0.7254,,,,,1.1888,,,,,0.0456,1.1865,,,,
2026-01-07,201179037256.88,13.3171,,,,,15.1932,,,,,0.7243,,,,,1.1871,,,,,0.0456,1.1849,,,,
2026-01-06,202613980461.28,13.4121,,,,,15.3015,,,,,0.7295,,,,,1.1955,,,,,0.0453,1.1933,,,,
2026-01-05,198596139488.96,13.1461,,,,,14.9981,,,,,0.7150,,,,,1.1718,,,,,0.0462,1.1696,,,,
2025-12-31,195726253080.16,12.9562,,,,,14.7814,,,,,0.7047,,,,,1.1549,,,,,0.0469,1.1527,,,,
2025-12-30,196587219002.8,13.0132,,,,,14.8464,,,,,0.7078,,,,,1.1600,,,,,0.0467,1.1578,,,,
2025-12-29,198309150848.08,13.1271,,,,,14.9764,,,,,0.7140,,,,,1.1701,,,,,0.0463,1.1680,,,,
2025-12-26,198022162207.2,13.1081,,,,,14.9548,,,,,0.7130,,,,,1.1684,,,,,0.0464,1.1663,,,,
2025-12-25,198596139488.96,13.1461,,,,,14.9981,,,,,0.7150,,,,,1.1718,,,,,0.0462,1.1696,,,,
2025-12-24,198883128129.84,13.1651,,,,,15.0198,,,,,0.7161,,,,,1.1735,,,,,0.0462,1.1713,,,,
2025-12-23,198022162207.2,13.1081,,,,,14.9548,,,,,0.7130,,,,,1.1684,,,,,0.0464,1.1663,,,,
2025-12-22,196587219002.8,13.0132,,,,,14.8464,,,,,0.7078,,,,,1.1600,,,,,0.0467,1.1578,,,,
