date,资产合计,资产负债率,速动比率,流动负债合计,流动比率,长期负债合计,流动资产合计,有息负债率,所有者权益合计,负债合计
2026-03-31,156745247870,0.595,0.5611,5399011668,0.6893,450429849,0,0.3969,63484386904,93260860966
2025-12-31,152098516632,0.6151,0.5969,10564239507,0.7289,472479633,0,0.3343,58544276678,93554239954
2025-09-30,152726359994,0.6055,0.6381,5177039219,0.7515,334058457,0,0.3548,60248887166,92477472829
2025-06-30,149549665799,0.6169,0.6128,4601718300,0.7349,201449410,0,0.3722,57292844559,92256821240
2025-03-31,154847139953,0.5976,0.677,5773735256,0.801,2289859387,0,0.3456,62309538112,92537601841
2024-12-31,153718003928,0.6291,0.6083,12072785360,0.7408,4686530047,0,0.3298,57007650677,96710353251
2024-09-30,150615268967,0.6019,0.7501,4998189136,0.8991,5976779387,0,0.4102,59958167621,90657101346
2024-06-30,149890137920,0.6213,0.7022,4429628961,0.8609,7387275361,0,0.4352,56763867284,93126270636
2024-03-31,161044725348,0.6095,0.8151,5116118294,0.9814,11345634027,0,0.4213,62895663823,98149061525
2023-12-31,151620252658,0.6219,0.7203,8695772664,0.9024,11705395738,0,0.3804,57320357442,94299895216
2023-09-30,149156478448,0.6239,0.7936,5112956414,0.9862,14817113537,0,0.3869,56092969946,93063508501
2023-06-30,141576194928,0.6222,0.7296,4844525568,0.9679,16029446471,0,0.377,53489202064,88086992865
2023-03-31,147254217871,0.609,0.7774,5809452004,1.0162,13589625054,0,0.3944,57578755224,89675462647
2022-12-31,130965302299,0.5866,0.7205,8912550922,0.9886,9298211410,0,0.3126,54143103200,76822199100
2022-09-30,125294687166,0.5847,0.8576,4627196863,1.0902,9430568004,0,0.3431,52036018935,73258668231
2022-06-30,118187480366,0.5699,0.788,4312752009,1.0309,6613525120,0,0.2994,50833896493,67353583873
2022-03-31,122018177743,0.5473,0.8696,5139293512,1.113,6990892791,0,0.276,55237247901,66780929841
2021-12-31,101962339843,0.5215,0.9174,7891327615,1.1584,5380176540,0,0.2185,48791018307,53171321536
2021-09-30,83595252488,0.572,0.6583,4170421849,0.8502,4675548317,0,0.2418,35780458025,47814794463
2021-06-30,88772737855,0.6276,0.6866,3776344855,0.8827,7525043109,0,0.2681,33062478783,55710259072
2021-03-31,83804173982,0.5913,0.6098,3729985006,0.8322,1754499691,0,0.2113,34254320879,49549853103
2020-12-31,71154264385,0.5709,0.5622,6055897909,0.8163,1375031695,0,0.182,30532643924,40621620462
2020-09-30,76312761580,0.6259,0.675,3633780263,0.839,1300292322,0,0.1725,28548286634,47764474946
2020-06-30,68438986217,0.6238,0.545,3189818865,0.7686,455239000,0,0.1925,25746190202,42692796016
2020-03-31,70158032462,0.6151,0.5769,3421127098,0.8343,426356886,0,0.1802,27001458160,43156574302
2019-12-31,60461267016,0.5654,0.5356,0,0.8178,471124135,0,0.1137,26274138792,34187128225
2019-09-30,53129175017,0.5389,0.4982,0,0.7689,224496244,0,0.0788,24496219690,28632955327
2019-06-30,52202455896,0.5103,0.6601,0,0.9583,7606417,0,0.0329,25562738848,26639717048
2019-03-31,52457875487,0.496,0.7982,0,1.0975,289000,0,0.014,26436481306,26021394181
2018-12-31,47606204460,0.4111,0.9123,0,1.2757,289000,0,0.0327,28037221920,19568982540
2018-09-30,45275791954,0.4135,1.0324,0,1.3033,289000,0,0.0183,26552346922,18723445033
2018-06-30,45478973512,0.4575,0.928,0,1.1981,289000,0,0.0816,24673746584,20805226928
2018-03-31,48984690103,0.4424,1.0663,0,1.332,289000,0,0.1243,27313002661,21671687442
2017-12-31,49300355318,0.488,1.0068,0,1.2514,289000,0,0.1599,25239817505,24060537813
2017-09-30,47132394767,0.4838,1.0676,0,1.2704,289000,0,0.1412,24331741700,22800653067
2017-06-30,44383900014,0.484,0.9811,0,1.23,289000,0,0.1549,22902400405,21481499610
2017-03-31,42564284926,0.4136,1.0991,0,1.4367,289000,0,0.0717,24961272946,17603011980
2016-12-31,39262272886,0.4082,1.0269,0,1.3545,289000,0,0.0038,23235887877,16026385009
2016-09-30,38146543018,0.4287,1.0689,0,1.3074,289000,0,0.0155,21792039422,16354503596
2016-06-30,34653791817,0.4063,0.9644,0,1.3058,289000,0,0.0228,20574888828,14078902989
