date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.6182,3898557306,1708202556,-0.0618
2025-12-31,1.7197,3885907349,5972727509,0.2235
2025-09-30,1.6481,4018242730,5078358713,0.1814
2025-06-30,1.4519,3677882304,3402066562,0.1965
2025-03-31,1.3769,3571292653,1820785553,0.4104
2024-12-31,1.3066,3057148707,4881686201,-0.1686
2024-09-30,1.2084,2855239672,4298762595,-0.2288
2024-06-30,1.3604,3537858188,2843399691,-0.1561
2024-03-31,1.478,3867301113,1290939304,-0.2191
2023-12-31,1.6061,4417729082,5871890091,0.3076
2023-09-30,1.6673,4452355922,5574372858,0.3928
2023-06-30,1.7343,4145679638,3369176239,0.455
2023-03-31,1.7641,3772441424,1653223002,0.5995
2022-12-31,1.67,3110249954,4490674811,0.0995
2022-09-30,1.6858,3433184378,4002306093,0.233
2022-06-30,1.6846,3072194566,2315557961,0.211
2022-03-31,1.6709,2872457435,1033576295,0.3936
2021-12-31,1.6535,2596381395,4084103958,0.2215
2021-09-30,1.7044,2673196010,3245914647,0.2714
2021-06-30,1.9066,3272837742,1912056146,1.8548
2021-03-31,1.7397,3025622407,741642735,75.6983
2020-12-31,1.7812,2455346712,3343611325,0.6087
2020-09-30,1.5378,2130262730,2553014848,0.3776
2020-06-30,1.2461,1117483848,669779801,-0.3285
2020-03-31,1.3818,989382351,-9928508,-1.023
2019-12-31,1.4523,1338748513,2078432735,0.4847
2019-09-30,1.4267,1219857442,1853175334,0.5059
2019-06-30,1.2955,905204618,997424891,0.2814
2019-03-31,1.3445,693700080,431432818,0.4633
2018-12-31,1.3134,591253423,1399870398,0.0522
2018-09-30,1.713,828012419,1230588580,0.6206
2018-06-30,1.7824,754639408,778362287,0.8598
2018-03-31,1.6907,757475375,294833291,0.854
2017-12-31,1.6782,727446958,1330404512,0.7167
2017-09-30,1.1398,586680070,759349654,0.4011
2017-06-30,1.1403,498135339,418510291,0.3061
2017-03-31,1.1572,388385765,159027658,0.1693
2016-12-31,1.1904,361087101,675098166,0.2929
2016-09-30,1.1508,312729385,541981427,0.2319
2016-06-30,1.2425,302657802,320431790,0.5038
