date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,6396494547,0.0615,1180575734,0.1274
2025-12-31,22352604725,0.0653,3240259465,0.3496
2025-09-30,17483858534,0.0725,3114740427,0.337
2025-06-30,11507127176,0.0912,2050956595,0.2219
2025-03-31,6026140251,0.1597,1049755960,0.1136
2024-12-31,20982894149,0.0302,3556055832,0.3847
2024-09-30,16301500343,0.0158,3451768880,0.3746
2024-06-30,10545229547,0.0286,2049880848,0.2224
2024-03-31,5196134001,0.035,899476292,0.0976
2023-12-31,20367156739,0.2643,3358871536,0.3644
2023-09-30,16047172893,0.2295,3181255517,0.3453
2023-06-30,10251764472,0.2645,1712374308,0.1836
2023-03-31,5020539961,0.2044,781064899,0.1101
2022-12-31,16109946687,0.0739,2524230841,0.3649
2022-09-30,13051536030,0.1255,2357058533,0.3371
2022-06-30,8107390598,0.1034,1291272406,0.2416
2022-03-31,4168634167,0.1872,610600967,0.1143
2021-12-31,15000809438,0.2593,2323343957,0.4334
2021-09-30,11596309877,0.3538,2003497304,0.3729
2021-06-30,7347954630,0.7647,1115786054,0.2069
2021-03-31,3511190964,1.139,484020052,0.1174
2020-12-31,11912409985,0.1924,1723805336,0.4231
2020-09-30,8565499836,0.1078,1546035448,0.3809
2020-06-30,4163962100,-0.1232,676130356,0.1679
2020-03-31,1641531791,-0.2686,79363352,0.0257
2019-12-31,9990103976,0.2474,1378920970,0.4468
2019-09-30,7731938571,0.2625,1230886017,0.4004
2019-06-30,4748911758,0.2564,695017838,0.2264
2019-03-31,2244509965,0.285,298514151,0.1264
2018-12-31,8008573955,0.3431,1008937348,0.4256
2018-09-30,6124276323,0.3975,894833688,0.3803
2018-06-30,3779813361,0.4594,509065718,0.2167
2018-03-31,1746635512,0.4586,216567965,0.1365
2017-12-31,5962845560,0.4906,742514537,0.495
2017-09-30,4382404125,0.4216,632692914,0.4165
2017-06-30,2590057396,0.3492,362033117,0.2385
2017-03-31,1197462613,0.3086,155627709,0.15
2016-12-31,4000401671,0.2637,557467245,0.56
2016-09-30,3082767209,0.2625,468453151,0.4696
2016-06-30,1919660615,0.3202,272752538,0.2737
