date,metric,value
2026-03-31,长期负债合计,450429849
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.4266
2026-03-31,有息负债率,0.3969
2026-03-31,应收账款,3562528703
2026-03-31,流动资产合计,0
2026-03-31,流动比率,0.6893
2026-03-31,总资产收益率(ROA),0.0771
2026-03-31,自由现金流量,14241368781
2026-03-31,所有者权益合计,63484386904
2026-03-31,毛利率(GM),0.3483
2026-03-31,资产合计,156745247870
2026-03-31,净资产收益率(ROE),0.1909
2026-03-31,流动负债合计,5399011668
2026-03-31,净利润率,0.102
2026-03-31,负债合计,93260860966
2026-03-31,资本回报率(ROIC),0.1098
2026-03-31,资产负债率,0.595
2026-03-31,经营活动产生的现金流量净额,3734648413
2026-03-31,速动比率,0.5611
2026-03-31,基本每股收益,0.85
2026-03-31,归属于母公司普通股股东的净利润,5394651297
2026-03-31,货币资金,166673253575.45
2026-03-31,营业收入,34741223881
