date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,155603872408.2,2.8872,,,,,0.0561,12.8750,,,,,1.3216,,,,,3.0085,,,,,13.2228,,,,
2026-07-02,154655068308.15,2.8695,,,,,0.0564,12.7965,,,,,1.3136,,,,,2.9901,,,,,13.1422,,,,
2026-07-01,153769517814.77,2.8531,,,,,0.0568,12.7232,,,,,1.3060,,,,,2.9730,,,,,13.0669,,,,
2026-06-30,151555641581.32,2.8120,,,,,0.0576,12.5401,,,,,1.2872,,,,,2.9302,,,,,12.8788,,,,
2026-06-29,155477365194.86,2.8848,,,,,0.0561,12.8646,,,,,1.3205,,,,,3.0060,,,,,13.2121,,,,
2026-06-26,153516503388.09,2.8484,,,,,0.0569,12.7023,,,,,1.3039,,,,,2.9681,,,,,13.0454,,,,
2026-06-25,155667126014.87,2.8883,,,,,0.0561,12.8803,,,,,1.3222,,,,,3.0097,,,,,13.2282,,,,
2026-06-24,154338800274.8,2.8637,,,,,0.0566,12.7704,,,,,1.3109,,,,,2.9840,,,,,13.1153,,,,
2026-06-23,154718321914.82,2.8707,,,,,0.0564,12.8018,,,,,1.3141,,,,,2.9913,,,,,13.1476,,,,
2026-06-22,155793633228.21,2.8907,,,,,0.0560,12.8907,,,,,1.3232,,,,,3.0121,,,,,13.2389,,,,
2026-06-18,153453249781.42,2.8472,,,,,0.0569,12.6971,,,,,1.3033,,,,,2.9669,,,,,13.0400,,,,
2026-06-17,156046647654.89,2.8954,,,,,0.0559,12.9117,,,,,1.3254,,,,,3.0170,,,,,13.2604,,,,
2026-06-16,156868944541.6,2.9106,,,,,0.0556,12.9797,,,,,1.3324,,,,,3.0329,,,,,13.3303,,,,
2026-06-15,160727414548.47,2.9822,,,,,0.0543,13.2990,,,,,1.3651,,,,,3.1075,,,,,13.6582,,,,
2026-06-12,162625022748.57,3.0174,,,,,0.0537,13.4560,,,,,1.3812,,,,,3.1442,,,,,13.8194,,,,
2026-06-11,161992486681.87,3.0057,,,,,0.0539,13.4036,,,,,1.3759,,,,,3.1320,,,,,13.7657,,,,
2026-06-10,161802725861.86,3.0022,,,,,0.0539,13.3879,,,,,1.3743,,,,,3.1283,,,,,13.7496,,,,
2026-06-09,158893059955.04,2.9482,,,,,0.0549,13.1472,,,,,1.3495,,,,,3.0721,,,,,13.5023,,,,
2026-06-08,160474400121.79,2.9775,,,,,0.0544,13.2780,,,,,1.3630,,,,,3.1026,,,,,13.6367,,,,
2026-06-05,162372008321.89,3.0127,,,,,0.0538,13.4350,,,,,1.3791,,,,,3.1393,,,,,13.7979,,,,
2026-06-04,168001579315.52,2.8194,,,,,0.0520,13.9008,,,,,1.4269,,,,,2.9261,,,,,14.2763,,,,
2026-06-03,169013637022.24,2.8364,,,,,0.0516,13.9846,,,,,1.4355,,,,,2.9437,,,,,14.3623,,,,
2026-06-02,169899187515.62,2.8512,,,,,0.0514,14.0579,,,,,1.4430,,,,,2.9592,,,,,14.4376,,,,
2026-06-01,170784738009.0,2.8661,,,,,0.0511,14.1311,,,,,1.4506,,,,,2.9746,,,,,14.5128,,,,
2026-05-29,170278709155.64,2.8576,,,,,0.0513,14.0893,,,,,1.4463,,,,,2.9658,,,,,14.4698,,,,
2026-05-28,164459377342.0,2.7599,,,,,0.0531,13.6078,,,,,1.3968,,,,,2.8644,,,,,13.9753,,,,
2026-05-27,168381100955.54,2.8257,,,,,0.0518,13.9322,,,,,1.4301,,,,,2.9327,,,,,14.3086,,,,
2026-05-26,168128086528.86,2.8215,,,,,0.0519,13.9113,,,,,1.4280,,,,,2.9283,,,,,14.2871,,,,
2026-05-25,166167224722.09,2.7886,,,,,0.0525,13.7491,,,,,1.4113,,,,,2.8942,,,,,14.1204,,,,
2026-05-22,165724449475.4,2.7812,,,,,0.0527,13.7124,,,,,1.4076,,,,,2.8864,,,,,14.0828,,,,
2026-05-21,169266651448.92,2.8406,,,,,0.0516,14.0055,,,,,1.4377,,,,,2.9481,,,,,14.3838,,,,
2026-05-20,171543781289.04,2.8788,,,,,0.0509,14.1939,,,,,1.4570,,,,,2.9878,,,,,14.5773,,,,
