date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,155603872408.2,0.0561,1.3216,,,,,3.0085,,,,,13.2228,,,,,2.8872,,,,,12.8750,,,,
2026-07-02,154655068308.15,0.0564,1.3136,,,,,2.9901,,,,,13.1422,,,,,2.8695,,,,,12.7965,,,,
2026-07-01,153769517814.77,0.0568,1.3060,,,,,2.9730,,,,,13.0669,,,,,2.8531,,,,,12.7232,,,,
2026-06-30,151555641581.32,0.0576,1.2872,,,,,2.9302,,,,,12.8788,,,,,2.8120,,,,,12.5401,,,,
2026-06-29,155477365194.86,0.0561,1.3205,,,,,3.0060,,,,,13.2121,,,,,2.8848,,,,,12.8646,,,,
2026-06-26,153516503388.09,0.0569,1.3039,,,,,2.9681,,,,,13.0454,,,,,2.8484,,,,,12.7023,,,,
2026-06-25,155667126014.87,0.0561,1.3222,,,,,3.0097,,,,,13.2282,,,,,2.8883,,,,,12.8803,,,,
2026-06-24,154338800274.8,0.0566,1.3109,,,,,2.9840,,,,,13.1153,,,,,2.8637,,,,,12.7704,,,,
2026-06-23,154718321914.82,0.0564,1.3141,,,,,2.9913,,,,,13.1476,,,,,2.8707,,,,,12.8018,,,,
2026-06-22,155793633228.21,0.0560,1.3232,,,,,3.0121,,,,,13.2389,,,,,2.8907,,,,,12.8907,,,,
2026-06-18,153453249781.42,0.0569,1.3033,,,,,2.9669,,,,,13.0400,,,,,2.8472,,,,,12.6971,,,,
2026-06-17,156046647654.89,0.0559,1.3254,,,,,3.0170,,,,,13.2604,,,,,2.8954,,,,,12.9117,,,,
2026-06-16,156868944541.6,0.0556,1.3324,,,,,3.0329,,,,,13.3303,,,,,2.9106,,,,,12.9797,,,,
2026-06-15,160727414548.47,0.0543,1.3651,,,,,3.1075,,,,,13.6582,,,,,2.9822,,,,,13.2990,,,,
2026-06-12,162625022748.57,0.0537,1.3812,,,,,3.1442,,,,,13.8194,,,,,3.0174,,,,,13.4560,,,,
2026-06-11,161992486681.87,0.0539,1.3759,,,,,3.1320,,,,,13.7657,,,,,3.0057,,,,,13.4036,,,,
2026-06-10,161802725861.86,0.0539,1.3743,,,,,3.1283,,,,,13.7496,,,,,3.0022,,,,,13.3879,,,,
2026-06-09,158893059955.04,0.0549,1.3495,,,,,3.0721,,,,,13.5023,,,,,2.9482,,,,,13.1472,,,,
2026-06-08,160474400121.79,0.0544,1.3630,,,,,3.1026,,,,,13.6367,,,,,2.9775,,,,,13.2780,,,,
