date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,5394651297,0.1068,0.85,34741223881
2025-12-31,11565166498,0.3682,1.83,115636231250
2025-09-30,10426102617,-0.0407,1.65,90340548118
2025-06-30,7200477612,-0.0439,1.14,61776746683
2025-03-31,4874104243,-0.1771,0.77,32938299808
2024-12-31,8452859993,-0.1894,1.33,115393310977
2024-09-30,10868480345,0.1587,1.71,88732934445
2024-06-30,7531134129,0.1944,1.18,59695756962
2024-03-31,5922814508,0.6384,0.93,32462896351
2023-12-31,10428540458,0.1058,1.64,125758168917
2023-09-30,9380094922,0.1636,1.47,97090826913
2023-06-30,6305176791,0.0281,0.99,65982222268
2023-03-31,3615021381,0.0273,0.57,33328470170
2022-12-31,9431064680,0.0834,1.48,122698004081
2022-09-30,8061098376,0.0147,1.26,93499819325
2022-06-30,6132558741,0.1523,0.96,63213005378
2022-03-31,3519032465,0.2432,0.56,30912906195
2021-12-31,8704915104,0.2298,1.43,110143986386
2021-09-30,7944245163,0.3187,1.31,84674219329
2021-06-30,5321850195,0.4248,0.88,56293591004
2021-03-31,2830700646,1.4769,0.47,27258854220
2020-12-31,7078176788,0.0208,1.17,96523963250
2020-09-30,6024373271,0.0699,1,73505693129
2020-06-30,3735241174,-0.012,0.61,47344133265
2020-03-31,1142854815,-0.4978,0.19,20544425567
2019-12-31,6933763430,0.0767,1.15,90009132852
2019-09-30,5630691955,0.1155,0.93,68517176947
2019-06-30,3780531531,0.0971,0.62,44965134235
2019-03-31,2275767650,0.0836,0.37,23077373618
2018-12-31,6439749611,0.0731,1.06,78976388687
2018-09-30,5047818748,0.0224,0.83,60846276714
2018-06-30,3445830923,0.0243,0.57,39588519724
2018-03-31,2100235524,0.2115,0.35,19575653903
2017-12-31,6000884927,0.0599,0.99,67547449530
2017-09-30,4937267332,0.1247,0.81,52126895563
2017-06-30,3364111101,0.0475,0.55,33301766307
2017-03-31,1733653347,0.1158,0.29,15716290528
2016-12-31,5661807747,0.2224,0.93,60312009671
2016-09-30,4389943212,0.2069,0.72,45922942508
