date,总资产收益率(ROA),资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),净利润率
2026-03-31,0.0771,0.1098,0.1909,0.3483,0.102
2025-12-31,0.0753,0.1174,0.1993,0.3458,0.0993
2025-09-30,0.0527,0.0771,0.1329,0.3429,0.0681
2025-06-30,0.0543,0.0791,0.1425,0.3456,0.069
2025-03-31,0.0472,0.0711,0.1191,0.3442,0.0641
2024-12-31,0.0554,0.0898,0.1481,0.3388,0.0731
2024-09-30,0.0788,0.1157,0.2035,0.3399,0.1002
2024-06-30,0.0792,0.1181,0.2094,0.3336,0.0963
2024-03-31,0.0819,0.1183,0.2095,0.3309,0.1007
2023-12-31,0.0728,0.1164,0.1845,0.3258,0.0815
2023-09-30,0.0775,0.1184,0.1967,0.325,0.0839
2023-06-30,0.0731,0.1152,0.182,0.3211,0.0754
2023-03-31,0.07,0.1063,0.1671,0.3212,0.0751
2022-12-31,0.08,0.1273,0.1811,0.3226,0.0757
2022-09-30,0.0844,0.1302,0.2008,0.2778,0.0738
2022-06-30,0.0923,0.1458,0.2277,0.289,0.0813
2022-03-31,0.0915,0.145,0.2104,0.2996,0.0824
2021-12-31,0.1009,0.1647,0.2202,0.3062,0.079
2021-09-30,0.1128,0.1979,0.2805,0.3597,0.0834
2021-06-30,0.1102,0.1924,0.2946,0.3575,0.0818
2021-03-31,0.114,0.2018,0.2865,0.3613,0.0847
2020-12-31,0.1079,0.1965,0.2499,0.3597,0.0733
2020-09-30,0.1135,0.2199,0.277,0.3679,0.0771
2020-06-30,0.1145,0.2208,0.2693,0.3717,0.0745
2020-03-31,0.095,0.1844,0.2179,0.3669,0.0664
2019-12-31,0.1286,0.2289,0.256,0.3735,0.077
2019-09-30,0.1432,0.2607,0.276,0.3782,0.0811
2019-06-30,0.1389,,0.27,0.3783,0.0801
2019-03-31,0.1306,,0.2466,0.3818,0.0799
2018-12-31,0.1332,0.2093,0.2422,0.3782,0.0811
2018-09-30,0.1324,,0.2405,0.3715,0.0796
2018-06-30,0.1358,,0.2566,0.3762,0.0819
2018-03-31,0.1392,,0.2438,0.3762,0.0885
2017-12-31,0.1356,,0.2477,0.3728,0.0882
2017-09-30,0.1455,,0.269,0.3736,0.0927
2017-06-30,0.1471,,0.2675,0.376,0.0908
2017-03-31,0.1417,,0.2506,0.3692,0.0958
2016-12-31,0.1437,,0.2614,0.3794,0.0935
2016-09-30,0.1394,,0.2619,0.3886,0.0891
