date,毛利率(GM),净资产收益率(ROE),总资产收益率(ROA),净利润率
2026-03-31,0.2642,0.1833,0.0715,0.0967
2025-12-31,0.2639,0.1919,0.0734,0.0971
2025-09-30,0.2574,0.1991,0.078,0.0998
2025-06-30,0.2563,0.2182,0.0773,0.0999
2025-03-31,0.2591,0.1996,0.075,0.0985
2024-12-31,0.2642,0.1928,0.0711,0.0947
2024-09-30,0.2717,0.1936,0.0729,0.0936
2024-06-30,0.2745,0.2174,0.075,0.0923
2024-03-31,0.2734,0.2006,0.0738,0.0903
2023-12-31,0.2649,0.2069,0.0743,0.0903
2023-09-30,0.2599,0.2107,0.0757,0.0912
2023-06-30,0.2536,0.2158,0.0736,0.0895
2023-03-31,0.2472,0.2019,0.0724,0.0874
2022-12-31,0.2424,0.2079,0.0736,0.0862
2022-09-30,0.2237,0.2166,0.0756,0.0852
2022-06-30,0.2244,0.2268,0.0754,0.085
2022-03-31,0.2228,0.2221,0.0764,0.0845
2021-12-31,0.2248,0.224,0.0775,0.0845
2021-09-30,0.2396,0.2335,0.0798,0.0877
2021-06-30,0.2389,0.243,0.0802,0.0893
2021-03-31,0.2455,0.2481,0.0873,0.0943
2020-12-31,0.2511,0.2374,0.0831,0.0963
2020-09-30,0.2585,0.2237,0.079,0.0912
2020-06-30,0.2676,0.2207,0.0753,0.0879
2020-03-31,0.2818,0.2231,0.0811,0.0898
2019-12-31,0.2886,0.2528,0.0894,0.0905
2019-09-30,0.2899,0.2538,0.092,0.0902
2019-06-30,0.2883,0.2566,0.0895,0.0878
2019-03-31,0.2827,0.2406,0.0848,0.0844
2018-12-31,0.2754,0.2469,0.0846,0.0827
2018-09-30,0.2657,0.2508,0.0866,0.0826
2018-06-30,0.2611,0.2558,0.0865,0.08
2018-03-31,0.2519,0.2411,0.0818,0.0776
2017-12-31,0.2503,0.245,0.0889,0.0769
2017-09-30,0.2538,0.2491,0.0899,0.079
2017-06-30,0.2533,0.2496,0.0862,0.0831
2017-03-31,0.2603,0.2419,0.0876,0.0904
2016-12-31,0.2731,0.2538,0.1059,0.0992
2016-09-30,0.2723,0.2591,0.1046,0.1077
2016-06-30,0.2683,0.259,0.0964,0.1108
