date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,1003388713,0.2004,1.415,6939848224
2025-12-31,7352441262,-0.1263,1.4249,6586456574
2025-09-30,5995465900,-0.1327,1.4421,6608183639
2025-06-30,2914204685,-0.1854,1.5276,6727178383
2025-03-31,835901146,-0.422,1.5866,6662585933
2024-12-31,8415760882,1.4842,1.6649,7075652545
2024-09-30,6912997808,1.8203,1.7152,6475697364
2024-06-30,3577589221,9.1692,1.45,4998916965
2024-03-31,1446221594,261.3357,0.9911,2896134155
2023-12-31,3387718636,-0.5522,0.664,998313340
2023-09-30,2451145083,-0.3926,1.0011,3276223883
2023-06-30,351807185,-0.7732,1.0934,3169050315
2023-03-31,-5555218,0.9756,1.3551,4219444880
2022-12-31,7565466115,0.2538,1.3233,4181495626
2022-09-30,4035345671,1.0037,1.4535,3990729252
2022-06-30,1551453142,0.2168,1.2379,1925284910
2022-03-31,-228133419,-1.1625,0.8971,98760614
2021-12-31,6034052783,-0.316,1.2356,2115262491
2021-09-30,2013953012,-0.6706,0.984,1714780747
2021-06-30,1275059450,-0.2792,1.433,6300400649
2021-03-31,1403883284,-0.2136,1.338,7003089973
2020-12-31,8821926788,0.9943,1.385,7684512241
2020-09-30,6113238255,1.2773,1.191,6840235066
2020-06-30,1768934500,0.139,0.739,3829377656
2020-03-31,1785116837,4.1833,1.0047,5186248023
2019-12-31,4423615424,-0.0928,0.7807,3765097557
2019-09-30,2684390418,-0.3213,0.785,3835432070
2019-06-30,1538382793,-0.1983,0.9446,4367191784
2019-03-31,330107363,-0.7382,0.8058,3837604143
2018-12-31,5194846772,-0.0806,1.0233,4745568980
2018-09-30,3630523521,-0.1858,0.9676,4384418760
2018-06-30,1918813073,-0.142,1.0695,4904790814
2018-03-31,1260796863,-0.1817,1.1384,4935663438
2017-12-31,5650043808,0.0188,1.2526,5202593866
2017-09-30,4453209970,0.1306,1.3579,5437708543
2017-06-30,2236389323,-0.2128,1.1448,4288674948
2017-03-31,1548020986,-0.167,1.1994,4530769389
2016-12-31,5545999257,-0.0382,1.2158,4664797865
2016-09-30,3938869687,-0.1512,1.1074,4080584218
