date,metric,value
2026-03-31,货币资金,98396378449.2
2026-03-31,基本每股收益,0.3728
2026-03-31,营业收入,14548592028
2026-03-31,经营活动产生的现金流量净额,1003388713
2026-03-31,有息负债率,0.3196
2026-03-31,净资产收益率(ROE),0.2344
2026-03-31,速动比率,0.8977
2026-03-31,总资产收益率(ROA),0.1228
2026-03-31,毛利率(GM),0.1871
2026-03-31,所有者权益合计,22864388065
2026-03-31,负债合计,20673836094
2026-03-31,流动负债合计,2416559452
2026-03-31,净利润率,0.0889
2026-03-31,资产合计,43538224159
2026-03-31,归属于母公司普通股股东的净利润,1291771313
2026-03-31,自由现金流量,6939848224
2026-03-31,资产负债率,0.4748
2026-03-31,流动比率,1.2025
2026-03-31,应收账款,366718416
2026-03-31,流动资产合计,9711692
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.415
2026-03-31,长期负债合计,8935539
2026-03-31,资本回报率(ROIC),0.1484
