date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-08,89178095410.0,13.2139,0.2419,39.6515,21.5886,12.8388,0.0482,0.5258,0.6148,0.8432,0.4742,0.3639,1.4600,0.7051,1.5249,1.2561,0.9420
2026-06-05,90426588745.74,13.3989,0.2511,39.6515,21.5886,12.8388,0.0475,0.5332,0.6257,0.8462,0.4742,0.3639,1.4804,0.7392,1.5249,1.2561,0.9420
2026-06-04,92031794463.12,13.6367,0.2622,39.6515,21.5886,12.8388,0.0467,0.5426,0.6446,0.8462,0.4742,0.3639,1.5067,0.7755,1.5249,1.2561,0.9420
2026-06-03,93280287798.86,13.8217,0.2657,39.6515,21.5886,12.8388,0.0461,0.5500,0.6542,0.8462,0.4742,0.3639,1.5271,0.8008,1.5249,1.2561,0.9420
2026-06-02,94885493516.24,14.0596,0.2720,39.6515,21.5886,12.8388,0.0453,0.5595,0.6606,0.8462,0.4742,0.3639,1.5534,0.8318,1.5249,1.2561,0.9420
2026-06-01,93637000180.5,13.8746,0.2674,39.6515,21.5886,12.8388,0.0459,0.5521,0.6555,0.8462,0.4742,0.3639,1.5330,0.8123,1.5248,1.2561,0.9420
2026-05-29,91853438272.3,13.6103,0.2616,39.6515,21.5886,12.8281,0.0468,0.5416,0.6414,0.8464,0.4742,0.3639,1.5038,0.7718,1.5247,1.2559,0.9420
2026-05-28,89178095410.0,13.2139,0.2452,39.6515,21.5886,12.8281,0.0482,0.5258,0.6146,0.8464,0.4742,0.3639,1.4600,0.7082,1.5247,1.2557,0.9420
2026-05-27,88464670646.72,13.1082,0.2398,39.6515,21.5886,12.8281,0.0486,0.5216,0.6047,0.8464,0.4742,0.3639,1.4483,0.6915,1.5247,1.2555,0.9420
2026-05-26,88286314455.9,13.0818,0.2352,39.6515,21.5886,12.8281,0.0487,0.5206,0.6013,0.8464,0.4742,0.3639,1.4454,0.6860,1.5247,1.2555,0.9420
2026-05-25,88643026837.54,13.1346,0.2411,39.6515,21.5886,12.8281,0.0485,0.5227,0.6059,0.8495,0.4742,0.3639,1.4512,0.6953,1.5247,1.2526,0.9420
2026-05-22,87394533501.8,12.9496,0.2168,39.6515,21.5886,12.8281,0.0492,0.5153,0.5868,0.8495,0.4742,0.3639,1.4308,0.6677,1.5247,1.2522,0.9420
2026-05-21,87394533501.8,12.9496,0.2169,39.6515,21.5886,12.8281,0.0492,0.5153,0.5870,0.8495,0.4742,0.3639,1.4308,0.6679,1.5247,1.2522,0.9420
2026-05-20,88107958265.08,13.0553,0.2331,39.6515,21.5886,12.8281,0.0488,0.5195,0.5970,0.8495,0.4742,0.3639,1.4424,0.6831,1.5247,1.2522,0.9420
2026-05-19,92210150653.94,13.6632,0.2636,39.6515,21.5886,12.8281,0.0466,0.5437,0.6428,0.8495,0.4742,0.3639,1.5096,0.7788,1.5247,1.2517,0.9420
2026-05-18,87572889692.62,12.9760,0.2242,39.6515,21.5886,12.8170,0.0491,0.5163,0.5881,0.8495,0.4742,0.3639,1.4337,0.6737,1.5247,1.2516,0.9420
2026-05-15,87751245883.44,13.0025,0.2261,39.6515,21.5886,12.7960,0.0490,0.5174,0.5898,0.8526,0.4742,0.3639,1.4366,0.6765,1.5247,1.2516,0.9420
2026-05-14,87929602074.26,13.0289,0.2304,39.6515,21.5886,12.7960,0.0489,0.5185,0.5925,0.8526,0.4742,0.3639,1.4395,0.6794,1.5247,1.2516,0.9420
2026-05-13,90069876364.1,13.3460,0.2504,39.6515,21.5886,12.7960,0.0477,0.5311,0.6186,0.8526,0.4742,0.3639,1.4746,0.7288,1.5247,1.2516,0.9420
2026-05-12,88999739219.18,13.1875,0.2441,39.6515,21.5886,12.7960,0.0483,0.5248,0.6089,0.8527,0.4742,0.3639,1.4570,0.7051,1.5247,1.2516,0.9420
2026-05-11,88286314455.9,13.0818,0.2373,39.6515,21.5886,12.7960,0.0487,0.5206,0.5987,0.8557,0.4742,0.3639,1.4454,0.6881,1.5247,1.2486,0.9420
2026-05-08,87037821120.16,12.8968,0.2159,39.6515,21.5886,12.7930,0.0494,0.5132,0.5813,0.8588,0.4742,0.3639,1.4249,0.6655,1.5247,1.2483,0.9420
2026-05-07,87216177310.98,12.9232,0.2173,39.6515,21.5886,12.7930,0.0493,0.5142,0.5849,0.8588,0.4742,0.3639,1.4278,0.6688,1.5247,1.2483,0.9420
2026-05-06,85789327784.42,12.7118,0.1932,39.6515,21.5886,12.7930,0.0501,0.5058,0.5627,0.8588,0.4742,0.3639,1.4045,0.6343,1.5247,1.2483,0.9420
2026-04-30,84540834448.68,12.5268,0.1782,39.6089,21.5738,12.7960,0.0508,0.4985,0.5489,0.8623,0.4746,0.3639,1.3840,0.6081,1.5246,1.2483,0.9434
2026-04-29,86681108738.52,12.8439,0.2091,39.6515,21.5886,12.7960,0.0496,0.5111,0.5737,0.8623,0.4742,0.3639,1.4191,0.6554,1.5247,1.2483,0.9420
2026-04-28,87751245883.44,12.2533,0.1736,39.6515,21.5886,12.7960,0.0490,0.5154,0.5847,0.8655,0.4742,0.3639,1.4755,0.7329,1.5247,1.2483,0.9420
2026-04-27,87216177310.98,12.1786,0.1698,39.6515,21.5886,12.7960,0.0493,0.5123,0.5775,0.8655,0.4742,0.3639,1.4665,0.7180,1.5247,1.2476,0.9420
2026-04-24,87929602074.26,12.2782,0.1730,39.6089,21.5590,12.8170,0.0489,0.5165,0.5850,0.8712,0.4751,0.3639,1.4785,0.7382,1.5246,1.2475,0.9434
2026-04-23,88286314455.9,12.3280,0.1739,39.6089,21.5738,12.8281,0.0487,0.5186,0.5887,0.8712,0.4746,0.3639,1.4845,0.7465,1.5246,1.2475,0.9434
2026-04-22,87394533501.8,12.2035,0.1710,39.6515,21.5886,12.8281,0.0492,0.5133,0.5796,0.8712,0.4742,0.3639,1.4695,0.7240,1.5247,1.2474,0.9420
2026-04-21,88107958265.08,12.3031,0.1732,39.6515,21.5886,12.8281,0.0488,0.5175,0.5859,0.8720,0.4742,0.3639,1.4815,0.7426,1.5247,1.2444,0.9420
2026-04-20,86146040166.06,12.0292,0.1647,39.6515,21.5886,12.8281,0.0499,0.5060,0.5618,0.8742,0.4742,0.3639,1.4485,0.6964,1.5247,1.2444,0.9420
2026-04-17,85967683975.24,12.0043,0.1637,39.6089,21.5590,12.8281,0.0500,0.5050,0.5601,0.8752,0.4751,0.3639,1.4455,0.6920,1.5246,1.2444,0.9434
2026-04-16,86146040166.06,12.0292,0.1642,39.6089,21.5738,12.8281,0.0499,0.5060,0.5612,0.8752,0.4746,0.3639,1.4485,0.6970,1.5246,1.2444,0.9434
2026-04-15,87037821120.16,12.1537,0.1677,39.6515,21.5886,12.8281,0.0494,0.5113,0.5724,0.8752,0.4742,0.3639,1.4635,0.7172,1.5247,1.2444,0.9420
2026-04-14,85967683975.24,11.5906,0.1507,39.6515,21.5886,12.8281,0.0436,0.5041,0.5584,0.8784,0.4742,0.3639,1.4464,0.6935,1.5247,1.2444,0.9420
2026-04-13,85610971593.6,11.5425,0.1494,39.6515,21.5886,12.8281,0.0437,0.5020,0.5546,0.8804,0.4742,0.3639,1.4404,0.6867,1.5247,1.2444,0.9420
2026-04-10,85610971593.6,11.5425,0.1497,39.6089,21.5590,12.8281,0.0437,0.5020,0.5541,0.8849,0.4751,0.3639,1.4404,0.6874,1.5246,1.2444,0.9434
2026-04-09,86859464929.34,11.7109,0.1545,39.6089,21.5738,12.8388,0.0431,0.5094,0.5654,0.8849,0.4746,0.3639,1.4614,0.7143,1.5246,1.2444,0.9434
2026-04-08,86324396356.88,11.6387,0.1507,39.6515,21.5886,12.8388,0.0434,0.5062,0.5601,0.8849,0.4742,0.3639,1.4524,0.7015,1.5247,1.2444,0.9420
2026-04-07,84005765876.22,11.3261,0.1444,39.6515,21.5886,12.8388,0.0446,0.4926,0.5428,0.8881,0.4742,0.3639,1.4134,0.6545,1.5247,1.2437,0.9420
2026-04-03,84897546830.32,11.4464,0.1468,39.6089,21.5590,12.8281,0.0441,0.4979,0.5470,0.8945,0.4751,0.3639,1.4284,0.6760,1.5246,1.2444,0.9434
2026-04-02,85789327784.42,11.5666,0.1507,39.6089,21.5738,12.8388,0.0437,0.5031,0.5552,0.8945,0.4746,0.3639,1.4434,0.6923,1.5246,1.2440,0.9434
2026-04-01,86681108738.52,11.6868,0.1528,39.6515,21.5886,12.8388,0.0432,0.5083,0.5618,0.8945,0.4742,0.3639,1.4584,0.7113,1.5247,1.2437,0.9420
2026-03-31,86324396356.88,11.6387,0.1516,39.6515,21.5886,12.8388,0.0434,0.5062,0.5588,0.8977,0.4742,0.3639,1.4524,0.7024,1.5247,1.2437,0.9420
2026-03-30,87394533501.8,11.7830,0.1554,39.6515,21.5886,12.8388,0.0429,0.5125,0.5724,0.8977,0.4742,0.3639,1.4704,0.7265,1.5247,1.2437,0.9420
2026-03-27,89534807791.64,12.0716,0.1646,39.6089,21.5590,12.8281,0.0418,0.5251,0.5964,0.8977,0.4751,0.3639,1.5065,0.7766,1.5246,1.2437,0.9434
2026-03-26,91140013509.02,12.2880,0.1701,39.6089,21.5738,12.8388,0.0411,0.5345,0.6098,0.8977,0.4746,0.3639,1.5335,0.8129,1.5246,1.2437,0.9434
2026-03-25,90604944936.56,12.2159,0.1685,39.6515,21.5886,12.8388,0.0413,0.5313,0.6058,0.9074,0.4742,0.3639,1.5245,0.7993,1.5246,1.2437,0.9420
2026-03-24,88821383028.36,11.9754,0.1622,39.6515,21.5886,12.8388,0.0422,0.5209,0.5881,0.9074,0.4742,0.3639,1.4945,0.7591,1.5246,1.2437,0.9420
2026-03-23,86502752547.7,11.6628,0.1550,39.6515,21.5886,12.8388,0.0433,0.5073,0.5605,0.9074,0.4742,0.3639,1.4554,0.7100,1.5246,1.2437,0.9420
2026-03-20,88643026837.54,11.9513,0.1616,39.6089,21.5590,12.8281,0.0423,0.5198,0.5838,0.9138,0.4751,0.3639,1.4915,0.7563,1.5245,1.2437,0.9434
2026-03-19,88286314455.9,11.9033,0.1600,39.6089,21.5738,12.8388,0.0424,0.5177,0.5802,0.9138,0.4746,0.3639,1.4855,0.7495,1.5245,1.2437,0.9434
2026-03-18,88821383028.36,11.9754,0.1626,39.6515,21.5886,12.8388,0.0422,0.5209,0.5868,0.9138,0.4742,0.3639,1.4945,0.7595,1.5246,1.2437,0.9420
2026-03-17,88999739219.18,11.9994,0.1634,39.6515,21.5886,12.8388,0.0421,0.5219,0.5885,0.9138,0.4742,0.3639,1.4975,0.7638,1.5246,1.2437,0.9420
2026-03-16,89534807791.64,12.0716,0.1651,39.6515,21.5886,12.8388,0.0418,0.5251,0.5944,0.9170,0.4742,0.3639,1.5065,0.7777,1.5246,1.2437,0.9420
2026-03-13,90783301127.38,12.2399,0.1705,39.6089,21.5590,12.8281,0.0413,0.5324,0.6041,0.9202,0.4751,0.3639,1.5275,0.8029,1.5245,1.2437,0.9434
2026-03-12,93458643989.68,12.6006,0.1752,39.6089,21.5738,12.8388,0.0401,0.5481,0.6297,0.9202,0.4746,0.3639,1.5725,0.8489,1.5224,1.2437,0.9434
2026-03-11,91496725890.66,12.3361,0.1706,39.6515,21.5886,12.8388,0.0409,0.5366,0.6097,0.9210,0.4742,0.3639,1.5395,0.8218,1.5224,1.2437,0.9420
2026-03-10,89891520173.28,12.1197,0.1677,39.6515,21.5886,12.8388,0.0417,0.5271,0.5961,0.9235,0.4742,0.3639,1.5125,0.7879,1.5223,1.2437,0.9420
2026-03-09,90426588745.74,12.1918,0.1693,39.6515,21.5886,12.8388,0.0414,0.5303,0.6003,0.9235,0.4742,0.3639,1.5215,0.7989,1.5223,1.2434,0.9420
2026-03-06,90604944936.56,12.2159,0.1709,39.6089,21.5590,12.8281,0.0413,0.5313,0.6015,0.9267,0.4751,0.3639,1.5245,0.8012,1.5216,1.2437,0.9434
2026-03-05,90426588745.74,12.1918,0.1705,39.6089,21.5738,12.8388,0.0414,0.5303,0.6001,0.9267,0.4746,0.3639,1.5215,0.7998,1.5215,1.2435,0.9434
