日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=87.4800,=87.4800,=87.4800,=87.4800,=1896515210465.64,=78974133005.0,=78974133005.16,,=1.8012,,,,
2026-07-02,=88.2500,=88.2500,=88.2500,=88.2500,=1913208359894.75,=79669264263.0,=79669264262.75,,=1.8171,,,,
2026-07-01,=86.4900,=86.4900,=86.4900,=86.4900,=1875052589771.0696,=78080392817.0,=78080392816.83,,=1.7808,,,,
2026-06-30,=86.1300,=86.1300,=86.1300,=86.1300,=1867248000427.5896,=77755396385.0,=77755396384.71,,=1.7734,,,,
2026-06-29,=87.6000,=87.6000,=87.6000,=87.6000,=1899116740246.8,=79082465149.0,=79082465149.2,,=1.8037,,,,
2026-06-26,=86.8200,=86.8200,=86.8200,=86.8200,=1882206796669.26,=78378306213.0,=78378306212.94,,=1.7876,,,,
2026-06-25,=87.7000,=87.7000,=87.7000,=87.7000,=1901284681731.1,=79172741936.0,=79172741935.9,,=1.8058,,,,
2026-06-24,=88.7000,=88.7000,=88.7000,=88.7000,=1922964096574.1,=80075509803.0,=80075509802.9,,=1.8263,,,,
2026-06-23,=90.5200,=90.5200,=90.5200,=90.5200,=1962420631588.36,=81718547321.0,=81718547320.84,,=1.8638,,,,
2026-06-22,=91.9300,=91.9300,=91.9300,=91.9300,=1992988606516.9905,=82991450013.0,=82991450013.31,,=1.8928,,,,
2026-06-18,=91.6500,=91.6500,=91.6500,=91.6500,=1986918370360.9504,=82738675011.0,=82738675010.55,,=1.8871,,,,
2026-06-17,=92.9800,=92.9800,=92.9800,=92.9800,=2015751992102.14,=83939356274.0,=83939356273.66,,=1.9145,,,,
2026-06-16,=92.9900,=92.9900,=92.9900,=92.9900,=2015968786250.5696,=83948383952.0,=83948383952.33,,=1.9147,,,,
2026-06-15,=94.2300,=94.2300,=94.2300,=94.2300,=2042851260655.89,=85067816107.0,=85067816107.41,,=1.9402,,,,
2026-06-12,=95.1200,=95.1200,=95.1200,=95.1200,=2062145939866.16,=85871279509.0,=85871279509.04,,=1.9585,,,,
2026-06-11,=95.9700,=95.9700,=95.9700,=95.9700,=2080573442482.71,=86638632196.0,=86638632195.99,,=1.9760,,,,
2026-06-10,=97.2700,=97.2700,=97.2700,=97.2700,=2108756681778.61,=87812230423.0,=87812230423.09,,=2.0028,,,,
2026-06-09,=95.8600,=95.8600,=95.8600,=95.8600,=2078188706849.98,=86539327731.0,=86539327730.62,,=1.9738,,,,
2026-06-08,=96.6000,=96.6000,=96.6000,=96.6000,=2094231473833.8,=87207375952.0,=87207375952.2,,=1.9890,,,,
2026-06-05,=97.3300,=97.3300,=97.3300,=97.3300,=2110057446669.19,=87866396495.0,=87866396495.11,,=2.0040,,,,
2026-06-04,=100.1600,=100.1600,=100.1600,=100.1600,=2171410190674.88,=90421229559.0,=90421229558.72,,=2.0623,,,,
2026-06-03,=100.1600,=100.1600,=100.1600,=100.1600,=2171410190674.88,=90421229559.0,=90421229558.72,,=2.0623,,,,
2026-06-02,=100.4200,=100.4200,=100.4200,=100.4200,=2177046838534.06,=90655949204.0,=90655949204.14,,=2.0677,,,,
2026-06-01,=98.9000,=98.9000,=98.9000,=98.9000,=2144094127972.7,=89283742046.0,=89283742046.3,,=2.0364,,,,
2026-05-29,=99.1000,=99.1000,=99.1000,=99.1000,=2147419143472.4,=89464295620.0,=89464295619.7,,=2.0395,,,,
2026-05-28,=98.1800,=98.1800,=98.1800,=98.1800,=2127483466257.5205,=88633749182.0,=88633749182.06,,=2.0206,,,,
2026-05-27,=97.5800,=97.5800,=97.5800,=97.5800,=2114481937639.12,=88092088462.0,=88092088461.86,,=2.0082,,,,
2026-05-26,=97.1900,=97.1900,=97.1900,=97.1900,=2106030944037.16,=87740008994.0,=87740008993.73,,=2.0002,,,,
2026-05-25,=96.6200,=96.6200,=96.6200,=96.6200,=2093679491849.68,=87225431310.0,=87225431309.54,,=1.9885,,,,
2026-05-22,=95.9800,=95.9800,=95.9800,=95.9800,=2079811194656.72,=86647659875.0,=86647659874.66,,=1.9753,,,,
2026-05-21,=96.7500,=96.7500,=96.7500,=96.7500,=2096496489717.0,=87342791132.0,=87342791132.25,,=1.9912,,,,
