日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=87.4800,=87.4800,=87.4800,=87.4800,=1896515210465.64,=78974133005.0,=78974133005.16,,=14.9378,,,,
2026-07-02,=88.2500,=88.2500,=88.2500,=88.2500,=1913208359894.75,=79669264263.0,=79669264262.75,,=15.0693,,,,
2026-07-01,=86.4900,=86.4900,=86.4900,=86.4900,=1875052589771.0696,=78080392817.0,=78080392816.83,,=14.7687,,,,
2026-06-30,=86.1300,=86.1300,=86.1300,=86.1300,=1867248000427.5896,=77755396385.0,=77755396384.71,,=14.7073,,,,
2026-06-29,=87.6000,=87.6000,=87.6000,=87.6000,=1899116740246.8,=79082465149.0,=79082465149.2,,=14.9583,,,,
2026-06-26,=86.8200,=86.8200,=86.8200,=86.8200,=1882206796669.26,=78378306213.0,=78378306212.94,,=14.8251,,,,
2026-06-25,=87.7000,=87.7000,=87.7000,=87.7000,=1901284681731.1,=79172741936.0,=79172741935.9,,=14.9753,,,,
2026-06-24,=88.7000,=88.7000,=88.7000,=88.7000,=1922964096574.1,=80075509803.0,=80075509802.9,,=15.1461,,,,
2026-06-23,=90.5200,=90.5200,=90.5200,=90.5200,=1962420631588.36,=81718547321.0,=81718547320.84,,=15.4569,,,,
2026-06-22,=91.9300,=91.9300,=91.9300,=91.9300,=1992988606516.9905,=82991450013.0,=82991450013.31,,=15.6976,,,,
2026-06-18,=91.6500,=91.6500,=91.6500,=91.6500,=1986918370360.9504,=82738675011.0,=82738675010.55,,=15.6498,,,,
2026-06-17,=92.9800,=92.9800,=92.9800,=92.9800,=2015751992102.14,=83939356274.0,=83939356273.66,,=15.8769,,,,
2026-06-16,=92.9900,=92.9900,=92.9900,=92.9900,=2015968786250.5696,=83948383952.0,=83948383952.33,,=15.8786,,,,
2026-06-15,=94.2300,=94.2300,=94.2300,=94.2300,=2042851260655.89,=85067816107.0,=85067816107.41,,=16.0904,,,,
2026-06-12,=95.1200,=95.1200,=95.1200,=95.1200,=2062145939866.16,=85871279509.0,=85871279509.04,,=16.2424,,,,
2026-06-11,=95.9700,=95.9700,=95.9700,=95.9700,=2080573442482.71,=86638632196.0,=86638632195.99,,=16.3875,,,,
2026-06-10,=97.2700,=97.2700,=97.2700,=97.2700,=2108756681778.61,=87812230423.0,=87812230423.09,,=16.6095,,,,
2026-06-09,=95.8600,=95.8600,=95.8600,=95.8600,=2078188706849.98,=86539327731.0,=86539327730.62,,=16.3687,,,,
2026-06-08,=96.6000,=96.6000,=96.6000,=96.6000,=2094231473833.8,=87207375952.0,=87207375952.2,,=16.4951,,,,
2026-06-05,=97.3300,=97.3300,=97.3300,=97.3300,=2110057446669.19,=87866396495.0,=87866396495.11,,=16.6197,,,,
2026-06-04,=100.1600,=100.1600,=100.1600,=100.1600,=2171410190674.88,=90421229559.0,=90421229558.72,,=17.1030,,,,
2026-06-03,=100.1600,=100.1600,=100.1600,=100.1600,=2171410190674.88,=90421229559.0,=90421229558.72,,=17.1030,,,,
2026-06-02,=100.4200,=100.4200,=100.4200,=100.4200,=2177046838534.06,=90655949204.0,=90655949204.14,,=17.1474,,,,
