date,资产负债率
2026-03-31,0.9207
2025-12-31,0.9199
2025-09-30,0.9139
2025-06-30,0.9266
2025-03-31,0.9219
2024-12-31,0.923
2024-09-30,0.9109
2024-06-30,0.919
2024-03-31,0.9192
2023-12-31,0.9202
2023-09-30,0.9216
2023-06-30,0.9187
2023-03-31,0.9139
2022-12-31,0.9152
2022-09-30,0.9099
2022-06-30,0.9056
2022-03-31,0.9037
2021-12-31,0.9005
2021-09-30,0.8989
2021-06-30,0.8971
2021-03-31,0.8937
2020-12-31,0.8925
2020-09-30,0.8955
2020-06-30,0.8936
2020-03-31,0.8917
2019-12-31,0.8902
2019-09-30,0.8908
2019-06-30,0.8926
2019-03-31,0.8905
2018-12-31,0.9007
2018-09-30,0.8925
2018-06-30,0.8924
2018-03-31,0.8862
2017-12-31,0.8877
2017-09-30,0.886
2017-06-30,0.8912
2017-03-31,0.8884
2016-12-31,0.8859
2016-09-30,0.8833
2016-06-30,0.8815
