date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,0.2763,0.3051,18111540768,6761006898
2025-12-31,1.4101,0.0617,86241940222,34502809176
2025-09-30,1.1522,0.0059,65741285682,28192874495
2025-06-30,0.5336,0.1485,36697614067,13056352474
2025-03-31,0.2117,0.3052,17015283779,5180785598
2024-12-31,1.3281,0.1927,84491870567,32496172809
2024-09-30,1.1454,0.302,66330680746,28024923213
2024-06-30,0.4644,0.2793,34808310002,11362325218
2024-03-31,0.1621,0.0616,15640900490,3966850824
2023-12-31,1.1132,0.148,78111573266,27238970861
2023-09-30,0.8797,0.0414,57855135654,21523845845
2023-06-30,0.363,-0.2285,30974895020,8882067760
2023-03-31,0.1527,0.163,15397466574,3612922772
2022-12-31,0.937,-0.189,52060482558,21309033981
2022-09-30,0.833,-0.0318,41269459722,18944132777
2022-06-30,0.4965,0.3156,25388484424,11291571876
2022-03-31,0.138,0.0935,9738207780,3137431624
2021-12-31,1.1553,-0.0253,55646253992,26272998503
2021-09-30,0.8604,-0.0653,40448219538,19567240614
2021-06-30,0.3774,0.0507,19901493442,8581992711
2021-03-31,0.1262,0.2123,8870397198,2869334570
2020-12-31,1.1853,0.2105,57783367040,26297890223
2020-09-30,0.9205,0.1356,42859844550,20250873551
2020-06-30,0.3592,-0.0783,19912547312,7902525712
2020-03-31,0.1041,-0.2143,8384404815,2290520337
2019-12-31,0.9792,-0.0473,49874086875,21543493636
2019-09-30,0.8106,-0.005,38084126840,17832682997
2019-06-30,0.3897,0.0059,20362755734,8572419523
2019-03-31,0.1325,0.0295,8607560564,2916020618
2018-12-31,1.0278,0.0157,51213965747,22610936420
2018-09-30,0.8147,0.0094,39065587330,17922424043
2018-06-30,0.3874,0.0516,19209933634,8522424118
2018-03-31,0.1287,0.0455,8149471394,2832197457
2017-12-31,1.0119,0.0712,50146848575,22260911325
2017-09-30,0.8071,0.0956,37232751627,17755646999
2017-06-30,0.3684,0.0734,19290324380,8104818289
2017-03-31,0.1231,0.2347,7854916027,2708003432
2016-12-31,0.9446,0.1397,48939388715,20781182597
2016-09-30,0.8355,-0.0062,37250774849,16338604375
