date,市值(元),股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,661865289217.8,0.0370,2.9182,,,,,2.9041,,,,,7.5782,,,,,19.2122,,,,,18.3428,,,,
2026-07-02,659418467446.2,0.0371,2.9074,,,,,2.8934,,,,,7.5502,,,,,19.1412,,,,,18.2750,,,,
2026-07-01,651833319954.24,0.0375,2.8739,,,,,2.8601,,,,,7.4633,,,,,18.9210,,,,,18.0648,,,,
2026-06-30,647673722942.52,0.0378,2.8556,,,,,2.8419,,,,,7.4157,,,,,18.8003,,,,,17.9495,,,,
2026-06-29,656726963497.44,0.0373,2.8955,,,,,2.8816,,,,,7.5194,,,,,19.0631,,,,,18.2004,,,,
2026-06-26,652078002131.4,0.0375,2.8750,,,,,2.8612,,,,,7.4661,,,,,18.9281,,,,,18.0716,,,,
2026-06-25,641556668513.52,0.0381,2.8286,,,,,2.8150,,,,,7.3457,,,,,18.6227,,,,,17.7800,,,,
2026-06-24,650854591245.6,0.0376,2.8696,,,,,2.8558,,,,,7.4521,,,,,18.8926,,,,,18.0377,,,,
2026-06-23,657461010028.92,0.0372,2.8988,,,,,2.8848,,,,,7.5278,,,,,19.0844,,,,,18.2208,,,,
2026-06-22,659173785269.04,0.0371,2.9063,,,,,2.8923,,,,,7.5474,,,,,19.1341,,,,,18.2682,,,,
2026-06-18,652322684308.56,0.0375,2.8761,,,,,2.8623,,,,,7.4689,,,,,18.9353,,,,,18.0784,,,,
2026-06-17,660641878332.0,0.0370,2.9128,,,,,2.8988,,,,,7.5642,,,,,19.1767,,,,,18.3089,,,,
2026-06-16,665290839698.04,0.0368,2.9333,,,,,2.9192,,,,,7.6174,,,,,19.3117,,,,,18.4378,,,,
2026-06-15,674588762430.12,0.0363,2.9743,,,,,2.9600,,,,,7.7239,,,,,19.5816,,,,,18.6955,,,,
2026-06-12,691961197008.48,0.0354,3.0509,,,,,3.0362,,,,,7.9228,,,,,20.0859,,,,,19.1769,,,,
2026-06-11,682418592099.24,0.0359,3.0088,,,,,2.9943,,,,,7.8135,,,,,19.8089,,,,,18.9125,,,,
2026-06-10,677524948556.04,0.0361,2.9872,,,,,2.9729,,,,,7.7575,,,,,19.6668,,,,,18.7768,,,,
2026-06-09,676056855493.08,0.0362,2.9807,,,,,2.9664,,,,,7.7407,,,,,19.6242,,,,,18.7361,,,,
2026-06-08,673120669367.16,0.0364,2.9678,,,,,2.9535,,,,,7.7071,,,,,19.5390,,,,,18.6548,,,,
