date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,661865289217.8,2.9041,,,,,7.5782,,,,,18.3428,,,,,0.0370,19.2122,,,,,2.9182,,,,
2026-07-02,659418467446.2,2.8934,,,,,7.5502,,,,,18.2750,,,,,0.0371,19.1412,,,,,2.9074,,,,
2026-07-01,651833319954.24,2.8601,,,,,7.4633,,,,,18.0648,,,,,0.0375,18.9210,,,,,2.8739,,,,
2026-06-30,647673722942.52,2.8419,,,,,7.4157,,,,,17.9495,,,,,0.0378,18.8003,,,,,2.8556,,,,
2026-06-29,656726963497.44,2.8816,,,,,7.5194,,,,,18.2004,,,,,0.0373,19.0631,,,,,2.8955,,,,
2026-06-26,652078002131.4,2.8612,,,,,7.4661,,,,,18.0716,,,,,0.0375,18.9281,,,,,2.8750,,,,
2026-06-25,641556668513.52,2.8150,,,,,7.3457,,,,,17.7800,,,,,0.0381,18.6227,,,,,2.8286,,,,
2026-06-24,650854591245.6,2.8558,,,,,7.4521,,,,,18.0377,,,,,0.0376,18.8926,,,,,2.8696,,,,
2026-06-23,657461010028.92,2.8848,,,,,7.5278,,,,,18.2208,,,,,0.0372,19.0844,,,,,2.8988,,,,
2026-06-22,659173785269.04,2.8923,,,,,7.5474,,,,,18.2682,,,,,0.0371,19.1341,,,,,2.9063,,,,
2026-06-18,652322684308.56,2.8623,,,,,7.4689,,,,,18.0784,,,,,0.0375,18.9353,,,,,2.8761,,,,
2026-06-17,660641878332.0,2.8988,,,,,7.5642,,,,,18.3089,,,,,0.0370,19.1767,,,,,2.9128,,,,
2026-06-16,665290839698.04,2.9192,,,,,7.6174,,,,,18.4378,,,,,0.0368,19.3117,,,,,2.9333,,,,
2026-06-15,674588762430.12,2.9600,,,,,7.7239,,,,,18.6955,,,,,0.0363,19.5816,,,,,2.9743,,,,
2026-06-12,691961197008.48,3.0362,,,,,7.9228,,,,,19.1769,,,,,0.0354,20.0859,,,,,3.0509,,,,
2026-06-11,682418592099.24,2.9943,,,,,7.8135,,,,,18.9125,,,,,0.0359,19.8089,,,,,3.0088,,,,
2026-06-10,677524948556.04,2.9729,,,,,7.7575,,,,,18.7768,,,,,0.0361,19.6668,,,,,2.9872,,,,
2026-06-09,676056855493.08,2.9664,,,,,7.7407,,,,,18.7361,,,,,0.0362,19.6242,,,,,2.9807,,,,
2026-06-08,673120669367.16,2.9535,,,,,7.7071,,,,,18.6548,,,,,0.0364,19.5390,,,,,2.9678,,,,
2026-06-05,675567491138.76,2.9643,,,,,7.7351,,,,,18.7226,,,,,0.0362,19.6100,,,,,2.9786,,,,
2026-06-04,678258995087.52,2.9761,,,,,7.7659,,,,,18.7972,,,,,0.0361,19.6881,,,,,2.9905,,,,
