date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,132918840544.6,39.1783,,,,,3.0840,,,,,1.9165,,,,,0.0076,29.6728,,,,,3.0793,,,,
2026-07-02,133157903207.45,39.2487,,,,,3.0896,,,,,1.9200,,,,,0.0076,29.7261,,,,,3.0849,,,,
2026-07-01,137461031138.75,40.5171,,,,,3.1894,,,,,1.9820,,,,,0.0073,30.6867,,,,,3.1846,,,,
2026-06-30,141329499683.05,41.6573,,,,,3.2792,,,,,2.0378,,,,,0.0071,31.5503,,,,,3.2742,,,,
2026-06-29,140394982001.0,41.3819,,,,,3.2575,,,,,2.0243,,,,,0.0072,31.3417,,,,,3.2525,,,,
2026-06-26,135200802326.35,39.8509,,,,,3.1370,,,,,1.9494,,,,,0.0075,30.1822,,,,,3.1322,,,,
2026-06-25,145197968227.35,42.7976,,,,,3.3689,,,,,2.0936,,,,,0.0069,32.4139,,,,,3.3638,,,,
2026-06-24,146588878265.75,43.2075,,,,,3.4012,,,,,2.1137,,,,,0.0069,32.7244,,,,,3.3960,,,,
2026-06-23,146219417786.8,43.0986,,,,,3.3926,,,,,2.1083,,,,,0.0069,32.6420,,,,,3.3875,,,,
2026-06-22,152630643745.05,44.9884,,,,,3.5414,,,,,2.2008,,,,,0.0066,34.0732,,,,,3.5360,,,,
2026-06-18,144871973687.1,42.7015,,,,,3.3614,,,,,2.0889,,,,,0.0070,32.3412,,,,,3.3562,,,,
2026-06-17,146784474989.9,43.2652,,,,,3.4057,,,,,2.1165,,,,,0.0069,32.7681,,,,,3.4006,,,,
2026-06-16,145350099012.8,42.8424,,,,,3.3725,,,,,2.0958,,,,,0.0069,32.4479,,,,,3.3673,,,,
2026-06-15,127724660869.95,37.6473,,,,,2.9635,,,,,1.8417,,,,,0.0079,28.5132,,,,,2.9590,,,,
2026-06-12,125334034241.45,36.9426,,,,,2.9080,,,,,1.8072,,,,,0.0080,27.9795,,,,,2.9036,,,,
2026-06-11,119748661118.5,35.2963,,,,,2.7785,,,,,1.7266,,,,,0.0084,26.7326,,,,,2.7742,,,,
2026-06-10,120313718321.6,35.4629,,,,,2.7916,,,,,1.7348,,,,,0.0084,26.8588,,,,,2.7873,,,,
2026-06-09,123573663724.1,36.4237,,,,,2.8672,,,,,1.7818,,,,,0.0082,27.5865,,,,,2.8628,,,,
2026-06-08,118075222478.55,34.8030,,,,,2.7396,,,,,1.7025,,,,,0.0085,26.3591,,,,,2.7354,,,,
