date,metric,value
2026-03-31,长期负债合计,20830432145
2026-03-31,资产合计,132764683530
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.3611
2026-03-31,流动比率,0.9948
2026-03-31,总资产收益率(ROA),0.038
2026-03-31,净资产收益率(ROE),0.1043
2026-03-31,应收账款,16387344668
2026-03-31,流动资产合计,347955841
2026-03-31,自由现金流量,-5159710921
2026-03-31,有息负债率,0.2706
2026-03-31,营业收入,20679868145
2026-03-31,货币资金,129193293018.79
2026-03-31,流动负债合计,1287498132
2026-03-31,速动比率,0.7719
2026-03-31,经营活动产生的现金流量净额,-365647427
2026-03-31,所有者权益合计,46616148744
2026-03-31,毛利率(GM),0.1535
2026-03-31,负债合计,86148534786
2026-03-31,归属于母公司普通股股东的净利润,1446303779
2026-03-31,资本回报率(ROIC),0.0675
2026-03-31,净利润率,0.066
2026-03-31,基本每股收益,0.7
2026-03-31,资产负债率,0.6489
