date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-365647427,-1.4099,-5159710921,1.3611
2025-12-31,7492131667,0.6898,-2920676548,1.7415
2025-09-30,4903825468,1.3171,-1668079625,1.8404
2025-06-30,2372565712,6.6072,-1304865339,1.7017
2025-03-31,892143949,1.5094,415283770,1.6342
2024-12-31,4433732895,-0.489,-1110329657,1.0503
2024-09-30,2116324375,-0.6051,464323770,1.3884
2024-06-30,311882589,-0.9055,1389304145,1.3749
2024-03-31,-1751380202,-2.7873,1700362594,1.3903
2023-12-31,8676259761,2.0334,3677301215,1.9194
2023-09-30,5358649319,0.8596,-1066403348,1.0905
2023-06-30,3300467538,0.8239,-4446417062,0.8804
2023-03-31,979913660,0.1483,-9836898941,0.6647
2022-12-31,2860220008,0.5354,-10972476351,0.7789
2022-09-30,2881541712,6.2387,-9778952452,1.2806
2022-06-30,1809551778,4.4107,-8897735652,1.2046
2022-03-31,853384922,3.4915,-5218057217,1.0536
2021-12-31,1862853925,0.2037,-4405973973,0.5915
2021-09-30,398076441,-0.5884,-3521146972,0.3128
2021-06-30,334441009,-0.3463,-1659182082,0.4657
2021-03-31,-342518996,-1.8244,-1242668021,0.3675
2020-12-31,1547616814,0.3592,-477847796,0.9205
2020-09-30,967126252,0.1397,-1192896089,0.9363
2020-06-30,511575250,0.0635,-1454549937,0.8246
2020-03-31,415454137,1.3068,-1582354018,0.8566
2019-12-31,1138632496,1.6206,-1475385387,0.7352
2019-09-30,848554320,5.9437,-385359699,0.8463
2019-06-30,481013292,20.8658,-235946778,0.9618
2019-03-31,180096210,7.6,-173673329,0.9024
2018-12-31,434494747,4.3648,-362381070,0.7454
2018-09-30,122204865,6.7972,-618934628,0.4895
2018-06-30,21998478,1.2945,-941491371,0.5399
2018-03-31,-27287450,0.3692,-1108616574,0.2193
2017-12-31,80989719,0.7147,-1301080697,0.187
2017-09-30,-21079875,0.689,-1407431804.47,0.1947
2017-06-30,-74686813,-0.0282,-1366007168.18,0.0952
2017-03-31,-43257937,-2.2081,-1166108392.19,0.0523
2016-12-31,47232585,-0.1714,-847262545,0.1498
2016-09-30,-67786325.07,-2.2797,-762000204.72,-0.2472
