date,metric,value
2026-03-31,自由现金流量,21907443675
2026-03-31,资本回报率(ROIC),0.2081
2026-03-31,资产负债率,0.5203
2026-03-31,归属于母公司普通股股东的净利润,7760054120
2026-03-31,流动资产合计,0
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.085
2026-03-31,流动比率,1.4384
2026-03-31,应收账款,1105353361
2026-03-31,长期负债合计,598000000
2026-03-31,经营活动产生的现金流量净额,11329218827
2026-03-31,资产合计,223690336596
2026-03-31,基本每股收益,0.36
2026-03-31,净利润率,0.1252
2026-03-31,有息负债率,0.2355
2026-03-31,负债合计,116386799694
2026-03-31,速动比率,0.9339
2026-03-31,净资产收益率(ROE),0.2882
2026-03-31,总资产收益率(ROA),0.1404
2026-03-31,所有者权益合计,107303536902
2026-03-31,毛利率(GM),0.2395
2026-03-31,营业收入,66403195123
2026-03-31,货币资金,366912419518.4
2026-03-31,流动负债合计,2012213115
