date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,1.085,11329218827,7.623,21907443675
2025-12-31,0.8675,20843060709,-0.3564,13260351082
2025-09-30,1.381,15864160180,-0.082,26058590644
2025-06-30,1.7719,12008668320,0.114,28687703472
2025-03-31,1.6092,1313844804,-0.7602,24710996268
2024-12-31,2.0949,32386655542,1.0838,27672516035
2024-09-30,1.4401,17280881607,0.711,13852966054
2024-06-30,1.2326,10779292190,0.2302,7605037013
2024-03-31,1.5465,5477822705,0.1798,4898933252
2023-12-31,1.8219,15542003496,0.0057,3015140527
2023-09-30,4.5521,10099780928,-0.0653,1490452599
2023-06-30,5.2576,8761937140,0.0306,2497443380
2023-03-31,3.798,4643002835,5.2278,9608504559
2022-12-31,2.1488,15453761073,1.4963,4984039142
2022-09-30,1.9473,10805720900,3.2969,7017173819
2022-06-30,1.8042,8501505218,5.4471,6721489614
2022-03-31,0.4144,-1098206575,-1.4273,-2615779468
2021-12-31,1.1406,6190648052,-0.271,1930255098
2021-09-30,0.2701,2514763641,-0.7397,-6998924053
2021-06-30,1.29,1318661760,-0.6898,-2220101201
2021-03-31,1.5761,2569906911,-0.5635,-2515716760
2020-12-31,3.4263,8492453630,3.9814,984770244
2020-09-30,4.3402,9660164870,5.8874,7325740140
2020-06-30,1.8683,4251397721,0.9066,1019311663
2020-03-31,3.6859,5887743222,11.3597,4419122129
2019-12-31,0.9654,1704827884,-0.9998,-989377167
2019-09-30,1.6011,1402583365,-0.8289,-473391657
2019-06-30,2.6921,2229813555,-0.588,3320058249
2019-03-31,2.0676,476366544,-0.8148,4356688586
2018-12-31,1.8319,9434533590,0.1193,6670796603
2018-09-30,1.8285,8195409000,0.4463,9098638155
2018-06-30,1.7777,5411708000,0.5545,8813037555
2018-03-31,2.1499,2571731500,0.8019,8411066904
2017-12-31,2.3442,8428811928,1.8917,7389326255
2017-09-30,2.8241,5666456300,5.5466,6556220838
2017-06-30,3.1059,3481411500,5.5078,4789382017
2017-03-31,2.165,1427245428,4.3898,3166113033
2016-12-31,2.8598,2914826436,1.1452,2089864420
2016-09-30,0.8155,865557630,-0.4834,147373140
