date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,396222624459.52,1.7449,,,,,0.0154,4.7883,,,,,16.4048,,,,,4.8128,,,,,16.5332,,,,
2026-07-02,391301933119.04,1.7232,,,,,0.0156,4.7289,,,,,16.2011,,,,,4.7530,,,,,16.3278,,,,
2026-07-01,379321119420.48,1.6704,,,,,0.0161,4.5841,,,,,15.7051,,,,,4.6075,,,,,15.8279,,,,
2026-06-30,375470143588.8,1.6535,,,,,0.0163,4.5375,,,,,15.5456,,,,,4.5607,,,,,15.6672,,,,
2026-06-29,385097583168.0,1.6959,,,,,0.0159,4.6539,,,,,15.9442,,,,,4.6777,,,,,16.0690,,,,
2026-06-26,368837907434.24,1.6243,,,,,0.0166,4.4574,,,,,15.2710,,,,,4.4802,,,,,15.3905,,,,
2026-06-25,386595184880.32,1.7025,,,,,0.0158,4.6720,,,,,16.0062,,,,,4.6958,,,,,16.1314,,,,
2026-06-24,406064007140.48,1.7882,,,,,0.0151,4.9073,,,,,16.8123,,,,,4.9323,,,,,16.9438,,,,
2026-06-23,416975105330.24,1.8362,,,,,0.0147,5.0391,,,,,17.2641,,,,,5.0649,,,,,17.3991,,,,
2026-06-22,463186815310.4,2.0397,,,,,0.0132,5.5976,,,,,19.1774,,,,,5.6262,,,,,19.3274,,,,
2026-06-18,428741975927.04,1.8881,,,,,0.0143,5.1813,,,,,17.7512,,,,,5.2078,,,,,17.8901,,,,
2026-06-17,431523236249.9201,1.9003,,,,,0.0142,5.2150,,,,,17.8664,,,,,5.2416,,,,,18.0062,,,,
2026-06-16,428528032825.28,1.8871,,,,,0.0143,5.1788,,,,,17.7424,,,,,5.2052,,,,,17.8812,,,,
2026-06-15,447568968881.9201,1.9710,,,,,0.0137,5.4089,,,,,18.5307,,,,,5.4365,,,,,18.6757,,,,
2026-06-12,408845267463.36,1.8004,,,,,0.0150,4.9409,,,,,16.9275,,,,,4.9661,,,,,17.0599,,,,
2026-06-11,371619167757.12,1.6365,,,,,0.0165,4.4910,,,,,15.3862,,,,,4.5139,,,,,15.5065,,,,
2026-06-10,359210467855.04,1.5819,,,,,0.0170,4.3411,,,,,14.8724,,,,,4.3632,,,,,14.9888,,,,
2026-06-09,364772988500.8,1.6064,,,,,0.0168,4.4083,,,,,15.1027,,,,,4.4308,,,,,15.2209,,,,
2026-06-08,361349898872.64,1.5913,,,,,0.0169,4.3669,,,,,14.9610,,,,,4.3892,,,,,15.0780,,,,
