date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,142860196902.86,0.8323,0.2783,3.3219,1.5126,0.7250,3.4582,0.2211,10.4796,5.7182,3.3247,0.0133,23.9559,0.0564,-30.1604,-95.9085,30.9657
2026-06-01,139515585537.74,0.8128,0.2717,3.3307,1.5130,0.7250,3.3773,0.2124,10.4828,5.7212,3.3240,0.0136,23.3951,0.0502,-30.1506,-95.6424,30.9657
2026-05-29,141902105105.56,0.8267,0.2752,3.3307,1.5133,0.7250,3.4350,0.2187,10.4828,5.7255,3.3240,0.0134,23.7953,0.0535,-30.1506,-95.4126,31.0129
2026-05-28,144549922436.28,0.8421,0.2816,3.3307,1.5136,0.7250,3.4991,0.2293,10.4828,5.7298,3.3240,0.0131,24.2393,0.0607,-30.1506,-95.1828,31.0138
2026-05-27,147406777977.32,0.8588,0.2846,3.3307,1.5142,0.7250,3.5683,0.2470,10.4828,5.7314,3.3240,0.0129,24.7183,0.0649,-30.1506,-95.0141,31.0512
2026-05-26,150524931281.26,0.8769,0.2931,3.3307,1.5148,0.7250,3.6438,0.2697,10.4828,5.7331,3.3240,0.0126,25.2412,0.0783,-30.1506,-94.8454,31.0767
2026-05-25,142982135858.88,0.8330,0.2790,3.3397,1.5153,0.7245,3.4612,0.2216,10.4970,5.7356,3.3220,0.0133,23.9764,0.0561,-30.1443,-94.7827,31.0767
2026-05-22,142895036604.58,0.8325,0.2783,3.3397,1.5159,0.7245,3.4591,0.2209,10.4970,5.7382,3.3220,0.0133,23.9618,0.0557,-30.1443,-94.7200,31.0984
2026-05-21,145246716470.68,0.8462,0.2822,3.3397,1.5160,0.7245,3.5160,0.2348,10.4970,5.7412,3.3220,0.0131,24.3561,0.0612,-30.1443,-94.6764,31.1052
2026-05-20,136850348356.16,0.7973,0.2651,3.3397,1.5161,0.7245,3.3128,0.1980,10.4970,5.7443,3.3220,0.0139,22.9482,0.0411,-30.1443,-94.6328,31.1277
