date,资产负债率
2026-03-31,0.9333
2025-12-31,0.9413
2025-09-30,0.9452
2025-06-30,0.9531
2025-03-31,0.9544
2024-12-31,0.9431
2024-09-30,0.9454
2024-06-30,0.9398
2024-03-31,0.9342
2023-12-31,0.9251
2023-09-30,0.9206
2023-06-30,0.9142
2023-03-31,0.9052
2022-12-31,0.918
2022-09-30,0.9163
2022-06-30,0.9121
2022-03-31,0.9109
2021-12-31,0.9038
2021-09-30,0.9013
2021-06-30,0.8958
2021-03-31,0.8961
2020-12-31,0.8988
2020-09-30,0.9001
2020-06-30,0.9029
2020-03-31,0.9067
2019-12-31,0.9039
2019-09-30,0.9029
2019-06-30,0.9052
2019-03-31,0.9046
2018-12-31,0.9106
2018-09-30,0.9116
2018-06-30,0.9129
2018-03-31,0.9093
2017-12-31,0.9103
2017-09-30,0.911
2017-06-30,0.9125
2017-03-31,0.9133
2016-12-31,0.9154
2016-09-30,0.9133
