date,内含价值(EV),新业务价值(NBV)
2026-03-31,,
2025-12-31,287840000000.0,9842000000.0
2025-09-30,,
2025-06-30,279394000000.0,6182000000.0
2025-03-31,,
2024-12-31,258448000000.0,6253000000.0
2024-09-30,,
2024-06-30,268368000000.0,3902000000.0
2024-03-31,,
2023-12-31,250510000000.0,3024000000.0
2023-09-30,,
2023-06-30,266479000000.0,2474000000.0
2023-03-31,,
2022-12-31,255582000000.0,2423000000.0
2022-09-30,,
2022-06-30,258873000000.0,2112000000.0
2022-03-31,,
2021-12-31,258824000000.0,5980000000.0
2021-09-30,,
2021-06-30,250766000000.0,4090000000.0
2021-03-31,,
2020-12-31,240604000000.0,9182000000.0
2020-09-30,,
2020-06-30,224757000000.0,5221000000.0
2020-03-31,,
2019-12-31,205043000000.0,9779000000.0
2019-09-30,,
2019-06-30,191403000000.0,5890000000.0
2019-03-31,,
2018-12-31,173151000000.0,12210000000.0
2018-09-30,,
2018-06-30,165601000000.0,6451000000.0
2018-03-31,,
2017-12-31,153474000000.0,12063000000.0
2017-09-30,,
2017-06-30,142089000000.0,7153000000.0
2017-03-31,,
2016-12-31,129450000000.0,10449000000.0
2016-09-30,,
